serail_number,step_inteval,steps,learning_rate,nodes,batch
,1,20,0.01,50,10
,1,20,0.01,50,50
,1,20,0.01,50,100
,1,20,0.01,50,200
,1,20,0.01,100,10
,1,20,0.01,100,50
,1,20,0.01,100,100
,1,20,0.01,100,200
,1,20,0.01,250,10
,1,20,0.01,250,50
,1,20,0.01,250,100
,1,20,0.01,250,200
,1,20,0.01,500,10
,1,20,0.01,500,50
,1,20,0.01,500,100
,1,20,0.01,500,200
,1,20,0.001,50,10
,1,20,0.001,50,50
,1,20,0.001,50,100
,1,20,0.001,50,200
,1,20,0.001,100,10
,1,20,0.001,100,50
,1,20,0.001,100,100
,1,20,0.001,100,200
,1,20,0.001,250,10
,1,20,0.001,250,50
,1,20,0.001,250,100
,1,20,0.001,250,200
,1,20,0.001,500,10
,1,20,0.001,500,50
,1,20,0.001,500,100
,1,20,0.001,500,200
,1,50,0.01,50,10
,1,50,0.01,50,50
,1,50,0.01,50,100
,1,50,0.01,50,200
,1,50,0.01,100,10
,1,50,0.01,100,50
,1,50,0.01,100,100
,1,50,0.01,100,200
,1,50,0.01,250,10
,1,50,0.01,250,50
,1,50,0.01,250,100
,1,50,0.01,250,200
,1,50,0.01,500,10
,1,50,0.01,500,50
,1,50,0.01,500,100
,1,50,0.01,500,200
,1,50,0.001,50,10
,1,50,0.001,50,50
,1,50,0.001,50,100
,1,50,0.001,50,200
,1,50,0.001,100,10
,1,50,0.001,100,50
,1,50,0.001,100,100
,1,50,0.001,100,200
,1,50,0.001,250,10
,1,50,0.001,250,50
,1,50,0.001,250,100
,1,50,0.001,250,200
,1,50,0.001,500,10
,1,50,0.001,500,50
,1,50,0.001,500,100
,1,50,0.001,500,200
,5,10,0.01,50,10
,5,10,0.01,50,50
,5,10,0.01,50,100
,5,10,0.01,50,200
,5,10,0.01,100,10
,5,10,0.01,100,50
,5,10,0.01,100,100
,5,10,0.01,100,200
,5,10,0.01,250,10
,5,10,0.01,250,50
,5,10,0.01,250,100
,5,10,0.01,250,200
,5,10,0.01,500,10
,5,10,0.01,500,50
,5,10,0.01,500,100
,5,10,0.01,500,200
,5,10,0.001,50,10
,5,10,0.001,50,50
,5,10,0.001,50,100
,5,10,0.001,50,200
,5,10,0.001,100,10
,5,10,0.001,100,50
,5,10,0.001,100,100
,5,10,0.001,100,200
,5,10,0.001,250,10
,5,10,0.001,250,50
,5,10,0.001,250,100
,5,10,0.001,250,200
,5,10,0.001,500,10
,5,10,0.001,500,50
,5,10,0.001,500,100
,5,10,0.001,500,200
,10,10,0.01,50,10
,10,10,0.01,50,50
,10,10,0.01,50,100
,10,10,0.01,50,200
,10,10,0.01,100,10
,10,10,0.01,100,50
,10,10,0.01,100,100
,10,10,0.01,100,200
,10,10,0.01,250,10
,10,10,0.01,250,50
,10,10,0.01,250,100
,10,10,0.01,250,200
,10,10,0.01,500,10
,10,10,0.01,500,50
,10,10,0.01,500,100
,10,10,0.01,500,200
,10,10,0.001,50,10
,10,10,0.001,50,50
,10,10,0.001,50,100
,10,10,0.001,50,200
,10,10,0.001,100,10
,10,10,0.001,100,50
,10,10,0.001,100,100
,10,10,0.001,100,200
,10,10,0.001,250,10
,10,10,0.001,250,50
,10,10,0.001,250,100
,10,10,0.001,250,200
,10,10,0.001,500,10
,10,10,0.001,500,50
,10,10,0.001,500,100
,10,10,0.001,500,200
,20,10,0.01,50,10
,20,10,0.01,50,50
,20,10,0.01,50,100
,20,10,0.01,50,200
,20,10,0.01,100,10
,20,10,0.01,100,50
,20,10,0.01,100,100
,20,10,0.01,100,200
,20,10,0.01,250,10
,20,10,0.01,250,50
,20,10,0.01,250,100
,20,10,0.01,250,200
,20,10,0.01,500,10
,20,10,0.01,500,50
,20,10,0.01,500,100
,20,10,0.01,500,200
,20,10,0.001,50,10
,20,10,0.001,50,50
,20,10,0.001,50,100
,20,10,0.001,50,200
,20,10,0.001,100,10
,20,10,0.001,100,50
,20,10,0.001,100,100
,20,10,0.001,100,200
,20,10,0.001,250,10
,20,10,0.001,250,50
,20,10,0.001,250,100
,20,10,0.001,250,200
,20,10,0.001,500,10
,20,10,0.001,500,50
,20,10,0.001,500,100
,20,10,0.001,500,200
