date,current-index, 5ma,20ma,65ma,5std,20std,65std,date-after-1week,index-after-1week,5ma,5std,day-after-1month,index-after-1month,20ma,20std,dat-after-3months,index-after-3months,65ma,65std
2000-01-28,1360.16,1399.598,1391.518,1427.645385,24.54538083,29.63770653,56.11336625,2000-02-04,1424.37,1412.44,12.68477631,2000-02-25,1333.36,1349.148,31.6665157,2000-04-28,1452.43,1457.128,55.54368368
2000-01-31,1394.46,1399.598,1391.518,1427.645385,24.54538083,29.63770653,56.11336625,2000-02-07,1424.24,1418.396,8.399466054,2000-02-28,1348.05,1349.54,33.00824026,2000-05-01,1468.25,1464.806,55.57942682
2000-02-01,1409.28,1399.598,1391.518,1427.645385,24.54538083,29.63770653,56.11336625,2000-02-08,1441.72,1424.884,11.53950736,2000-02-29,1366.42,1352.39,32.93544603,2000-05-02,1446.29,1458.576,55.55132892
2000-02-02,1409.12,1399.598,1391.518,1427.645385,24.54538083,29.63770653,56.11336625,2000-02-09,1411.7,1425.4,10.68437878,2000-03-01,1379.19,1356.09,32.49298703,2000-05-03,1415.1,1449.398,55.51985724
2000-02-03,1424.97,1399.598,1391.518,1427.645385,24.54538083,29.63770653,56.11336625,2000-02-10,1416.83,1423.772,11.36476881,2000-03-02,1381.76,1361.756,31.04500212,2000-05-04,1409.57,1438.328,55.57821935
2000-02-04,1424.37,1412.44,1391.518,1427.645385,12.68477631,29.63770653,56.11336625,2000-02-11,1387.12,1416.322,19.88800442,2000-03-03,1409.17,1376.918,30.12713323,2000-05-05,1432.63,1434.368,55.57313783
2000-02-07,1424.24,1418.396,1391.518,1427.645385,8.399466054,29.63770653,56.11336625,2000-02-14,1389.94,1409.462,22.24942741,2000-03-06,1391.28,1385.564,28.51270529,2000-05-08,1424.17,1425.552,55.57326667
2000-02-08,1441.72,1424.884,1391.518,1427.645385,11.53950736,29.63770653,56.11336625,2000-02-15,1402.05,1401.528,13.03615626,2000-03-07,1355.62,1383.404,24.92147911,2000-05-09,1412.14,1418.722,55.60314127
2000-02-09,1411.7,1425.4,1391.518,1427.645385,10.68437878,29.63770653,56.11336625,2000-02-16,1387.67,1396.722,12.77548316,2000-03-08,1366.7,1380.906,23.45463403,2000-05-10,1383.05,1412.312,55.86578716
2000-02-10,1416.83,1423.772,1391.518,1427.645385,11.36476881,29.63770653,56.11336625,2000-02-17,1388.26,1391.008,6.262521058,2000-03-09,1401.69,1384.892,22.17837374,2000-05-11,1407.81,1411.96,55.90983125
2000-02-11,1387.12,1416.322,1391.518,1427.645385,19.88800442,29.63770653,56.11336625,2000-02-18,1346.09,1382.802,21.34651424,2000-03-10,1395.07,1382.072,22.52578534,2000-05-12,1420.96,1409.626,55.66400619
2000-02-14,1389.94,1409.462,1391.518,1427.645385,22.24942741,29.63770653,56.11336625,2000-02-21,1346.09,1374.032,26.14837509,2000-03-13,1383.62,1380.54,22.31506829,2000-05-15,1452.36,1415.264,55.49612965
2000-02-15,1402.05,1401.528,1391.518,1427.645385,13.03615626,29.63770653,56.11336625,2000-02-22,1352.17,1364.056,21.96750964,2000-03-14,1359.15,1381.246,21.35826338,2000-05-16,1466.04,1426.044,55.53855744
2000-02-16,1387.67,1396.722,1391.518,1427.645385,12.77548316,29.63770653,56.11336625,2000-02-23,1360.69,1358.66,17.59553068,2000-03-15,1392.15,1386.336,21.57272635,2000-05-17,1447.8,1438.994,55.2857718
