date,current-index, 5ma,20ma,65ma,5std,20std,65std,date-after-1week,index-after-1week,5ma,5std,day-after-1month,index-after-1month,20ma,20std,dat-after-3months,index-after-3months,65ma,65std
2000-01-28,125.5,124.71,121.865,114.4515385,1.745565811,5.932424285,8.582886175,2000-02-04,125.6,124.73,1.745565811,2000-02-25,115.25,121.865,5.511879515,2000-04-28,96.5,114.0053846,8.751670033
2000-01-31,125.95,124.71,121.865,114.4515385,1.745565811,5.251816728,8.582886175,2000-02-07,128.7,125.28,2.497398647,2000-02-28,108.65,121,6.156810521,2000-05-01,96.5,113.5523077,8.884934716
2000-02-01,121.7,124.71,121.865,114.4515385,1.745565811,4.128641933,8.582886175,2000-02-08,127.6,126.46,1.624192107,2000-02-29,109.3,120.38,6.68435723,2000-05-02,99.6,113.2123077,8.99049859
2000-02-02,124.8,124.71,121.865,114.4515385,1.745565811,3.917652358,8.582886175,2000-02-09,129.5,127.4,1.776231967,2000-03-01,109.3,119.605,7.03431252,2000-05-03,99.9,112.8292308,9.01947932
2000-02-03,125.6,124.71,121.865,114.4515385,1.745565811,3.912365686,8.582886175,2000-02-10,129.2,128.12,1.583350877,2000-03-02,118.8,119.265,6.892198106,2000-05-04,99.8,112.4323077,9.016384525
2000-02-04,125.6,124.73,121.865,114.4515385,1.745565811,3.890054796,8.582886175,2000-02-11,127.2,128.44,1.001498877,2000-03-03,117.7,118.87,6.734600367,2000-05-05,99.8,112.0353846,8.995518516
2000-02-07,128.7,125.28,121.865,114.4515385,2.497398647,3.70439284,8.582886175,2000-02-14,122.35,127.17,2.870888364,2000-03-06,119.35,118.4025,6.328599974,2000-05-08,101.4,111.6153846,8.841286861
2000-02-08,127.6,126.46,121.865,114.4515385,1.624192107,3.587005055,8.582886175,2000-02-15,117.2,125.09,5.257185559,2000-03-07,119.95,118.02,5.964134031,2000-05-09,100.8,111.2030769,8.708104509
2000-02-09,129.5,127.4,121.865,114.4515385,1.776231967,3.676593818,8.582886175,2000-02-16,120.7,123.33,4.870523586,2000-03-08,120.7,117.58,5.367381994,2000-05-10,99.6,110.7430769,8.514041146
2000-02-10,129.2,128.12,121.865,114.4515385,1.583350877,3.676593818,8.582886175,2000-02-17,119,121.29,3.820078533,2000-03-09,117.7,117.005,4.621144196,2000-05-11,99.6,110.2876923,8.300338993
2000-02-11,127.2,128.44,121.865,114.4515385,1.001498877,3.689569223,8.582886175,2000-02-18,118.2,119.49,2.048902145,2000-03-10,116.8,116.485,3.949953364,2000-05-12,96.5,109.8153846,8.195744528
