date,index1,index2,loss_profits,pred_date,prediction,real,0.841004184,이동펴균,std,,BT,BB,예측지수 ,실재지수,기준일 이동평균,기준일 std,추정 예측,date
2017-07-10,310.8,312.9000001,2.100000148,2017-08-07,-0.792612612,-1.135983348,,316.52,3.1866663,2017-08-07,322.8933326,310.1466674,313.9942081,312.9000001,309.3625,2.053999628,307.734474,2017-07-10
2017-07-11,312.7,312.8500001,0.150000124,2017-08-08,-0.017505178,-1.157405376,,316.5275,3.177365468,2017-08-08,322.8822309,310.1727691,316.4718797,312.8500001,309.645,2.10706206,309.6081155,2017-07-11
2017-07-12,312.6,308.65,-3.950000041,2017-08-09,-0.37093401,-2.171468735,,316.33,3.536776707,2017-08-09,323.4035534,309.2564466,315.0180892,308.65,309.905,2.136087175,309.1126526,2017-07-12
2017-07-13,316.55,307.2499997,-9.300000317,2017-08-10,0.785434246,-2.113328218,,315.865,4.076508439,2017-08-10,324.0180169,307.7119831,319.0668293,307.2499997,310.45,2.370931418,312.3122107,2017-07-13
2017-07-14,316.7,301.4999995,15.20000048,2017-08-11,-0.421163499,-2.626373529,,315.105,5.180146818,2017-08-11,325.4652936,304.7447064,312.9233112,301.4999995,310.985,2.516686418,309.9250635,2017-07-14
2017-07-17,317.5,304.5999999,12.90000009,2017-08-14,-0.445946306,-1.745686173,,314.46,5.648208845,2017-08-14,325.7564177,303.1635823,311.9412021,304.5999999,311.47,2.790368774,310.2256454,2017-07-17
2017-07-18,318.05,304.5999997,13.45000032,2017-08-15,-0.805996001,-1.53413558,,313.7875,5.988714716,2017-08-15,325.7649294,301.8100706,308.9606199,304.5999997,311.9675,3.034246416,309.5219095,2017-07-18
2017-07-19,318.7,306.2500003,12.4499997,2017-08-16,-0.376968145,-1.134111524,,313.165,6.097283692,2017-08-16,325.3595674,300.9704326,310.8665183,306.2500003,312.5625,3.132758789,311.3815497,2017-07-19
2017-07-20,319.6,307.9000001,11.69999985,2017-08-17,-0.386442006,-0.778960347,,312.58,6.008007814,2017-08-17,324.5960156,300.5639844,310.2582534,307.9000001,313.115,3.354419708,311.8187113,2017-07-20
2017-07-21,321.1,307.7500002,13.34999985,2017-08-18,-0.216493398,-0.724220395,,311.9125,5.747559551,2017-08-18,323.4076191,300.4173809,310.6681913,307.7500002,313.7075,3.667721041,312.9134626,2017-07-21
2017-07-24,321.25,307.0500001,14.19999987,2017-08-21,-0.090059668,-0.768990219,,311.2025,5.399938474,2017-08-21,322.0023769,300.4026231,310.7161833,307.0500001,314.2425,3.952257017,313.886561,2017-07-24
2017-07-25,319.65,308.7,10.94999999,2017-08-22,0.482402861,-0.387774676,,310.655,5.041587574,2017-08-22,320.7381751,300.5718249,313.0870763,308.7,314.67,4.055516062,316.6263926,2017-07-25
2017-07-26,318.95,308.6,10.35,2017-08-23,0.557217479,-0.329776615,,310.1375,4.662246889,2017-08-23,319.4619938,300.8130062,312.7353855,308.6,315.105,4.02292444,317.3466438,2017-07-26
2017-07-27,319.85,310.1,9.749999995,2017-08-24,0.297542065,0.110709973,,309.65,4.064674519,2017-08-24,317.779349,301.520651,310.8594116,310.1,315.48,4.101392575,316.7003368,2017-07-27
2017-07-28,312.55,310.25,2.299999996,2017-08-25,0.449192643,0.178282768,,309.535,4.010482974,2017-08-25,317.5559659,301.5140341,311.3364794,310.25,315.53,4.056813632,317.3522908,2017-07-28
2017-07-31,313.55,308.2,5.35000005,2017-08-28,0.161014095,-0.273322731,,309.2675,3.905639479,2017-08-28,317.078779,301.456221,309.896363,308.2,315.61,3.997848105,316.2537099,2017-07-31
2017-08-01,316.55,307.15,9.400000012,2017-08-29,0.332510144,-0.466615081,,308.7975,3.530747461,2017-08-29,315.8589949,301.7360051,309.9715093,307.15,315.955,3.746257782,317.2006687,2017-08-01
2017-08-02,317.15,309,8.150000004,2017-08-30,0.503263712,0.207745895,,308.39,2.936279422,2017-08-30,314.2625588,302.5174412,309.8677229,309,316.2575,3.573891989,318.0561101,2017-08-02
2017-08-03,311.65,306.6500001,4.999999926,2017-08-31,0.788972735,-0.52173388,,308.14,2.855861931,2017-08-31,313.8517239,302.4282761,310.3931972,306.6500001,316.285,3.534011438,319.0732387,2017-08-03
2017-08-04,312.85,306.3,6.549999991,2017-09-01,0.813562393,-0.569492996,,307.8125,2.655871103,2017-09-01,313.1242422,302.5007578,309.9732169,306.3,316.415,3.342985587,319.1347274,2017-08-04
2017-08-07,312.9,303.5000001,9.399999885,2017-09-04,0.340257406,-1.514427066,,307.3425,2.537263082,2017-09-04,312.4170262,302.2679738,308.2058226,303.5000001,316.52,3.1866663,317.6042868,2017-08-07
2017-08-08,312.85,302.6999999,10.15000014,2017-09-05,0.335367978,-1.731277704,,306.835,2.388409513,2017-09-05,311.611819,302.058181,307.6359961,302.6999999,316.5275,3.177365468,317.5930866,2017-08-08
2017-08-09,308.65,302.2999999,-6.350000081,2017-09-06,1.066392779,-1.65329361,,306.5175,2.550968598,2017-09-06,311.6194372,301.4155628,309.2378345,302.2999999,316.33,3.536776707,320.1015931,2017-08-09
2017-08-10,307.25,306.2,-1.05,2017-09-07,1.118324876,-0.10408894,,306.465,2.545899696,2017-09-07,311.5567994,301.3732006,309.312143,306.2,315.865,4.076508439,320.4238608,2017-08-10
2017-08-11,301.5,306.25,4.75000001,2017-09-08,0.895169377,-0.19983758,,306.7025,2.264338814,2017-09-08,311.2311776,302.1738224,308.7294668,306.25,315.105,5.180146818,319.7421088,2017-08-11
2017-08-14,304.6,309.25,4.649999978,2017-09-11,0.716798365,1.01722753,,306.935,2.275793673,2017-09-11,311.4865873,302.3834127,308.5662852,309.25,314.46,5.648208845,318.5086269,2017-08-14
2017-08-15,304.6,309.2,4.599999967,2017-09-12,0.703009129,0.900530159,,307.165,2.259779915,2017-09-12,311.6845598,302.6454402,308.7536459,309.2,313.7875,5.988714716,317.9976211,2017-08-15
2017-08-16,306.25,308.55,2.299999976,2017-09-13,0.615751624,0.559651732,,307.28,2.269268373,2017-09-13,311.8185367,302.7414633,308.6773057,308.55,313.165,6.097283692,316.9194123,2017-08-16
2017-08-17,307.9,310.2500001,2.350000077,2017-09-14,1.275914073,1.20765996,,307.3975,2.362006005,2017-09-14,312.121512,302.673488,310.4112167,310.2500001,312.58,6.008007814,320.2457017,2017-08-17
2017-08-18,307.75,311.1999999,3.449999898,2017-09-15,0.678748786,1.445972919,,307.57,2.510420388,2017-09-15,312.5908408,302.5491592,309.2739448,311.1999999,311.9125,5.747559551,315.8136491,2017-08-18
2017-08-21,307.05,316.6999997,9.649999726,2017-09-18,0.914302051,2.677600622,,308.0525,3.229570405,2017-09-18,314.5116408,301.5933592,311.0053028,316.6999997,311.2025,5.399938474,316.1396748,2017-08-21
2017-08-22,308.7,316.0500003,7.350000277,2017-09-19,1.502939105,2.066528559,,308.42,3.692182353,2017-09-19,315.8043647,301.0356353,313.9691252,316.0500003,310.655,5.041587574,318.2321991,2017-08-22
2017-08-23,308.6,315.8,7.200000033,2017-09-20,1.151646256,1.735549808,,308.78,4.044827756,2017-09-20,316.8696555,300.6903445,313.4382107,315.8,310.1375,4.662246889,315.5067592,2017-08-23
2017-08-24,310.1,316.0499998,5.949999757,2017-09-21,1.39691484,1.601393461,,309.0775,4.354020374,2017-09-21,317.7855407,300.3694593,315.1596957,316.0499998,309.65,4.064674519,315.3280042,2017-08-24
2017-08-25,310.25,313.7500001,3.500000128,2017-09-22,1.391689181,1.005622149,,309.2525,4.472355879,2017-09-22,318.1972118,300.3077882,315.4766293,313.7500001,309.535,4.010482974,315.1163458,2017-08-25
2017-08-28,308.2,313.7999999,5.599999909,2017-09-25,1.095060945,0.932365537,,309.5325,4.577067407,2017-09-25,318.6866348,300.3783652,314.5446678,313.7999999,309.2675,3.905639479,313.5444133,2017-08-28
2017-08-29,307.15,311.8,4.649999987,2017-09-26,0.750986576,0.44551304,,309.765,4.567767507,2017-09-26,318.900535,300.629465,313.1953321,311.8,308.7975,3.530747461,311.4490439,2017-08-29
2017-08-30,309,311.4,2.400000024,2017-09-27,1.135205388,0.330921441,,309.885,4.578125909,2017-09-27,319.0412518,300.7287482,315.0821132,311.4,308.39,2.936279422,311.7232802,2017-08-30
2017-08-31,306.65,311.6,4.950000017,2017-09-28,0.338976711,0.324126363,,310.1325,4.527555254,2017-09-28,319.1876105,301.0773895,311.6672358,311.6,308.14,2.855861931,309.1080707,2017-08-31
2017-09-01,306.3,314.3,8.000000038,2017-09-29,0.491168708,0.832682848,,310.5325,4.524531816,2017-09-29,319.5815636,301.4834364,312.7548084,314.3,307.8125,2.655871103,309.1169808,2017-09-01
2017-09-04,303.5,314.3000001,10.8000001,2017-10-02,0.202318341,0.754291713,,311.0725,4.278848683,2017-10-02,319.6301974,302.5148026,311.9381896,314.3000001,307.3425,2.537263082,307.8558349,2017-09-04
