date,index1,index2,loss_profits,pred_date,prediction,real,accuracy
2017-07-10,311.95,314.05,2.100000021,2017-08-07,2.764081955,0.673184812,0.602209945
2017-07-11,313.85,314,-0.150000005,2017-08-08,-0.228256315,0.047793534,
2017-07-12,313.75,309.7999999,-3.950000118,2017-08-09,0.605923295,-1.258964181,
2017-07-13,317.7,308.3999998,9.300000212,2017-08-10,-0.05915115,-2.927289963,
2017-07-14,317.85,302.6500005,-15.19999946,2017-08-11,1.578851938,-4.782129765,
2017-07-17,318.65,305.75,-12.89999996,2017-08-14,0.255247504,-4.048328876,
2017-07-18,319.2,307.4000001,11.79999989,2017-08-16,-1.097355962,-3.696741819,
2017-07-19,319.85,309.0499997,10.80000028,2017-08-17,-1.354198694,-3.376582861,
2017-07-20,320.75,308.8999999,11.85000006,2017-08-18,-0.966834486,-3.694466114,
2017-07-21,322.25,308.1999994,-14.05000055,2017-08-21,0.709811509,-4.359969139,
2017-07-24,322.4,309.8499999,-12.55000009,2017-08-22,0.343374521,-3.89267993,
2017-07-25,320.8,309.7499997,11.05000026,2017-08-23,-1.038220882,-3.444513798,
2017-07-26,320.1,311.2500001,8.849999868,2017-08-24,-1.005481958,-2.764760971,
2017-07-27,321,311.3999999,9.600000079,2017-08-25,-0.61643976,-2.99065423,
2017-07-28,313.7,309.3500002,-4.34999985,2017-08-28,1.521896601,-1.386675119,
2017-07-31,314.7,308.3000002,-6.399999845,2017-08-29,0.486207306,-2.033682823,
2017-08-01,317.7,310.15,-7.550000025,2017-08-30,1.085265994,-2.376455784,
2017-08-02,318.3,307.8000001,-10.49999993,2017-08-31,1.731193781,-3.298774719,
2017-08-03,312.8,307.4500001,-5.349999898,2017-09-01,4.025694847,-1.710358024,
2017-08-04,314,304.6500003,-9.349999695,2017-09-04,2.762867212,-2.977706909,
2017-08-07,314.05,303.85,-10.20000003,2017-09-05,3.532638311,-3.247890472,
2017-08-08,314,303.4500001,-10.5499999,2017-09-06,4.185071945,-3.35987258,
2017-08-09,309.8,307.3499999,-2.450000069,2017-09-07,4.562239647,-0.790832818,
2017-08-10,308.4,307.4,-0.999999998,2017-09-08,3.164113998,-0.324254215,
2017-08-11,302.65,310.4000002,7.750000219,2017-09-11,5.424791336,2.560713768,
2017-08-14,305.75,310.3500001,4.600000099,2017-09-12,6.250295639,1.50449717,
2017-08-16,307.4,309.7,2.299999962,2017-09-13,3.540816069,0.748210788,
2017-08-17,309.05,311.4,2.349999981,2017-09-14,4.150679588,0.760394752,
2017-08-18,308.9,312.3500002,3.450000156,2017-09-15,4.297339439,1.11686635,
2017-08-21,308.2,317.85,9.650000046,2017-09-18,4.362000942,3.131083727,
2017-08-22,309.85,317.2000002,7.350000224,2017-09-19,3.63512516,2.372115612,
2017-08-23,309.75,316.9500002,7.200000172,2017-09-20,3.680470228,2.324455261,
2017-08-24,311.25,317.2000001,5.950000057,2017-09-21,2.634563208,1.911646605,
2017-08-25,311.4,314.9,3.499999989,2017-09-22,2.879522085,1.123956323,
2017-08-28,309.35,314.95,5.600000029,2017-09-25,3.245760202,1.810247302,
2017-08-29,308.3,312.9500002,4.650000163,2017-09-26,1.366260052,1.508271217,
2017-08-30,310.15,312.5500001,-2.400000089,2017-09-27,-1.472710967,0.773819149,
2017-08-31,307.8,312.7499998,4.94999983,2017-09-28,2.244427443,1.608187079,
2017-09-01,307.45,315.45,7.999999996,2017-09-29,1.535305142,2.602049112,
2017-09-04,304.65,321.3000004,16.65000039,2017-10-10,0.194029212,5.465288162,
2017-09-05,303.85,324.4,20.55,2017-10-11,1.860483766,6.763205528,
2017-09-06,303.45,326.8000005,23.35000052,2017-10-12,4.227437973,7.694842815,
2017-09-07,307.35,326.4500003,19.10000033,2017-10-13,4.105293274,6.214413643,
2017-09-08,307.4,326.6499995,19.2499995,2017-10-16,2.891811848,6.262198925,
2017-09-11,310.4,326.9500004,16.5500004,2017-10-17,1.960963607,5.331830025,
2017-09-12,310.35,327.0000001,16.65000006,2017-10-18,2.809404373,5.364910603,
2017-09-13,309.7,325.2499998,15.5499998,2017-10-19,2.250218868,5.020987988,
2017-09-14,311.4,327.3999993,15.99999931,2017-10-20,1.325494766,5.138085842,
2017-09-15,312.35,328.1999999,15.84999994,2017-10-23,2.619054794,5.074435711,
2017-09-18,317.85,327.7000002,9.850000161,2017-10-24,1.370867133,3.098946095,
2017-09-19,317.2,327.8999997,10.69999969,2017-10-25,0.223876834,3.373265982,
2017-09-20,316.95,324.8999996,7.949999628,2017-10-26,0.084840812,2.508281946,
2017-09-21,317.2,327.9999997,10.79999969,2017-10-27,0.056833766,3.404791832,
2017-09-22,314.9,328.5999996,13.69999962,2017-10-30,1.062710166,4.350587368,
2017-09-25,314.95,332.2,17.24999997,2017-10-31,1.21051991,5.477059841,
2017-09-26,312.95,337.7000005,-24.75000055,2017-11-01,-1.306168795,7.908611774,
2017-09-27,312.55,336.1999995,-23.64999949,2017-11-02,-0.812674344,7.56678915,
2017-09-28,312.75,337.5000001,24.75000014,2017-11-03,0.783325315,7.913669109,
2017-09-29,315.45,335.2999997,19.84999967,2017-11-06,0.161886722,6.292597771,
2017-10-10,321.3,334.9000002,-13.60000021,2017-11-07,-0.23928234,4.232804298,
2017-10-11,324.4,336.4000003,12.00000034,2017-11-08,2.552272558,3.699136972,
2017-10-12,326.8,334.8,-7.99999996,2017-11-09,-0.743617296,2.447980404,
2017-10-13,326.45,334.0499998,-7.599999838,2017-11-10,-0.704139471,2.328074694,
2017-10-16,326.65,332.7,-6.04999996,2017-11-13,-2.118695974,1.852135301,
2017-10-17,326.95,332.4499999,-5.499999913,2017-11-14,-0.057319053,1.682214379,
2017-10-18,327,330.3000001,-3.300000114,2017-11-15,-0.261575609,1.009174347,
2017-10-19,325.25,332.4499997,-7.199999722,2017-11-16,-0.623417556,2.213681698,
2017-10-20,327.4,332.1,-4.699999983,2017-11-17,-0.102258272,1.435552835,
2017-10-23,328.2,330.6,2.40000002,2017-11-20,1.879593253,0.731261432,
2017-10-24,327.7,331.9999999,-4.299999935,2017-11-21,-0.580124319,1.312175751,
2017-10-25,327.9,333.7,-5.800000024,2017-11-22,-0.3801139,1.768831968,
2017-10-26,324.9,332.6000003,-7.700000266,2017-11-23,-2.284064293,2.36996007,
2017-10-27,328,333.3999999,-5.399999933,2017-11-24,-0.363004386,1.646341443,
2017-10-30,328.6,327.05,1.549999974,2017-11-27,-0.953156769,-0.471698105,
2017-10-31,332.2,328.8499999,3.350000118,2017-11-28,-1.834951758,-1.008428693,
2017-11-01,337.7,328.8500004,8.84999964,2017-11-29,-2.00722003,-2.620669127,
2017-11-02,336.2,323.3999998,12.80000023,2017-11-30,-2.598850727,-3.807257652,
2017-11-03,337.5,323.0000006,14.4999994,2017-12-01,-2.90005374,-4.29629612,
2017-11-06,335.3,326.15,9.149999953,2017-12-04,-1.255208611,-2.728899479,
2017-11-07,334.9,327.75,7.149999989,2017-12-05,-1.96900022,-2.134965658,
2017-11-08,336.4,322.8000001,13.59999988,2017-12-06,-1.387372851,-4.042806149,
2017-11-09,334.8,321.8499998,12.95000024,2017-12-07,-1.824447274,-3.867980957,
2017-11-10,334.05,322.5500002,11.49999976,2017-12-08,-0.951981604,-3.442598343,
2017-11-13,332.7,322.6500003,10.04999971,2017-12-11,-0.662171423,-3.020739317,
2017-11-14,332.45,321.5999997,10.85000026,2017-12-12,-0.480052173,-3.263648748,
2017-11-15,330.3,323.9999999,-6.300000097,2017-12-13,1.157738805,-1.907356977,
2017-11-16,332.45,325.4499998,-7.000000221,2017-12-14,0.586342692,-2.105579853,
2017-11-17,332.1,323.9000001,-8.199999863,2017-12-15,0.562740743,-2.469135761,
2017-11-20,330.6,325.2999999,-5.30000014,2017-12-18,0.545078158,-1.603145838,
2017-11-21,332,325,6.999999962,2017-12-19,-0.775129735,-2.108433723,
2017-11-22,333.7,324.7000003,8.999999678,2017-12-20,-0.265305489,-2.697033167,
2017-11-23,332.6,318.0000007,14.59999925,2017-12-21,-1.610334158,-4.389657021,
2017-11-24,333.4,319.6500003,13.74999969,2017-12-22,-2.644870043,-4.124175072,
2017-11-27,327.05,318.6,-8.450000016,2017-12-26,0.174996078,-2.583702803,
2017-11-28,328.85,322.3500001,6.499999873,2017-12-27,-0.145089924,-1.976585031,
2017-11-29,328.85,326.8,2.050000044,2017-12-28,-0.01061178,-0.623384535,
2017-11-30,323.4,327.65,4.249999959,2018-01-02,1.54633677,1.314162016,
2017-12-01,323,328.8500001,-5.850000107,2018-01-03,-0.07755328,1.811145544,
2017-12-04,326.15,326.15,0,2018-01-04,-0.999023139,0,
2017-12-05,327.75,330.1,-2.349999954,2018-01-05,-1.511924148,0.717009902,
2017-12-06,322.8,332.4000004,-9.600000352,2018-01-08,-0.996123612,2.973977804,
2017-12-07,321.85,331.5999999,-9.749999944,2018-01-09,-1.118860602,3.029361486,
2017-12-08,322.55,328.9999999,6.449999891,2018-01-10,1.311723828,1.999689937,
2017-12-11,322.65,327.6500002,-5.000000193,2018-01-11,-0.074575014,1.549666882,
2017-12-12,321.6,327.9999999,6.399999899,2018-01-12,2.403874636,1.99004972,
2017-12-13,324,328.4500001,-4.450000148,2018-01-15,-0.98789221,1.373456836,
2017-12-14,325.45,331.6500001,6.200000096,2018-01-16,0.171348393,1.905054569,
2017-12-15,323.9,330.3499998,-6.449999817,2018-01-17,-0.172365904,1.9913553,
2017-12-18,325.3,330.5499999,5.24999985,2018-01-18,1.350922823,1.61389482,
2017-12-19,325,330.7499999,5.749999851,2018-01-19,2.182027102,1.769230723,
2017-12-20,324.7,327.4000001,2.700000085,2018-01-22,2.415661097,0.831536829,
2017-12-21,318,332.3999995,14.39999946,2018-01-23,3.594609261,4.528301716,
2017-12-22,319.65,332.7499994,13.09999945,2018-01-24,3.154848337,4.098232269,
2017-12-26,318.6,335.4500006,-16.85000058,2018-01-25,-0.004324801,5.288763523,
2017-12-27,322.35,337.1000004,14.75000043,2018-01-26,2.718940496,4.575771809,
2017-12-28,326.8,339.6500001,12.85000014,2018-01-29,0.82106787,3.932068586,
2018-01-02,327.65,335.0499998,7.399999792,2018-01-30,1.982765317,2.25850749,
2018-01-03,328.85,335.5999999,6.749999883,2018-01-31,2.285883188,2.052607536,
2018-01-04,326.15,334.8000002,8.650000169,2018-02-01,1.475389481,2.652153969,
