date,index1,pred_date,index2,prediction,real,accuracy,profits,average profit,average loss,max profit,max loss
2017-07-10,311.95,2017-08-07,314.05,0.665891647,0.673184812,1,2.100000021,10.29208332,-8.034166653,30.5999985,-23.35000079
2017-07-11,313.85,2017-08-08,314,0.753402352,0.047793534,1,0.150000005,,,,
2017-07-12,313.75,2017-08-09,309.7999999,0.152692854,-1.258964181,0,-3.950000118,accuracy,0.662983425,,
2017-07-13,317.7,2017-08-10,308.3999998,0.838365912,-2.927289963,0,-9.300000212,,,,
2017-07-14,317.85,2017-08-11,302.6500005,0.391841203,-4.782129765,0,-15.19999946,,,,
2017-07-17,318.65,2017-08-14,305.75,-0.436654747,-4.048328876,1,12.89999996,,,,
2017-07-18,319.2,2017-08-16,307.4000001,-0.229404151,-3.696741819,1,11.79999989,,,,
2017-07-19,319.85,2017-08-17,309.0499997,0.666344821,-3.376582861,0,-10.80000028,,,,
2017-07-20,320.75,2017-08-18,308.8999999,0.764119685,-3.694466114,0,-11.85000006,,,,
2017-07-21,322.25,2017-08-21,308.1999994,0.924926698,-4.359969139,0,-14.05000055,,,,
2017-07-24,322.4,2017-08-22,309.8499999,-0.632016659,-3.89267993,1,12.55000009,,,,
2017-07-25,320.8,2017-08-23,309.7499997,0.790410757,-3.444513798,0,-11.05000026,,,,
2017-07-26,320.1,2017-08-24,311.2500001,1.270149827,-2.764760971,0,-8.849999868,,,,
2017-07-27,321,2017-08-25,311.3999999,1.781759024,-2.99065423,0,-9.600000079,,,,
2017-07-28,313.7,2017-08-28,309.3500002,1.12593019,-1.386675119,0,-4.34999985,,,,
2017-07-31,314.7,2017-08-29,308.3000002,1.257076144,-2.033682823,0,-6.399999845,,,,
2017-08-01,317.7,2017-08-30,310.15,2.699416161,-2.376455784,0,-7.550000025,,,,
2017-08-02,318.3,2017-08-31,307.8000001,1.820724845,-3.298774719,0,-10.49999993,,,,
2017-08-03,312.8,2017-09-01,307.4500001,5.203447342,-1.710358024,0,-5.349999898,,,,
2017-08-04,314,2017-09-04,304.6500003,4.722979069,-2.977706909,0,-9.349999695,,,,
2017-08-07,314.05,2017-09-05,303.85,1.397023797,-3.247890472,0,-10.20000003,,,,
2017-08-08,314,2017-09-06,303.4500001,2.459821224,-3.35987258,0,-10.5499999,,,,
2017-08-09,309.8,2017-09-07,307.3499999,2.961379051,-0.790832818,0,-2.450000069,,,,
2017-08-10,308.4,2017-09-08,307.4,4.035574436,-0.324254215,0,-0.999999998,,,,
2017-08-11,302.65,2017-09-11,310.4000002,3.194948435,2.560713768,1,7.750000219,,,,
2017-08-14,305.75,2017-09-12,310.3500001,2.296471119,1.50449717,1,4.600000099,,,,
2017-08-16,307.4,2017-09-13,309.7,1.437481761,0.748210788,1,2.299999962,,,,
2017-08-17,309.05,2017-09-14,311.4,-1.04265511,0.760394752,0,-2.349999981,,,,
2017-08-18,308.9,2017-09-15,312.3500002,0.822160423,1.11686635,1,3.450000156,,,,
2017-08-21,308.2,2017-09-18,317.85,0.375277698,3.131083727,1,9.650000046,,,,
2017-08-22,309.85,2017-09-19,317.2000002,0.528538704,2.372115612,1,7.350000224,,,,
2017-08-23,309.75,2017-09-20,316.9500002,0.963172436,2.324455261,1,7.200000172,,,,
2017-08-24,311.25,2017-09-21,317.2000001,0.40860945,1.911646605,1,5.950000057,,,,
2017-08-25,311.4,2017-09-22,314.9,1.858585954,1.123956323,1,3.499999989,,,,
2017-08-28,309.35,2017-09-25,314.95,2.267601967,1.810247302,1,5.600000029,,,,
2017-08-29,308.3,2017-09-26,312.9500002,2.051625252,1.508271217,1,4.650000163,,,,
2017-08-30,310.15,2017-09-27,312.5500001,-1.683022261,0.773819149,0,-2.400000089,,,,
2017-08-31,307.8,2017-09-28,312.7499998,1.292937875,1.608187079,1,4.94999983,,,,
2017-09-01,307.45,2017-09-29,315.45,0.193956703,2.602049112,1,7.999999996,,,,
2017-09-04,304.65,2017-10-10,321.3000004,1.313744903,5.465288162,1,16.65000039,,,,
2017-09-05,303.85,2017-10-11,324.4,-0.305400431,6.763205528,0,-20.55,,,,
2017-09-06,303.45,2017-10-12,326.8000005,0.517359495,7.694842815,1,23.35000052,,,,
2017-09-07,307.35,2017-10-13,326.4500003,1.48617816,6.214413643,1,19.10000033,,,,
2017-09-08,307.4,2017-10-16,326.6499995,2.714003563,6.262198925,1,19.2499995,,,,
