date,index1,index2,pred_date,prediction,real,accuracy,profits,average profit,average loss,max profit,max loss
2017-07-10,311.95,314.05,2017-08-07,0.625470042,0.673184812,1,2.100000021,10.28749999,-8.043333319,30.5999985,-23.35000079
2017-07-11,313.85,314,2017-08-08,0.722249031,0.047793534,1,0.150000005,,,,
2017-07-12,313.75,309.7999999,2017-08-09,0.14547585,-1.258964181,0,-3.950000118,accuracy,0.662983425,,
2017-07-13,317.7,308.3999998,2017-08-10,0.752234817,-2.927289963,0,-9.300000212,,,,
2017-07-14,317.85,302.6500005,2017-08-11,0.371288836,-4.782129765,0,-15.19999946,,,,
2017-07-17,318.65,305.75,2017-08-14,-0.380448133,-4.048328876,1,12.89999996,,,,
2017-07-18,319.2,307.4000001,2017-08-16,-0.273205906,-3.696741819,1,11.79999989,,,,
2017-07-19,319.85,309.0499997,2017-08-17,0.696283698,-3.376582861,0,-10.80000028,,,,
2017-07-20,320.75,308.8999999,2017-08-18,0.767011642,-3.694466114,0,-11.85000006,,,,
2017-07-21,322.25,308.1999994,2017-08-21,1.011527777,-4.359969139,0,-14.05000055,,,,
2017-07-24,322.4,309.8499999,2017-08-22,-0.572242498,-3.89267993,1,12.55000009,,,,
2017-07-25,320.8,309.7499997,2017-08-23,0.706409216,-3.444513798,0,-11.05000026,,,,
2017-07-26,320.1,311.2500001,2017-08-24,1.264690518,-2.764760971,0,-8.849999868,,,,
2017-07-27,321,311.3999999,2017-08-25,1.753908515,-2.99065423,0,-9.600000079,,,,
2017-07-28,313.7,309.3500002,2017-08-28,1.120174766,-1.386675119,0,-4.34999985,,,,
2017-07-31,314.7,308.3000002,2017-08-29,1.313296914,-2.033682823,0,-6.399999845,,,,
2017-08-01,317.7,310.15,2017-08-30,2.689764738,-2.376455784,0,-7.550000025,,,,
2017-08-02,318.3,307.8000001,2017-08-31,1.682537436,-3.298774719,0,-10.49999993,,,,
2017-08-03,312.8,307.4500001,2017-09-01,5.130692482,-1.710358024,0,-5.349999898,,,,
2017-08-04,314,304.6500003,2017-09-04,4.735632896,-2.977706909,0,-9.349999695,,,,
2017-08-07,314.05,303.85,2017-09-05,1.315454602,-3.247890472,0,-10.20000003,,,,
2017-08-08,314,303.4500001,2017-09-06,2.508027077,-3.35987258,0,-10.5499999,,,,
2017-08-09,309.8,307.3499999,2017-09-07,2.96506834,-0.790832818,0,-2.450000069,,,,
2017-08-10,308.4,307.4,2017-09-08,4.023273945,-0.324254215,0,-0.999999998,,,,
2017-08-11,302.65,310.4000002,2017-09-11,3.195485592,2.560713768,1,7.750000219,,,,
2017-08-14,305.75,310.3500001,2017-09-12,2.374106646,1.50449717,1,4.600000099,,,,
2017-08-16,307.4,309.7,2017-09-13,1.559687018,0.748210788,1,2.299999962,,,,
