date,index1,index2,pred_date,profits,prediction,real,accuracy
2017-07-10,311.95,314.05,2017-08-07,2.100000021,0.749202609,0.673184812,0.662983425
2017-07-11,313.85,314,2017-08-08,0.150000005,0.813459396,0.047793534,
2017-07-12,313.75,309.7999999,2017-08-09,-3.950000118,0.190341234,-1.258964181,
2017-07-13,317.7,308.3999998,2017-08-10,-9.300000212,0.811023235,-2.927289963,
2017-07-14,317.85,302.6500005,2017-08-11,-15.19999946,0.463558257,-4.782129765,
2017-07-17,318.65,305.75,2017-08-14,12.89999996,-0.317089587,-4.048328876,
2017-07-18,319.2,307.4000001,2017-08-16,11.79999989,-0.121382594,-3.696741819,
2017-07-19,319.85,309.0499997,2017-08-17,-10.80000028,0.79393661,-3.376582861,
2017-07-20,320.75,308.8999999,2017-08-18,-11.85000006,0.850571156,-3.694466114,
2017-07-21,322.25,308.1999994,2017-08-21,-14.05000055,1.10259366,-4.359969139,
2017-07-24,322.4,309.8499999,2017-08-22,12.55000009,-0.459687263,-3.89267993,
2017-07-25,320.8,309.7499997,2017-08-23,-11.05000026,0.835693598,-3.444513798,
2017-07-26,320.1,311.2500001,2017-08-24,-8.849999868,1.314339876,-2.764760971,
2017-07-27,321,311.3999999,2017-08-25,-9.600000079,1.904546618,-2.99065423,
2017-07-28,313.7,309.3500002,2017-08-28,-4.34999985,1.099553347,-1.386675119,
2017-07-31,314.7,308.3000002,2017-08-29,-6.399999845,1.448962808,-2.033682823,
2017-08-01,317.7,310.15,2017-08-30,-7.550000025,2.692662716,-2.376455784,
2017-08-02,318.3,307.8000001,2017-08-31,-10.49999993,1.757434368,-3.298774719,
2017-08-03,312.8,307.4500001,2017-09-01,-5.349999898,5.180171967,-1.710358024,
2017-08-04,314,304.6500003,2017-09-04,-9.349999695,4.844240189,-2.977706909,
2017-08-07,314.05,303.85,2017-09-05,-10.20000003,1.395761371,-3.247890472,
2017-08-08,314,303.4500001,2017-09-06,-10.5499999,2.608918905,-3.35987258,
2017-08-09,309.8,307.3499999,2017-09-07,-2.450000069,2.902349472,-0.790832818,
2017-08-10,308.4,307.4,2017-09-08,-0.999999998,4.011853695,-0.324254215,
2017-08-11,302.65,310.4000002,2017-09-11,7.750000219,3.300830841,2.560713768,
2017-08-14,305.75,310.3500001,2017-09-12,4.600000099,2.504045248,1.50449717,
2017-08-16,307.4,309.7,2017-09-13,2.299999962,1.662407041,0.748210788,
2017-08-17,309.05,311.4,2017-09-14,-2.349999981,-0.866025329,0.760394752,
2017-08-18,308.9,312.3500002,2017-09-15,3.450000156,1.000876427,1.11686635,
2017-08-21,308.2,317.85,2017-09-18,9.650000046,0.570574045,3.131083727,
2017-08-22,309.85,317.2000002,2017-09-19,7.350000224,0.67066288,2.372115612,
2017-08-23,309.75,316.9500002,2017-09-20,7.200000172,1.143719792,2.324455261,
2017-08-24,311.25,317.2000001,2017-09-21,5.950000057,0.553773105,1.911646605,
2017-08-25,311.4,314.9,2017-09-22,3.499999989,1.994214296,1.123956323,
2017-08-28,309.35,314.95,2017-09-25,5.600000029,2.454455853,1.810247302,
2017-08-29,308.3,312.9500002,2017-09-26,4.650000163,2.130475998,1.508271217,
2017-08-30,310.15,312.5500001,2017-09-27,-2.400000089,-1.584378242,0.773819149,
2017-08-31,307.8,312.7499998,2017-09-28,4.94999983,1.364304781,1.608187079,
2017-09-01,307.45,315.45,2017-09-29,7.999999996,0.302324891,2.602049112,
2017-09-04,304.65,321.3000004,2017-10-10,16.65000039,1.464330554,5.465288162,
2017-09-05,303.85,324.4,2017-10-11,-20.55,-0.120269507,6.763205528,
2017-09-06,303.45,326.8000005,2017-10-12,23.35000052,0.529620945,7.694842815,
2017-09-07,307.35,326.4500003,2017-10-13,19.10000033,1.568528295,6.214413643,
2017-09-08,307.4,326.6499995,2017-10-16,19.2499995,2.736894131,6.262198925,
2017-09-11,310.4,326.9500004,2017-10-17,16.5500004,3.114389658,5.331830025,
2017-09-12,310.35,327.0000001,2017-10-18,16.65000006,3.949175358,5.364910603,
2017-09-13,309.7,325.2499998,2017-10-19,15.5499998,3.244032145,5.020987988,
2017-09-14,311.4,327.3999993,2017-10-20,15.99999931,3.730250597,5.138085842,
2017-09-15,312.35,328.1999999,2017-10-23,15.84999994,1.265184045,5.074435711,
2017-09-18,317.85,327.7000002,2017-10-24,9.850000161,0.700635314,3.098946095,
2017-09-19,317.2,327.8999997,2017-10-25,-10.69999969,-0.369064838,3.373265982,
2017-09-20,316.95,324.8999996,2017-10-26,7.949999628,0.706633806,2.508281946,
