date,index1,index2,loss_profits,pred_date,prediction,real,accuracy,평균 이익,평균손실,최대이익,최대손실
2017-07-10,311.95,326.9999997,15.04999975,2017-10-18,4.981960297,4.824491024,0.691176471,15.61542563,-8.008333329,29.90000126,-19.44999967
2017-07-11,313.85,325.2500002,11.40000017,2017-10-19,4.168662071,3.632308483,,,,,
2017-07-12,313.75,327.3999993,13.64999928,2017-10-20,4.342970371,4.350597382,,,,,
2017-07-13,317.7,328.2000004,10.50000036,2017-10-23,1.652874351,3.305004835,,,,,
2017-07-14,317.85,327.7000002,9.850000161,2017-10-24,2.459461451,3.098946095,,,,,
2017-07-17,318.65,327.8999996,9.249999622,2017-10-25,1.249765635,2.90287137,,,,,
2017-07-18,319.2,324.8999999,5.699999946,2017-10-26,3.765805483,1.785714269,,,,,
2017-07-19,319.85,328.0000002,8.150000222,2017-10-27,3.024734735,2.548069477,,,,,
2017-07-20,320.75,328.5999999,7.849999856,2017-10-30,2.69647336,2.447388887,,,,,
2017-07-21,322.25,332.2,9.949999955,2017-10-31,3.793845415,3.087664843,,,,,
2017-07-24,322.4,337.6999996,15.2999996,2017-11-01,2.557379723,4.745657444,,,,,
2017-07-25,320.8,336.2000007,15.40000067,2017-11-02,3.451797724,4.800498962,,,,,
2017-07-26,320.1,337.5000006,17.40000062,2017-11-03,4.345139027,5.435801506,,,,,
2017-07-27,321,335.3000003,14.30000025,2017-11-06,2.937404394,4.454828739,,,,,
2017-07-28,313.7,334.8999997,21.19999975,2017-11-07,5.274446964,6.758049011,,,,,
2017-07-31,314.7,336.3999995,21.69999952,2017-11-08,1.500077248,6.895455837,,,,,
2017-08-01,317.7,334.8,17.10000005,2017-11-09,2.134514093,5.382436275,,,,,
2017-08-02,318.3,334.0499999,15.7499999,2017-11-10,1.769077063,4.948162079,,,,,
2017-08-03,312.8,332.7000004,19.90000037,2017-11-13,4.283727646,6.3618927,,,,,
2017-08-04,314,332.4500004,18.45000044,2017-11-14,3.938282967,5.875796318,,,,,
2017-08-07,314.05,330.3000006,16.25000057,2017-11-15,3.039396048,5.17433548,,,,,
2017-08-08,314,332.4500004,18.45000044,2017-11-16,3.441341162,5.875796318,,,,,
2017-08-09,309.8,332.1000007,22.30000066,2017-11-17,4.625648975,7.198192596,,,,,
2017-08-10,308.4,330.5999995,22.19999949,2017-11-20,3.809699774,7.198443413,,,,,
2017-08-11,302.65,332.0000011,29.35000109,2017-11-21,6.839609623,9.697670937,,,,,
2017-08-14,305.75,333.7000007,27.95000065,2017-11-22,4.947176456,9.14145565,,,,,
2017-08-16,307.4,332.600001,25.20000105,2017-11-23,4.259142876,8.197788239,,,,,
2017-08-17,309.05,333.4,24.34999997,2017-11-24,2.308744669,7.878983974,,,,,
2017-08-18,308.9,327.0500005,18.15000047,2017-11-27,3.070547104,5.875688076,,,,,
2017-08-21,308.2,328.8500005,20.65000048,2017-11-28,3.812752485,6.700194836,,,,,
2017-08-22,309.85,328.8500004,19.00000043,2017-11-29,1.259247303,6.131999493,,,,,
2017-08-23,309.75,323.4000003,13.65000033,2017-11-30,2.218212366,4.406779766,,,,,
2017-08-24,311.25,323.0000002,11.75000021,2017-12-01,1.25839889,3.77510047,,,,,
2017-08-25,311.4,326.1499993,14.74999934,2017-12-04,0.575836718,4.736672878,,,,,
2017-08-28,309.35,327.7500007,18.40000067,2017-12-05,0.774418712,5.947955608,,,,,
2017-08-29,308.3,322.8000005,14.50000046,2017-12-06,0.844360948,4.703211308,,,,,
2017-08-30,310.15,321.8499999,-11.69999995,2017-12-07,-0.633589029,3.772368193,,,,,
2017-08-31,307.8,322.55,14.75,2017-12-08,0.298589587,4.792072773,,,,,
2017-09-01,307.45,322.6500004,-15.20000036,2017-12-11,-0.464427918,4.943893433,,,,,
2017-09-04,304.65,321.6000001,16.95000005,2017-12-12,0.956354499,5.563761711,,,,,
2017-09-05,303.85,324.0000004,20.1500004,2017-12-13,0.258284569,6.631561756,,,,,
2017-09-06,303.45,325.4500006,22.00000056,2017-12-14,0.844554186,7.249958992,,,,,
2017-09-07,307.35,323.8999995,16.54999947,2017-12-15,1.048794866,5.384740353,,,,,
2017-09-08,307.4,325.3000001,17.90000007,2017-12-18,1.507224321,5.823031902,,,,,
2017-09-11,310.4,324.9999993,14.59999934,2017-12-19,0.215088218,4.703608036,,,,,
2017-09-12,310.35,324.6999997,-14.34999968,2017-12-20,-1.337000012,4.623811722,,,,,
2017-09-13,309.7,318.0000001,-8.300000079,2017-12-21,-0.889908195,2.680012941,,,,,
2017-09-14,311.4,319.6499999,-8.249999947,2017-12-22,-1.006763935,2.649325609,,,,,
2017-09-15,312.35,318.5999997,6.249999653,2017-12-26,0.046498701,2.00096035,,,,,
2017-09-18,317.85,322.3500001,-4.500000108,2017-12-27,-0.019490361,1.415762186,,,,,
2017-09-19,317.2,326.7999997,-9.599999725,2017-12-28,-2.927606344,3.026481628,,,,,
2017-09-20,316.95,327.6499998,-10.69999978,2018-01-02,-2.562044382,3.375926733,,,,,
2017-09-21,317.2,328.85,-11.65000004,2018-01-03,-0.980332375,3.672761679,,,,,
2017-09-22,314.9,326.1499999,-11.24999993,2018-01-04,-0.150252193,3.572562695,,,,,
2017-09-25,314.95,330.1000004,15.1500004,2018-01-05,0.161869481,4.810287476,,,,,
2017-09-26,312.95,332.3999997,-19.44999967,2018-01-08,-0.881374598,6.21505022,,,,,
2017-09-27,312.55,331.5999993,-19.04999934,2018-01-09,-0.283193916,6.095024586,,,,,
2017-09-28,312.75,328.9999997,16.24999967,2018-01-10,0.479745299,5.19584322,,,,,
2017-09-29,315.45,327.6499996,-12.19999963,2018-01-11,-0.182061732,3.867490768,,,,,
2017-10-10,321.3,327.9999999,-6.699999856,2018-01-12,-0.886097908,2.085278511,,,,,
2017-10-11,324.4,328.4500002,-4.050000163,2018-01-15,-3.396592855,1.248458743,,,,,
2017-10-12,326.8,331.6500002,-4.85000018,2018-01-16,-4.224844456,1.484088182,,,,,
2017-10-13,326.45,330.3500001,-3.900000091,2018-01-17,-3.425154686,1.194669962,,,,,
2017-10-16,326.65,330.5500001,-3.90000009,2018-01-18,-2.614135981,1.193938494,,,,,
2017-10-17,326.95,330.7499999,-3.799999897,2018-01-19,-6.193552971,1.162257195,,,,,
2017-10-18,327,327.4,-0.400000007,2018-01-22,-4.910909176,0.122324161,,,,,
2017-10-19,325.25,332.3999998,-7.149999843,2018-01-23,-4.50104332,2.198308945,,,,,
2017-10-20,327.4,332.7499999,-5.349999948,2018-01-24,-2.963482141,1.634086728,,,,,
2017-10-23,328.2,335.4500002,-7.25000018,2018-01-25,-2.771279573,2.209018946,,,,,
2017-10-24,327.7,337.1000003,-9.400000258,2018-01-26,-2.574848175,2.868477345,,,,,
2017-10-25,327.9,339.6499999,-11.74999991,2018-01-29,-1.101449966,3.583409548,,,,,
2017-10-26,324.9,335.0500002,-10.15000017,2018-01-30,-2.284038782,3.124038219,,,,,
2017-10-27,328,335.5999998,-7.59999979,2018-01-31,-0.856950283,2.317073107,,,,,
2017-10-30,328.6,334.7999999,-6.199999897,2018-02-01,-1.251774073,1.886792421,,,,,
2017-10-31,332.2,328.55,3.649999963,2018-02-02,-2.960950136,-1.09873569,,,,,
2017-11-01,337.7,324.1500007,13.5499993,2018-02-05,-2.885974646,-4.012436867,,,,,
