date,index1,index2,loss_profits,pred_date,prediction,real,이동펴균,std,,real 지수,prediction 지수,BT,BB,
2017-07-10,310.8,312.1232085,1.323208545,2017-10-09,0.442690849,0.425742775,313.3125,2.31947561,2017-10-09,314.3,314.3393106,318.9389512,309.6610488,1
2017-07-11,312.7,320.3359227,7.635922739,2017-10-10,0.200184435,2.44193244,313.86,2.575828942,2017-10-10,320.15,314.3756409,325.3016579,314.9983421,0
2017-07-12,312.6,321.5088783,8.908878349,2017-10-11,0.255553037,2.849929094,314.595,3.036917585,2017-10-11,323.25,315.3710935,329.3238352,317.1761648,0
2017-07-13,316.55,325.2396715,8.689671476,2017-10-12,0.155603066,2.745118141,315.365,3.746651136,2017-10-12,325.65,315.9479904,333.1433023,318.1566977,0
2017-07-14,316.7,323.6292562,6.929256197,2017-10-13,0.233565196,2.187955856,316.07,4.218549264,2017-10-13,325.3,317.0553063,333.7370985,316.8629015,1
2017-07-17,317.5,323.5509206,6.05092063,2017-10-16,0.628103852,1.905801773,316.51,4.717174667,2017-10-16,325.5,319.4728756,334.9343493,316.0656507,1
2017-07-18,318.05,323.485134,5.435134,2017-10-17,0.728539407,1.708892941,316.9975,5.150995688,2017-10-17,325.8,320.7502033,336.1019914,315.4980086,1
2017-07-19,318.7,323.5331717,4.83317173,2017-10-18,0.060084656,1.516527057,317.5,5.50600151,2017-10-18,325.85,317.8308262,336.862003,314.837997,1
2017-07-20,319.6,323.0836721,-3.48367211,2017-10-19,-0.054019883,1.090010047,317.9025,5.685727167,2017-10-19,324.1,317.5953577,335.4714543,312.7285457,1
2017-07-21,321.1,325.3109745,4.21097448,2017-10-20,0.855857491,1.311421514,318.5275,5.888648201,2017-10-20,326.25,323.5673437,338.0272964,314.4727036,1
2017-07-24,321.25,325.4089527,4.1589527,2017-10-23,0.441292584,1.294615626,319.19,6.071300043,2017-10-23,327.05,321.8692197,339.1926001,314.9073999,1
2017-07-25,319.65,323.1652295,-3.515229453,2017-10-24,-0.374245316,1.099712014,319.9275,6.022031372,2017-10-24,326.55,317.673783,338.5940627,314.5059373,1
2017-07-26,318.95,322.2491081,-3.299108113,2017-10-25,-0.474915087,1.034365296,320.695,5.853831404,2017-10-25,326.75,317.9149271,338.4576628,315.0423372,1
2017-07-27,319.85,321.2788593,1.428859289,2017-10-26,0.230272412,0.446727931,321.3025,5.478726201,2017-10-26,323.75,322.5640995,334.7074524,312.7925476,1
2017-07-28,312.55,315.4233683,-2.87336834,2017-10-27,-0.311465472,0.919330776,321.93,5.351718858,2017-10-27,326.85,320.2631244,337.5534377,316.1465623,1
2017-07-31,313.55,316.4991954,-2.949195351,2017-10-30,-0.541181445,0.940582156,322.5875,5.169670533,2017-10-30,327.45,319.7897702,337.7893411,317.1106589,1
2017-08-01,316.55,321.2708192,4.720819165,2017-10-31,0.04673991,1.491334438,323.425,5.112870756,2017-10-31,331.05,323.6639751,341.2757415,320.8242585,1
2017-08-02,317.15,324.1616284,7.011628356,2017-11-01,0.024798103,2.210824013,324.5375,5.433494441,2017-11-01,336.55,324.6722404,347.4169889,325.6830111,0
2017-08-03,311.65,317.1628996,5.512899565,2017-11-02,0.01886333,1.768939376,325.575,5.356316979,2017-11-02,335.05,325.676038,345.762634,324.337366,1
2017-08-04,312.85,318.6919981,-5.841998079,2017-11-03,-0.005659652,1.867347956,326.6775,5.179805803,2017-11-03,336.35,326.6481841,346.7096116,325.9903884,1
2017-08-07,312.9,317.3598502,4.459850244,2017-11-06,0.041340999,1.425327659,327.67,4.546322979,2017-11-06,334.15,327.8579495,343.242646,325.057354,1
2017-08-08,312.85,316.7103586,3.860358557,2017-11-07,0.412541658,1.233932734,328.35,4.376251701,2017-11-07,333.75,330.1553861,342.5025034,324.9974966,1
2017-08-09,308.65,313.0078968,4.357896817,2017-11-08,0.381475717,1.411921859,328.95,4.462003326,2017-11-08,335.25,330.6521459,344.1740067,326.3259933,1
2017-08-10,307.25,310.1801242,2.930124231,2017-11-09,0.652695656,0.953661263,329.35,4.508938491,2017-11-09,333.65,332.2929646,342.667877,324.632123,1
2017-08-11,301.5,303.6382814,-2.138281384,2017-11-10,-0.708337605,0.709214389,329.73,4.469734479,2017-11-10,332.9,326.563919,341.839469,323.960531,1
2017-08-14,304.6,305.6572401,-1.057240061,2017-11-13,-0.12697652,0.347091287,330.0325,4.372048629,2017-11-13,331.55,329.4773525,340.2940973,322.8059027,1
2017-08-15,304.6,305.3090883,-0.709088305,2017-11-14,-0.113418616,0.232793272,330.3075,4.263439278,2017-11-14,331.3,329.8239466,339.8268786,322.7731214,1
2017-08-16,306.25,305.2726538,-0.977346223,2017-11-15,0.269414008,-0.319133461,330.4725,4.144034235,2017-11-15,329.15,331.5889609,337.4380685,320.8619315,1
2017-08-17,307.9,308.2724636,0.372463589,2017-11-16,0.37207216,0.120969012,330.8325,3.864626182,2017-11-16,331.3,332.2704198,339.0292524,323.5707476,1
2017-08-18,307.75,307.6525625,-0.097437542,2017-11-17,0.377785385,-0.031661265,331.0675,3.71115938,2017-11-17,330.95,332.4695218,338.3723188,323.5276812,1
2017-08-21,307.05,305.5729361,1.477063886,2017-11-20,-0.023911379,-0.481049955,331.1875,3.611890998,2017-11-20,329.45,331.1011347,336.673782,322.226218,1
2017-08-22,308.7,308.2049808,-0.495019156,2017-11-21,0.053014304,-0.16035606,331.4025,3.445457536,2017-11-21,330.85,331.5851585,337.7409151,323.9590849,1
2017-08-23,308.6,309.4085009,0.808500897,2017-11-22,0.318101287,0.261989921,331.6925,3.273026726,2017-11-22,332.55,332.733654,339.0960535,326.0039465,1
2017-08-24,310.1,309.3768003,-0.723199728,2017-11-23,0.300779879,-0.233215004,332.0775,2.690650234,2017-11-23,331.45,332.8867935,336.8313005,326.0686995,1
2017-08-25,310.25,310.1235892,0.126410754,2017-11-24,-0.192212433,-0.040744804,332.3475,2.392943299,2017-11-24,332.25,331.8875465,337.0358866,327.4641134,1
2017-08-28,308.2,300.5842525,7.615747517,2017-11-27,-0.011678264,-2.471040726,332.27,2.577861211,2017-11-27,325.9,332.2398951,331.0557224,320.7442776,0
2017-08-29,307.15,302.2567558,-4.893244215,2017-11-28,0.07021638,-1.59311223,332.1025,2.763458693,2017-11-28,327.7,332.2965401,333.2269174,322.1730826,1
2017-08-30,309,304.5047343,-4.495265726,2017-11-29,0.940159798,-1.454778552,331.66,2.722063845,2017-11-29,327.7,334.219175,333.1441277,322.2558723,0
2017-08-31,306.65,298.5539155,-8.096084528,2017-11-30,0.649457812,-2.640171051,331.02,3.321754451,2017-11-30,322.25,333.1773394,328.8935089,315.6064911,0
2017-09-01,306.3,299.2366395,-7.063360504,2017-12-01,0.514223933,-2.306026936,330.295,3.662142743,2017-12-01,321.85,332.1781614,329.1742855,314.5257145,0
2017-09-04,303.5,299.5598255,-3.940174518,2017-12-04,0.103149354,-1.298245311,329.8375,3.72618314,2017-12-04,325,330.2218534,332.4523663,317.5476337,1
2017-09-05,302.7,300.3269654,-2.373034605,2017-12-05,0.489270806,-0.783955932,329.48,3.673675916,2017-12-05,326.6,331.2774224,333.9473518,319.2526482,1
2017-09-06,302.3,296.6205713,-5.679428716,2017-12-06,0.239428163,-1.878739238,328.8,3.805743582,2017-12-06,321.65,329.7112022,329.2614872,314.0385128,0
