date,index1,index2,loss_profits,pred_date,prediction,real,이동펴균,std,,real 지수,prediction 지수,BT,BB,,변화율 예측지수,조정지수,조정손익 ,예측확률,평균이익,평균손실,최대이익,최대손실,
2017-07-10,310.8,312.1232085,1.323208545,2017-10-09,0.433034718,0.425742775,313.3125,2.31947561,2017-10-09,314.3,314.3169135,318.9389512,309.6610488,1,317.9666597,314.3169135,3.5,0.711340206,12.80615942,-8.484821429,31.4,-21.15,
2017-07-11,312.7,320.3359227,7.635922739,2017-10-10,0.170674697,2.44193244,313.86,2.575828942,2017-10-10,320.15,314.2996288,325.3016579,314.9983421,0,322.4840295,314.2996288,7.45,,,,,,
2017-07-12,312.6,321.5088783,8.908878349,2017-10-11,0.271167815,2.849929094,314.595,3.036917585,2017-10-11,323.25,315.4185143,329.3238352,317.1761648,0,321.8017903,315.4185143,10.65,,,real 지수,조정지수,BT,BB
2017-07-13,316.55,325.2396715,8.689671476,2017-10-12,0.149610743,2.745118141,315.365,3.746651136,2017-10-12,325.65,315.9255393,333.1433023,318.1566977,0,320.5334681,317.55,9.1,,2017-10-09,314.3,314.3169135,318.9389512,309.6610488
2017-07-14,316.7,323.6292562,6.929256197,2017-10-13,0.164903089,2.187955856,316.07,4.218549264,2017-10-13,325.3,316.7656518,333.7370985,316.8629015,0,330.2505141,316.7656518,8.6,,2017-10-10,320.15,314.2996288,325.3016579,314.9983421
2017-07-17,317.5,323.5509206,6.05092063,2017-10-16,0.56421566,1.905801773,316.51,4.717174667,2017-10-16,325.5,319.1715038,334.9343493,316.0656507,1,329.6242047,319.1715038,8,,2017-10-11,323.25,315.4185143,329.3238352,317.1761648
2017-07-18,318.05,323.485134,5.435134,2017-10-17,0.653038263,1.708892941,316.9975,5.150995688,2017-10-17,325.8,320.3612973,336.1019914,315.4980086,1,339.9995238,320.3612973,7.75,,2017-10-12,325.65,317.55,333.1433023,318.1566977
2017-07-19,318.7,323.5331717,4.83317173,2017-10-18,0.065779537,1.516527057,317.5,5.50600151,2017-10-18,325.85,317.8621822,336.862003,314.837997,1,323.7348405,319.7,7.15,,2017-10-13,325.3,316.7656518,333.7370985,316.8629015
2017-07-20,319.6,323.0836721,-3.48367211,2017-10-19,-0.06576851,1.090010047,317.9025,5.685727167,2017-10-19,324.1,317.5285582,335.4714543,312.7285457,1,317.2594012,317.5285582,-4.5,,2017-10-16,325.5,319.1715038,334.9343493,316.0656507
2017-07-21,321.1,325.3109745,4.21097448,2017-10-20,0.809046268,1.311421514,318.5275,5.888648201,2017-10-20,326.25,323.2916889,338.0272964,314.4727036,1,335.6496233,323.2916889,5.15,,2017-10-17,325.8,320.3612973,336.1019914,315.4980086
2017-07-24,321.25,325.4089527,4.1589527,2017-10-23,0.473844081,1.294615626,319.19,6.071300043,2017-10-23,327.05,322.0668496,339.1926001,314.9073999,1,332.2703358,322.0668496,5.8,,2017-10-18,325.85,319.7,336.862003,314.837997
2017-07-25,319.65,323.1652295,-3.515229453,2017-10-24,-0.389380783,1.099712014,319.9275,6.022031372,2017-10-24,326.55,317.5826367,338.5940627,314.5059373,1,336.7550563,320.65,6.9,,2017-10-19,324.1,317.5285582,335.4714543,312.7285457
