date,index_real,index_today,loss_profits,pred_date,prediction,real,,,,
2017-12-29,325.75,325.75,0,2017-12-30,0.715768039,0,1,,,# version_name
2018-01-01,326.6,325.75,-0.850000024,2018-01-02,-0.48290351,0.850000024,0.997390637,,,"ver = ""20norm_1days_close_open_delay"""
2018-01-02,327.8,326.6,-1.200000048,2018-01-03,-0.570733845,1.200000048,0.993726005,,,
2018-01-03,325.1,327.8,2.700000048,2018-01-04,-1.135109425,-2.700000048,1.001911058,,,#data file directorty
2018-01-04,329.05,325.1,3.950000048,2018-01-05,0.406126142,3.950000048,1.014084385,,,"read_dir = ""../fnguide data/"""
2018-01-05,331.35,329.05,-2.299999952,2018-01-06,-0.710580885,2.299999952,1.006996119,,,
2018-01-08,330.55,331.35,-0.800000012,2018-01-09,0.496422589,-0.800000012,1.004564862,,,#data file name
2018-01-09,327.9500001,330.55,2.599999905,2018-01-10,-0.632546246,-2.599999905,1.012466446,,,"#after_3months_predict = ""kospi200f-943-3months-norm.csv"""
2018-01-10,326.6,327.95,-1.350000024,2018-01-11,0.071663812,-1.350000024,1.008298647,,,
2018-01-11,326.95,326.6,-0.349999994,2018-01-12,-0.073844627,0.349999994,1.007218106,,,#model directory
2018-01-12,327.4,326.95,0.449999988,2018-01-13,1.274913192,0.449999988,1.008604398,,,"model_dir = ""model_dir/"" + ver"
2018-01-15,330.6,327.4,-3.200000048,2018-01-16,-0.086451799,3.200000048,0.998746322,,,
2018-01-16,329.3,330.6,1.299999952,2018-01-17,-0.588954926,-1.299999952,1.002673636,,,#result file directory
2018-01-17,329.5,329.3,0.200000003,2018-01-18,1.285534859,0.200000003,1.003282609,,,"result_dir = ""results_"" + ver"
2018-01-18,329.7,329.5,-0.200000003,2018-01-19,-1.404135466,0.200000003,1.002673636,,,
2018-01-19,326.3500001,329.7,-3.349999905,2018-01-20,1.201871634,-3.349999905,0.992485718,,,#optimizing information file directory - hyperparameters
2018-01-22,331.35,326.35,5,2018-01-23,0.542299092,5,1.007691567,,,"hyperpara_info_dir = ""hyperparameters/"""
2018-01-23,331.7,331.35,-0.349999994,2018-01-24,-1.099632382,0.349999994,1.006627157,,,
2018-01-24,334.4,331.7,-2.700000048,2018-01-25,-0.355426311,2.700000048,0.998433327,,,class Config(object):
2018-01-25,336.05,334.4,-1.649999976,2018-01-26,-1.113254547,1.649999976,0.993506847,,,
2018-01-26,338.6,336.05,2.549999952,2018-01-27,1.850086212,2.549999952,1.001045733,,,    init_scale = 0.05
2018-01-29,334.0000001,338.6,-4.599999905,2018-01-30,0.125376344,-4.599999905,0.987446175,,,    learning_rate = 0.001
2018-01-30,334.55,334,0.550000012,2018-01-31,0.118988991,0.550000012,0.989072209,,,    num_layers = 2
2018-01-31,333.75,334.55,-0.800000012,2018-02-01,0.401396602,-0.800000012,0.986707068,,,    num_steps = 20
2018-02-01,327.5,333.75,6.25,2018-02-02,-0.471020341,-6.25,1.005184729,,,    hidden_size = 300
2018-02-02,323.0999999,327.5,4.400000095,2018-02-03,-1.935198426,-4.400000095,1.018689501,,,    batch_size = 20
2018-02-05,317.7500001,323.1,5.349999905,2018-02-06,-1.823028684,-5.349999905,1.035557309,,,    input_size = 943
2018-02-06,309.6000004,317.75,-8.149999619,2018-02-07,0.801895738,-8.149999619,1.008996202,,,    output_size = 1
2018-02-07,312.6,309.6,-3,2018-02-08,-0.034232359,3,0.999219107,,,"    rnn_mode = ""basic"""
2018-02-08,303.9500004,312.6,-8.649999619,2018-02-09,0.45008865,-8.649999619,0.971569571,,,    iter_steps = 1000
2018-02-09,308.2,303.95,4.25,2018-02-10,0.64880985,4.25,0.985154604,,,    step_interval = 1
2018-02-12,311.5,308.2,-3.299999952,2018-02-13,-0.798778176,3.299999952,0.974606226,,,"    test_start = ""2018-01-01"""
2018-02-13,314.4000001,311.5,2.900000095,2018-02-14,0.36013031,2.900000095,0.983679607,,,"    test_end = ""2018-12-31"""
2018-02-14,314.4,314.4,0,2018-02-15,-0.01416675,0,0.983679607,,,"    train_start = ""2000-01-28"""
2018-02-15,314.4,314.4,0,2018-02-16,0.405852199,0,0.983679607,,,    predict_term = 1
2018-02-16,316.35,314.4,1.950000048,2018-02-17,0.34325859,1.950000048,0.989780673,,,"    read_mode = ""norm"""
2018-02-19,312.1,316.35,-4.25,2018-02-20,1.30052495,-4.25,0.976483477,,,"    conversion = ""diff"""
2018-02-20,314.15,312.1,-2.049999952,2018-02-21,-0.215551406,2.049999952,0.970069536,,,
2018-02-21,311.95,314.15,2.200000048,2018-02-22,-0.245713308,-2.200000048,0.976862957,,,
2018-02-22,317.0499999,311.95,5.099999905,2018-02-23,1.077913404,5.099999905,0.992833468,,,
2018-02-23,317.2,317.05,0.150000006,2018-02-24,1.892156482,0.150000006,0.993303189,,,
2018-02-26,315.85,317.2,-1.350000024,2018-02-27,1.049577594,-1.350000024,0.9890757,,,
2018-02-27,312.55,315.85,3.299999952,2018-02-28,-0.342587292,-3.299999952,0.999409561,,,
2018-02-28,312.55,312.55,0,2018-03-01,1.550841451,0,0.999409561,,,
2018-03-01,308.2499998,312.55,4.300000191,2018-03-02,-0.642674804,-4.300000191,1.013159237,,,
2018-03-02,303.9499998,308.25,-4.300000191,2018-03-03,0.216630131,-4.300000191,0.999025952,,,
2018-03-05,310.3999998,303.95,6.449999809,2018-03-06,1.193895698,6.449999809,1.020225877,,,
2018-03-06,310.55,310.4,-0.150000006,2018-03-07,-0.008503301,0.150000006,1.019732856,,,
2018-03-07,313.7000001,310.55,-3.150000095,2018-03-08,-0.453274012,3.150000095,1.009389405,,,
