date,index_real,index_today,loss_profits,pred_date,prediction,real,,,
2017-12-04,325.75,325.1,0.649999976,2018-01-01,0.442423791,0.649999976,1.001999385,,# version_name
2017-12-05,326.6,326.7,-0.100000001,2018-01-02,0.370928317,-0.100000001,0.999693909,,"ver = ""20norm_1days_close_open_delay"""
2017-12-06,327.8000002,321.75,6.050000191,2018-01-03,1.840337634,6.050000191,1.018803419,,
2017-12-07,325.1000002,320.8,4.300000191,2018-01-04,4.35821867,4.300000191,1.013403991,,#data file directorty
2017-12-08,329.0500002,321.5,7.550000191,2018-01-05,6.592183113,7.550000191,1.023483671,,"read_dir = ""../fnguide data/"""
2017-12-11,331.35,321.6,9.75,2018-01-08,9.343720436,9.75,1.030317164,,
2017-12-12,330.55,320.55,10,2018-01-09,9.674139023,10,1.031196381,,#data file name
2017-12-13,327.95,322.95,5,2018-01-10,6.109220505,5,1.015482273,,"#after_3months_predict = ""kospi200f-943-3months-norm.csv"""
2017-12-14,326.6,324.4,2.200000048,2018-01-11,9.51621151,2.200000048,1.006781751,,
2017-12-15,326.9499999,322.85,4.099999905,2018-01-12,9.145730019,4.099999905,1.012699396,,#model directory
2017-12-18,327.4000001,324.25,3.150000095,2018-01-15,11.97885036,3.150000095,1.011733535,,"model_dir = ""model_dir/"" + ver"
2017-12-19,330.6000001,323.95,6.650000095,2018-01-16,10.19498634,6.650000095,1.020215485,,
2017-12-20,329.3000001,323.65,5.650000095,2018-01-17,11.50511646,5.650000095,1.036588803,,#result file directory
2017-12-21,329.5000002,316.95,12.55000019,2018-01-18,10.165452,12.55000019,1.053530888,,"result_dir = ""results_"" + ver"
2017-12-22,329.7000004,318.6,11.10000038,2018-01-19,7.794953823,11.10000038,1.059141766,,
2017-12-25,326.35,318.6,7.75,2018-01-22,6.569938183,7.75,1.055379807,,#optimizing information file directory - hyperparameters
2017-12-26,331.3500002,317.55,13.80000019,2018-01-23,9.703029633,13.80000019,1.076009829,,"hyperpara_info_dir = ""hyperparameters/"""
2017-12-27,331.6999996,321.3,10.39999962,2018-01-24,1.380459666,10.39999962,1.048351913,,
2017-12-28,334.3999996,325.75,8.649999619,2018-01-25,3.208114386,8.649999619,1.033515939,,class Config(object):
2017-12-29,336.0500002,325.75,10.30000019,2018-01-26,2.580720663,10.30000019,1.044720283,,
2018-01-01,338.6000004,325.75,12.85000038,2018-01-29,5.055138111,12.85000038,1.051643823,,    init_scale = 0.05
2018-01-02,334.0000001,326.6,7.400000095,2018-01-30,2.034371614,7.400000095,1.043331207,,    learning_rate = 0.001
2018-01-03,334.55,327.8,6.75,2018-01-31,0.898672044,6.75,1.057934058,,    num_layers = 2
2018-01-04,333.7499996,325.1,8.649999619,2018-02-01,1.706355333,8.649999619,1.081562392,,    num_steps = 20
2018-01-05,327.5,329.05,-1.549999952,2018-02-02,0.717214048,-1.549999952,1.054152647,,    hidden_size = 300
2018-01-08,323.1,331.35,8.25,2018-02-05,-5.645816803,-8.25,1.081656805,,    batch_size = 20
2018-01-09,317.7499998,330.55,12.80000019,2018-02-06,-0.914830923,-12.80000019,1.117676524,,    input_size = 943
2018-01-10,309.5999996,327.95,18.35000038,2018-02-07,-2.971452713,-18.35000038,1.107011031,,    output_size = 1
2018-01-11,312.6,326.6,14,2018-02-08,-3.565379381,-14,1.077818521,,"    rnn_mode = ""basic"""
