date,index1,index2,loss_profits,pred_date,prediction,real,
2017-07-10,310.8,391.4908155,80.69081546,2017-10-09,0.802474141,0.265475988,1
2017-07-11,312.7,454.7963169,142.0963169,2017-10-10,1.066644907,0.468766868,1
2017-07-12,312.6,589.0768414,276.4768414,2017-10-11,1.575477958,0.900830388,1
2017-07-13,316.55,737.5421705,-420.9921705,2017-10-12,1.008718133,1.375719666,1
2017-07-14,316.7,840.2388066,-523.5388066,2017-10-13,0.167138934,1.701862812,1
2017-07-17,317.5,911.6122193,-594.1122193,2017-10-16,0.45227778,1.926805854,1
2017-07-18,318.05,972.3244831,-654.2744831,2017-10-17,-0.002437714,2.116749287,0
2017-07-19,318.7,1054.349145,-735.6491454,2017-10-18,-0.625618339,2.373242617,0
2017-07-20,319.6,1043.08232,-723.4823201,2017-10-19,0.206370711,2.331307411,1
2017-07-21,321.1,1010.429032,-689.3290317,2017-10-20,-0.778343737,2.220927238,0
2017-07-24,321.25,980.1359051,-658.8859051,2017-10-23,-0.387216032,2.119043112,0
2017-07-25,319.65,933.4733703,-613.8233703,2017-10-24,-0.538915932,1.966515303,0
2017-07-26,318.95,892.0329462,-573.0829462,2017-10-25,-0.274382293,1.830906987,0
2017-07-27,319.85,750.0012171,-430.1512171,2017-10-26,0.863372922,1.377333641,1
2017-07-28,312.55,724.1114332,411.5614332,2017-10-27,0.440453827,1.294905186,1
2017-07-31,313.55,685.4488767,-371.8988767,2017-10-30,-0.946062684,1.171822429,0
2017-08-01,316.55,747.74322,-431.19322,2017-10-31,-0.379062653,1.36661303,0
2017-08-02,317.15,904.3707222,-587.2207222,2017-11-01,-0.744472027,1.859602451,0
2017-08-03,311.65,892.6529141,581.0029141,2017-11-02,-0.083167076,1.82230556,0
2017-08-04,312.85,897.6124778,584.7624778,2017-11-03,0.11132282,1.836820245,1
2017-08-07,312.9,746.878536,433.978536,2017-11-06,0.627733052,1.359656692,1
2017-08-08,312.85,696.0079755,383.1579755,2017-11-07,0.678319931,1.198886275,1
2017-08-09,308.65,609.0069395,300.3569395,2017-11-08,1.161745071,0.925226629,1
2017-08-10,307.25,452.4545205,145.2045205,2017-11-09,0.792280376,0.432430059,1
2017-08-11,301.5,91.25052481,-210.2494752,2017-11-10,-0.363434851,-0.710412323,1
2017-08-14,304.6,-86.84134912,-391.4413491,2017-11-13,-0.319615662,-1.27616024,1
2017-08-15,304.6,-227.5823537,-532.1823537,2017-11-14,-0.375635922,-1.725275397,1
2017-08-16,306.25,-298.5243654,-604.7743654,2017-11-15,-0.545023799,-1.953249454,1
2017-08-17,307.9,-357.3982192,-665.2982192,2017-11-16,-0.203014612,-2.143381596,1
2017-08-18,307.75,-323.2661399,-631.0161399,2017-11-17,0.004390534,-2.03640008,0
2017-08-21,307.05,-245.2423312,-552.2923312,2017-11-20,0.111251354,-1.788047433,0
2017-08-22,308.7,-185.1907693,-493.8907693,2017-11-21,0.615576863,-1.596130013,0
2017-08-23,308.6,-120.7117545,-429.3117545,2017-11-22,-0.175134182,-1.389220119,1
2017-08-24,310.1,-115.8166158,425.9166158,2017-11-23,-0.299188316,-1.374024272,1
2017-08-25,310.25,-191.1501338,501.4001338,2017-11-24,-2.114352942,-1.617539644,1
2017-08-28,308.2,-101.3711507,409.5711507,2017-11-27,-1.612627506,-1.32777822,1
2017-08-29,307.15,71.86065394,235.2893461,2017-11-28,-1.504683733,-0.767288744,1
2017-08-30,309,242.3280583,66.67194168,2017-11-29,-0.527976036,-0.214215577,1
2017-08-31,306.65,451.7001222,145.0501222,2017-11-30,-0.40771383,0.465892524,0
2017-09-01,306.3,617.5554771,311.2554771,2017-12-01,-0.401040614,1.006271601,0
2017-09-04,303.5,672.7481516,369.2481516,2017-12-04,-0.246100664,1.188920021,0
2017-09-05,302.7,701.1997157,398.4997157,2017-12-05,0.416309953,1.285266399,1
2017-09-06,302.3,691.127974,388.827974,2017-12-06,0.451811492,1.254774928,1
2017-09-07,306.2,761.9205617,455.7205617,2017-12-07,0.463348746,1.48615849,1
2017-09-08,306.25,881.3581846,575.1081846,2017-12-08,0.321365982,1.873658299,1
2017-09-11,309.25,909.5673756,-600.3173756,2017-12-11,-0.392266423,1.963387609,0
2017-09-12,309.2,953.0464097,-643.8464097,2017-12-12,-0.437810719,2.102718115,0
2017-09-13,308.55,959.2173825,-650.6673825,2017-12-13,-0.027682368,2.12163949,0
2017-09-14,310.25,884.9590197,-574.7090197,2017-12-14,-0.133193269,1.878875136,0
2017-09-15,311.2,802.0934776,-490.8934776,2017-12-15,-0.077862144,1.607840419,0
2017-09-18,316.7,550.6562267,-233.9562267,2017-12-18,-0.071473897,0.787540197,0
2017-09-19,316.05,340.8000225,-24.7500225,2017-12-19,0.049869951,0.104986779,1
2017-09-20,315.8,91.65400744,224.1459926,2017-12-20,-0.607053876,-0.703173757,1
2017-09-21,316.05,-12.56562468,328.6156247,2017-12-21,0.796553552,-1.040655255,0
2017-09-22,313.75,-199.014297,512.764297,2017-12-22,0.49421525,-1.643533349,0
2017-09-25,313.8,-206.813312,520.613312,2017-12-25,1.009086609,-1.668147326,0
2017-09-26,311.8,-217.1804855,528.9804855,2017-12-26,-0.213129371,-1.701113701,1
2017-09-27,311.4,-319.1482202,-630.5482202,2017-12-27,0.593607724,-2.029892445,0
2017-09-28,311.6,-259.287581,570.887581,2017-12-28,-0.014690701,-1.836054206,1
2017-09-29,314.3,-219.9492796,534.2492796,2017-12-29,-0.022711102,-1.708297133,1
2017-10-02,314.3,-131.966614,-446.266614,2018-01-01,1.619143963,-1.424231052,0
2017-10-03,314.3,-0.715322165,-315.0153222,2018-01-02,1.490241408,-1.002295256,0
2017-10-04,314.3,283.0570135,-31.24298645,2018-01-03,1.275735617,-0.093499608,0
