date,index1,index2,loss_profits,pred_date,prediction,real,0.559055118,4.336619727,-4.854090912,,,,,BT,BT,실재지수,예측지수,,
2017-07-10,310.8,317.5,6.699999976,2017-07-17,1.045841098,2.155727148,,,,310.8,3.1866663,,2017-07-17,323.8733326,311.1266674,310.8,314.0504741,1,1
2017-07-11,312.7,318.0500002,5.35000017,2017-07-18,0.523502588,1.710905075,,,,312.7,3.177365468,,2017-07-18,324.4047311,311.6952693,312.7,314.3369926,1,1
2017-07-12,312.6,318.7000001,6.100000137,2017-07-19,0.829493642,1.951375604,,,,312.6,3.536776707,,2017-07-19,325.7735535,311.6264467,312.6,315.1929971,1,1
2017-07-13,316.55,319.6000001,3.050000077,2017-07-20,0.244011223,0.963512897,,,,316.55,4.076508439,,2017-07-20,327.753017,311.4469832,316.55,317.3224175,1,1
2017-07-14,316.7,321.0999999,4.399999898,2017-07-21,0.128291249,1.389327407,,,,316.7,5.180146818,,2017-07-21,331.4602935,310.7397063,316.7,317.1062984,1,1
2017-07-17,317.5,321.2500001,-3.750000104,2017-07-24,-0.587745488,1.181102395,,,,317.5,5.648208845,,2017-07-24,332.5464178,309.9535824,317.5,315.6339081,1,0
2017-07-18,318.05,319.6499999,-1.599999907,2017-07-25,-0.364290297,0.503065526,,,,318.05,5.988714716,,2017-07-25,331.6274293,307.6725705,318.05,316.8913747,1,0
2017-07-19,318.7,318.95,-0.249999996,2017-07-26,-0.726183772,0.078443676,,,,318.7,6.097283692,,2017-07-26,331.1445674,306.7554326,318.7,316.3856523,1,0
2017-07-20,319.6,319.85,0.250000009,2017-07-27,0.544236183,0.078222781,,,,319.6,6.008007814,,2017-07-27,331.8660156,307.8339844,319.6,321.3393788,1,1
2017-07-21,321.1,312.5500001,-8.549999932,2017-07-28,0.877870321,-2.662721872,,,,321.1,5.747559551,,2017-07-28,324.0451192,301.054881,321.1,323.9188416,1,0
2017-07-24,321.25,313.5500003,-7.699999693,2017-07-31,0.416197836,-2.396887064,,,,321.25,5.399938474,,2017-07-31,324.3498772,302.7501234,321.25,322.5870355,1,0
2017-07-25,319.65,316.55,-3.09999998,2017-08-01,1.238473773,-0.969810724,,,,319.65,5.041587574,,2017-08-01,326.6331751,306.4668249,319.65,323.6087814,1,0
2017-07-26,318.95,317.1499999,-1.800000057,2017-08-02,0.39581421,-0.564351797,,,,318.95,4.662246889,,2017-08-02,326.4744937,307.8255061,318.95,320.2124494,1,0
2017-07-27,319.85,311.6500003,8.199999662,2017-08-03,-0.162287742,-2.56370163,,,,319.85,4.064674519,,2017-08-03,319.7793493,303.5206513,319.85,319.3309227,1,1
2017-07-28,312.55,312.85,0.300000009,2017-08-04,0.755912602,0.095984645,,,,312.55,4.010482974,,2017-08-04,320.8709659,304.8290341,312.55,314.9126048,1,1
2017-07-31,313.55,312.9,0.650000013,2017-08-07,-1.1473279,-0.207303464,,,,313.55,3.905639479,,2017-08-07,320.711279,305.088721,313.55,309.9525534,1,1
2017-08-01,316.55,312.8499998,3.700000161,2017-08-08,-1.449966311,-1.168851733,,,,316.55,3.530747461,,2017-08-08,319.9114947,305.7885049,316.55,311.9601316,1,1
2017-08-02,317.15,308.6500002,8.499999796,2017-08-09,-0.626694202,-2.680119753,,,,317.15,2.936279422,,2017-08-09,314.522559,302.7774414,317.15,315.1624393,0,0
2017-08-03,311.65,307.25,-4.399999985,2017-08-10,1.035840988,-1.4118402,,,,311.65,2.855861931,,2017-08-10,312.9617239,301.5382761,311.65,314.8781984,0,0
2017-08-04,312.85,301.5000003,-11.34999966,2017-08-11,1.012207985,-3.627936602,,,,312.85,2.655871103,,2017-08-11,306.8117425,296.1882581,312.85,316.0166927,0,0
2017-08-07,312.9,304.6000003,-8.299999731,2017-08-14,0.825149357,-2.65260458,,,,312.9,2.537263082,,2017-08-14,309.6745265,299.5254741,312.9,315.4818923,0,0
2017-08-08,312.85,304.5999998,-8.250000212,2017-08-15,2.713274956,-2.637046576,,,,312.85,2.388409513,,2017-08-15,309.3768188,299.8231808,312.85,321.3384807,0,0
2017-08-09,308.65,306.25,-2.400000005,2017-08-16,2.387879133,-0.777579784,,,,308.65,2.550968598,,2017-08-16,311.3519372,301.1480628,308.65,316.0201889,0,0
2017-08-10,307.25,307.9,0.650000003,2017-08-17,0.53749907,0.21155411,,,,307.25,2.545899696,,2017-08-17,312.9917994,302.8082006,307.25,308.9014659,1,1
2017-08-11,301.5,307.75,6.249999976,2017-08-18,1.448917389,2.072968483,,,,301.5,2.264338814,,2017-08-18,312.2786776,303.2213224,301.5,305.8684859,1,1
2017-08-14,304.6,307.05,2.450000047,2017-08-21,1.813836694,0.804333568,,,,304.6,2.275793673,,2017-08-21,311.6015873,302.4984127,304.6,310.1249466,1,1
2017-08-15,304.6,308.7000001,4.100000108,2017-08-22,1.644860268,1.346027613,,,,304.6,2.259779915,,2017-08-22,313.2195599,304.1804403,304.6,309.6102444,1,1
2017-08-16,306.25,308.5999999,2.349999938,2017-08-23,1.26386106,0.767346919,,,,306.25,2.269268373,,2017-08-23,313.1385366,304.0614632,306.25,310.1205745,1,1
2017-08-17,307.9,310.1,2.200000037,2017-08-24,0.956122041,0.714517713,,,,307.9,2.362006005,,2017-08-24,314.824012,305.375988,307.9,310.8438998,1,1
2017-08-18,307.75,310.2500001,2.500000078,2017-08-25,0.411476821,0.81234771,,,,307.75,2.510420388,,2017-08-25,315.2708409,305.2291593,307.75,309.0163199,1,1
2017-08-21,307.05,308.2,1.15,2017-08-28,0.501343071,0.374531835,,,,307.05,3.229570405,,2017-08-28,314.6591408,301.7408592,307.05,308.5893739,1,1
2017-08-22,308.7,307.15,-1.549999968,2017-08-29,0.497651249,-0.502105594,,,,308.7,3.692182353,,2017-08-29,314.5343647,299.7656353,308.7,310.2362494,1,0
2017-08-23,308.6,309,0.400000011,2017-08-30,1.06060493,0.129617631,,,,308.6,4.044827756,,2017-08-30,317.0896555,300.9103445,308.6,311.8730268,1,1
2017-08-24,310.1,306.6500001,3.449999869,2017-08-31,-0.207846448,-1.112544298,,,,310.1,4.354020374,,2017-08-31,315.3580408,297.9419594,310.1,309.4554682,1,1
2017-08-25,310.25,306.3000001,-3.949999922,2017-09-01,0.507215321,-1.273166776,,,,310.25,4.472355879,,2017-09-01,315.2447119,297.3552883,310.25,311.8236355,1,0
2017-08-28,308.2,303.5,-4.69999996,2017-09-04,0.079648852,-1.524983764,,,,308.2,4.577067407,,2017-09-04,312.6541348,294.3458652,308.2,308.4454778,1,0
2017-08-29,307.15,302.6999999,4.450000086,2017-09-05,-0.204510272,-1.448803544,,,,307.15,4.567767507,,2017-09-05,311.8355349,293.5644649,307.15,306.5218467,1,1
2017-08-30,309,302.2999997,-6.700000319,2017-09-06,0.377858758,-2.168284893,,,,309,4.578125909,,2017-09-06,311.4562515,293.1437479,309,310.1675836,1,0
2017-08-31,306.65,306.2,-0.45000002,2017-09-07,0.164498702,-0.146747112,,,,306.65,4.527555254,,2017-09-07,315.2551105,297.1448895,306.65,307.1544353,1,0
