date,index1,index2,loss_profits,pred_date,prediction,real,0.52173913,11.22222219,-9.515151525
2018-01-01,325.65,313.4500002,-12.19999981,2018-04-02,2.306850195,-3.746353388,,,
2018-01-02,326.5,312.8000005,-13.69999949,2018-04-03,1.405997396,-4.196018219,,,
2018-01-03,327.7,307.5499999,-20.1500001,2018-04-04,0.47039625,-6.148916721,,,
2018-01-04,325,312.9499997,12.05000025,2018-04-05,-1.480476975,-3.707692385,,,
2018-01-05,328.95,311.1999995,17.75000053,2018-04-06,-0.22065115,-5.395956993,,,
2018-01-08,331.25,312.9499993,-18.30000067,2018-04-09,0.504742622,-5.524528503,,,
2018-01-09,330.45,313.4500005,16.99999952,2018-04-10,-0.589594245,-5.144499779,,,
2018-01-10,327.85,312.4500006,-15.39999942,2018-04-11,0.89264977,-4.697269917,,,
2018-01-11,326.5,311.75,14.75,2018-04-12,-0.58932966,-4.517611027,,,
2018-01-12,326.85,314.4500002,12.39999983,2018-04-13,-0.921055913,-3.793789148,,,
2018-01-15,327.3,314.3000002,-12.99999978,2018-04-16,1.923409581,-3.971891165,,,
2018-01-16,330.5,314.3999998,16.10000024,2018-04-17,-0.000241511,-4.871407032,,,
2018-01-17,329.2,317.6,11.59999999,2018-04-18,-1.387344599,-3.5236938,,,
2018-01-18,329.4,318.9999999,-10.40000011,2018-04-19,0.306168258,-3.15725565,,,
2018-01-19,329.6,316.8999999,12.70000011,2018-04-20,-0.267698586,-3.853155375,,,
2018-01-22,326.25,317.1000003,9.149999723,2018-04-23,-2.918721199,-2.804597616,,,
2018-01-23,331.25,315.3499994,-15.90000063,2018-04-24,0.246555716,-4.800000191,,,
2018-01-24,331.6,312.9499999,-18.65000014,2018-04-25,0.618584454,-5.62424612,,,
2018-01-25,334.3,317.4500001,16.84999991,2018-04-26,-1.507601738,-5.040382862,,,
2018-01-26,335.95,320.1500005,15.79999946,2018-04-27,-2.920140982,-4.703080654,,,
2018-01-29,338.5,321.6500005,16.84999952,2018-04-30,-0.154540271,-4.977843285,,,
2018-01-30,333.9,321.6499998,-12.25000019,2018-05-01,0.276221693,-3.668763161,,,
2018-01-31,334.45,319.7500008,-14.69999922,2018-05-02,3.291844845,-4.395275593,,,
2018-02-01,333.65,317.9999995,-15.65000048,2018-05-03,2.246525526,-4.690544128,,,
2018-02-02,327.4,316.4499998,-10.95000015,2018-05-04,2.324421883,-3.344532728,,,
2018-02-05,323,316.4500001,-6.549999883,2018-05-07,2.863157034,-2.027863741,,,
2018-02-06,317.65,314.05,-3.599999985,2018-05-08,2.808506012,-1.133322835,,,
2018-02-07,309.5,314.0499999,4.549999856,2018-05-09,4.671079636,1.470113039,,,
2018-02-08,312.5,315.8500001,-3.350000083,2018-05-10,-0.509754419,1.072000027,,,
2018-02-09,303.85,317.65,13.80000002,2018-05-11,0.236216038,4.541714668,,,
2018-02-12,308.1,316.8500001,8.750000069,2018-05-14,0.865956306,2.83998704,,,
2018-02-13,311.4,313.75,2.34999995,2018-05-15,3.631953955,0.754656374,,,
2018-02-14,314.3,314.9,0.600000005,2018-05-16,3.214056492,0.190900415,,,
2018-02-15,314.3,313.4,-0.899999961,2018-05-17,2.535106897,-0.286350608,,,
2018-02-16,314.3,314.75,0.44999998,2018-05-18,1.217612267,0.143175304,,,
2018-02-19,316.25,315.1,1.150000034,2018-05-21,-1.779332757,-0.363636374,,,
2018-02-20,312,315.1,-3.100000048,2018-05-22,-1.004716992,0.993589759,,,
2018-02-21,314.05,317.1499999,-3.099999921,2018-05-23,-2.544235945,0.987103939,,,
2018-02-22,311.85,316.5499999,-4.699999859,2018-05-24,-3.813118935,1.507134795,,,
2018-02-23,316.95,317.3,0.350000005,2018-05-25,0.495124012,0.110427514,,,
2018-02-26,317.1,318.1,-0.999999975,2018-05-28,-0.021927409,0.315357924,,,
2018-02-27,315.75,314.9,-0.850000026,2018-05-29,0.563290656,-0.269200325,,,
2018-02-28,312.45,307.5500001,-4.89999992,2018-05-30,4.465197563,-1.568250895,,,
