date,index1,index2,loss_profits,pred_date,prediction,real,0.570281124,,10.78746173
2017-07-10,310.8,312.8999999,-2.099999905,2017-08-07,-3.205846071,2.099999905,,28.15200152,
2017-07-11,312.7,312.85,-0.150000006,2017-08-08,-2.70571208,0.150000006,,8.155091518,
2017-07-12,312.6,308.65,3.950000048,2017-08-09,-0.484769315,-3.950000048,,12.00782403,
2017-07-13,316.55,307.2499998,9.300000191,2017-08-10,-4.977547169,-9.300000191,,18.68360013,
2017-07-14,316.7,301.5000002,15.19999981,2017-08-11,-5.796653748,-15.19999981,,88.42291716,
2017-07-17,317.5,304.6000004,12.89999962,2017-08-14,-5.797949791,-12.89999962,,50.43911177,
2017-07-18,318.05,304.6000002,13.44999981,2017-08-15,-6.248441219,-13.44999981,,51.86244614,
2017-07-19,318.7,306.2500002,12.44999981,2017-08-16,-5.084548473,-12.44999981,,54.2498734,
2017-07-20,319.6,307.9000002,11.69999981,2017-08-17,-4.272745609,-11.69999981,,55.16410497,
2017-07-21,321.1,307.7499996,13.35000038,2017-08-18,-6.242641926,-13.35000038,,50.51454419,
2017-07-24,321.25,307.0500002,14.19999981,2017-08-21,-5.710231304,-14.19999981,,72.07616929,
2017-07-25,319.65,308.7000002,10.94999981,2017-08-22,-2.25713253,-10.94999981,,75.56594155,
2017-07-26,318.95,308.5999996,10.35000038,2017-08-23,-1.521153212,-10.35000038,,77.94854232,
2017-07-27,319.85,310.1,-9.75,2017-08-24,1.32278204,-9.75,,122.6065021,
2017-07-28,312.55,310.25,-2.299999952,2017-08-25,7.833507061,-2.299999952,,102.6879644,
2017-07-31,313.55,308.2000001,-5.349999905,2017-08-28,3.779951811,-5.349999905,,83.35601834,
2017-08-01,316.55,307.1500004,9.399999619,2017-08-29,-1.311495781,-9.399999619,,65.42389434,
2017-08-02,317.15,309.0000004,8.149999619,2017-08-30,-3.340408087,-8.149999619,,23.1321707,
2017-08-03,311.65,306.65,-5,2017-08-31,2.15454936,-5,,51.18757654,
2017-08-04,312.85,306.2999998,-6.550000191,2017-09-01,1.809663534,-6.550000191,,69.8839776,
2017-08-07,312.9,303.5000004,-9.399999619,2017-09-04,1.594432235,-9.399999619,,120.8775318,
2017-08-08,312.85,302.7000004,-10.14999962,2017-09-05,4.579394817,-10.14999962,,216.9550605,
2017-08-09,308.65,302.3000001,-6.349999905,2017-09-06,7.544669628,-6.349999905,,193.0618414,
2017-08-10,307.25,306.2,-1.049999952,2017-09-07,10.48915577,-1.049999952,,133.1521148,
2017-08-11,301.5,306.25,4.75,2017-09-08,12.46716785,4.75,,59.55467963,
2017-08-14,304.6,309.2500001,4.650000095,2017-09-11,11.16001987,4.650000095,,42.38035747,
2017-08-15,304.6,309.1999999,4.599999905,2017-09-12,12.07031345,4.599999905,,55.80558446,
2017-08-16,306.25,308.55,2.299999952,2017-09-13,11.77178288,2.299999952,,89.71467184,
2017-08-17,307.9,310.2499999,2.349999905,2017-09-14,14.53553009,2.349999905,,148.4871459,
2017-08-18,307.75,311.2,3.450000048,2017-09-15,12.5352869,3.450000048,,82.54243718,
2017-08-21,307.05,316.6999996,9.649999619,2017-09-18,12.21345234,9.649999619,,6.571289853,
2017-08-22,308.7,316.0499999,7.349999905,2017-09-19,11.50366211,7.349999905,,17.25290971,
2017-08-23,308.6,315.7999998,7.199999809,2017-09-20,11.9562664,7.199999809,,22.62207188,
2017-08-24,310.1,316.0499998,5.949999809,2017-09-21,11.3015995,5.949999809,,28.63961925,
2017-08-25,310.25,313.75,3.5,2017-09-22,11.24819851,3.5,,60.03458015,
2017-08-28,308.2,313.7999999,5.599999905,2017-09-25,9.748690605,5.599999905,,17.21163452,
2017-08-29,307.15,311.8000001,4.650000095,2017-09-26,11.96502686,4.650000095,,53.50961657,
2017-08-30,309,311.4000001,2.400000095,2017-09-27,7.859744549,2.400000095,,29.8088095,
2017-08-31,306.65,311.5999998,4.949999809,2017-09-28,6.829518318,4.949999809,,3.532589826,
2017-09-01,306.3,314.3,8,2017-09-29,7.50401926,8,,0.245996894,
2017-09-04,303.5,314.3000002,10.80000019,2017-10-02,8.395928383,10.80000019,,5.779561253,
2017-09-05,302.7,314.3000004,11.60000038,2017-10-03,8.35128212,11.60000038,,10.55417033,
2017-09-06,302.3,314.3,12,2017-10-04,9.148159981,12,,8.132991494,
2017-09-07,306.2,314.3000004,8.100000381,2017-10-05,5.884374142,8.100000381,,4.908999631,
2017-09-08,306.25,314.3000002,8.050000191,2017-10-06,5.413096905,8.050000191,,6.95325894,
2017-09-11,309.25,314.3000002,5.050000191,2017-10-09,4.682327747,5.050000191,,0.135183026,
2017-09-12,309.2,320.1499998,10.94999981,2017-10-10,3.320889711,10.94999981,,58.2033209,
2017-09-13,308.55,323.2499998,14.69999981,2017-10-11,1.203931093,14.69999981,,182.1438708,
2017-09-14,310.25,325.6499996,15.39999962,2017-10-12,0.291853786,15.39999962,,228.2560705,
2017-09-15,311.2,325.3000004,14.10000038,2017-10-13,2.346289873,14.10000038,,138.1497107,
2017-09-18,316.7,325.5000002,-8.800000191,2017-10-16,-1.309458256,8.800000191,,102.2011501,
2017-09-19,316.05,325.8,9.75,2017-10-17,2.341887236,9.75,,54.88013472,
2017-09-20,315.8,325.8500002,10.05000019,2017-10-18,3.569005728,10.05000019,,42.00328922,
2017-09-21,316.05,324.1000002,8.050000191,2017-10-19,5.892282486,8.050000191,,4.655745694,
2017-09-22,313.75,326.25,12.5,2017-10-20,3.98477149,12.5,,72.50911658,
2017-09-25,313.8,327.05,13.25,2017-10-23,6.876053333,13.25,,40.62719611,
2017-09-26,311.8,326.55,14.75,2017-10-24,3.250007868,14.75,,132.249819,
2017-09-27,311.4,326.7500004,15.35000038,2017-10-25,9.267542839,15.35000038,,36.99628974,
2017-09-28,311.6,323.7499996,12.14999962,2017-10-26,10.76984501,12.14999962,,1.904826748,
2017-09-29,314.3,326.8500002,12.55000019,2017-10-27,7.425811291,12.55000019,,26.25731187,
2017-10-02,314.3,327.4499996,13.14999962,2017-10-30,2.590416193,13.14999962,,111.5048022,
2017-10-03,314.3,331.05,16.75,2017-10-31,0.774377346,16.75,,255.2205192,
2017-10-04,314.3,336.55,22.25,2017-11-01,0.762099624,22.25,,461.7298626,
2017-10-05,314.3,335.05,20.75,2017-11-02,1.627368569,20.75,,365.6750328,
2017-10-06,314.3,336.3499992,22.04999924,2017-11-03,1.211986542,22.04999924,,434.2227732,
2017-10-09,314.3,334.1500004,19.85000038,2017-11-06,0.058849618,19.85000038,,391.6896485,
2017-10-10,320.15,333.7500004,-13.60000038,2017-11-07,-1.585692883,13.60000038,,230.6052799,
2017-10-11,323.25,335.25,-12,2017-11-08,-2.388403177,12,,207.026146,
2017-10-12,325.65,333.65,-8,2017-11-09,-4.577527523,8,,158.1941986,
2017-10-13,325.3,332.8999999,-7.599999905,2017-11-10,-2.284905195,7.599999905,,97.71134884,
2017-10-16,325.5,331.5500002,-6.050000191,2017-11-13,-3.598560095,6.050000191,,93.09471559,
2017-10-17,325.8,331.3,-5.5,2017-11-14,-2.675054312,5.5,,66.831513,
2017-10-18,325.85,329.15,-3.299999952,2017-11-15,-1.358177423,3.299999952,,21.69861646,
2017-10-19,324.1,331.2999998,-7.199999809,2017-11-16,-3.673207283,7.199999809,,118.2266325,
2017-10-20,326.25,330.9499998,-4.699999809,2017-11-17,-3.340332747,4.699999809,,64.64694761,
2017-10-23,327.05,329.4500001,-2.400000095,2017-11-20,-2.552908659,2.400000095,,24.53130513,
2017-10-24,326.55,330.8500002,-4.300000191,2017-11-21,-2.544909239,4.300000191,,46.8527851,
2017-10-25,326.75,332.5500002,5.800000191,2017-11-22,2.309243679,5.800000191,,12.18538103,
2017-10-26,323.75,331.4499998,7.699999809,2017-11-23,0.790165782,7.699999809,,47.74580628,
2017-10-27,326.85,332.2500001,-5.400000095,2017-11-24,-0.304950535,5.400000095,,32.54646169,
2017-10-30,327.45,325.9,-1.549999952,2017-11-27,0.592333436,-1.549999952,,4.589592345,
2017-10-31,331.05,327.7000001,-3.349999905,2017-11-28,0.492859334,-3.349999905,,14.76756713,
2017-11-01,336.55,327.6999996,8.850000381,2017-11-29,-0.885233879,-8.850000381,,63.43750543,
2017-11-02,335.05,322.2499998,-12.80000019,2017-11-30,0.592483282,-12.80000019,,179.3586135,
2017-11-03,336.35,321.85,-14.5,2017-12-01,1.399499178,-14.5,,252.7940741,
2017-11-06,334.15,325.0000004,-9.149999619,2017-12-04,1.181805372,-9.149999619,,106.7461944,
2017-11-07,333.75,326.5999999,7.150000095,2017-12-05,-1.321779013,-7.150000095,,33.96816098,
2017-11-08,335.25,321.6499996,-13.60000038,2017-12-06,0.205928564,-13.60000038,,190.603674,
2017-11-09,333.65,320.7000002,12.94999981,2017-12-07,-1.725751162,-12.94999981,,125.9837577,
2017-11-10,332.9,321.4,11.5,2017-12-08,-4.013864994,-11.5,,56.04221733,
2017-11-13,331.55,321.4999998,10.05000019,2017-12-11,-7.4268713,-10.05000019,,6.880805174,
2017-11-14,331.3,320.4499996,10.85000038,2017-12-12,-9.312485695,-10.85000038,,2.363951407,
2017-11-15,329.15,322.8499998,6.300000191,2017-12-13,-9.563344955,-6.300000191,,10.64941905,
2017-11-16,331.3,324.3,7,2017-12-14,-11.03891277,-7,,16.31281636,
2017-11-17,330.95,322.7500002,8.199999809,2017-12-15,-8.12250042,-8.199999809,,0.006006155,
2017-11-20,329.45,324.1499998,5.300000191,2017-12-18,-5.810863972,-5.300000191,,0.260981803,
2017-11-21,330.85,323.85,7,2017-12-19,-3.665289164,-7,,11.12029636,
2017-11-22,332.55,323.55,9,2017-12-20,-4.122578144,-9,,23.78924396,
2017-11-23,331.45,316.8499996,14.60000038,2017-12-21,-3.720298052,-14.60000038,,118.3679227,
2017-11-24,332.25,318.5,13.75,2017-12-22,-4.192460537,-13.75,,91.34656059,
2017-11-27,325.9,318.4999999,7.400000095,2017-12-25,-0.448237091,-7.400000095,,48.32700886,
2017-11-28,327.7,317.45,10.25,2017-12-26,-6.638580799,-10.25,,13.04234865,
2017-11-29,327.7,321.2,6.5,2017-12-27,-9.945242882,-6.5,,11.86969852,
2017-11-30,322.25,325.6500001,3.400000095,2017-12-28,1.251246214,3.400000095,,4.617143241,
2017-12-01,321.85,325.65,3.799999952,2017-12-29,2.281215906,3.799999952,,2.306704978,
2017-12-04,325,325.65,-0.649999976,2018-01-01,-2.476229906,0.649999976,,9.773313275,
2017-12-05,326.6,326.5,0.100000001,2018-01-02,-7.551299095,-0.100000001,,55.52185819,
2017-12-06,321.65,327.7000002,-6.050000191,2018-01-03,-3.328527689,6.050000191,,87.9567852,
2017-12-07,320.7,325.0000002,-4.300000191,2018-01-04,-1.867367029,4.300000191,,38.03641843,
2017-12-08,321.4,328.9500002,-7.550000191,2018-01-05,-0.64727509,7.550000191,,67.19532203,
2017-12-11,321.5,331.25,-9.75,2018-01-08,-4.225936413,9.75,,195.3267986,
2017-12-12,320.45,330.45,-10,2018-01-09,-3.479739189,10,,181.7033686,
2017-12-13,322.85,327.85,-5,2018-01-10,-4.408661842,5,,88.52291766,
2017-12-14,324.3,326.5,-2.200000048,2018-01-11,-4.901546955,2.200000048,,50.43196984,
2017-12-15,322.75,326.8499999,4.099999905,2018-01-12,2.275387287,4.099999905,,3.329211206,
2017-12-18,324.15,327.3000001,3.150000095,2018-01-15,5.172207355,3.150000095,,4.089322202,
2017-12-19,323.85,330.5000001,6.650000095,2018-01-16,7.664306164,6.650000095,,1.028816802,
2017-12-20,323.55,329.2000001,5.650000095,2018-01-17,8.540535927,5.650000095,,8.355197396,
2017-12-21,316.85,329.4000002,12.55000019,2018-01-18,8.513588905,12.55000019,,16.29261606,
2017-12-22,318.5,329.6000004,11.10000038,2018-01-19,5.895693302,11.10000038,,27.08481216,
2017-12-25,318.5,326.25,7.75,2018-01-22,4.626505375,7.75,,9.756218672,
2017-12-26,317.45,331.2500002,13.80000019,2018-01-23,5.740639687,13.80000019,,64.95329172,
2017-12-27,321.2,331.5999996,10.39999962,2018-01-24,4.761215687,10.39999962,,31.79588424,
2017-12-28,325.65,334.2999996,-8.649999619,2018-01-25,-0.156869456,8.649999619,,77.5609429,
2017-12-29,325.65,335.9500002,-10.30000019,2018-01-26,-2.620439053,10.30000019,,166.9377502,
2018-01-01,325.65,338.5000004,-12.85000038,2018-01-29,-6.624928951,12.85000038,,379.2728724,
2018-01-02,326.5,333.9000001,-7.400000095,2018-01-30,-8.512007713,7.400000095,,253.1919925,
2018-01-03,327.7,334.45,-6.75,2018-01-31,-7.171028614,6.75,,193.7950377,
2018-01-04,325,333.6499996,-8.649999619,2018-02-01,-5.059053898,8.649999619,,187.9381483,
2018-01-05,328.95,327.4,1.549999952,2018-02-02,-7.947843552,-1.549999952,,40.93240273,
2018-01-08,331.25,323,8.25,2018-02-05,-8.652755737,-8.25,,0.162212184,
2018-01-09,330.45,317.6499998,12.80000019,2018-02-06,-7.459060192,-12.80000019,,28.52564006,
2018-01-10,327.85,309.4999996,18.35000038,2018-02-07,-4.958442211,-18.35000038,,179.3338302,
2018-01-11,326.5,312.5,14,2018-02-08,-5.007907391,-14,,80.85772949,
2018-01-12,326.85,303.85,23,2018-02-09,-4.534980297,-23,,340.9569526,
2018-01-15,327.3,308.0999992,19.20000076,2018-02-12,-5.877925396,-19.20000076,,177.477692,
2018-01-16,330.5,311.3999996,19.10000038,2018-02-13,-5.378706455,-19.10000038,,188.273907,
2018-01-17,329.2,314.3000004,14.89999962,2018-02-14,-5.130679607,-14.89999962,,95.43961352,
2018-01-18,329.4,314.2999996,15.10000038,2018-02-15,-1.556332111,-15.10000038,,183.4309502,
2018-01-19,329.6,314.2999998,15.30000019,2018-02-16,-2.782860518,-15.30000019,,156.6787856,
2018-01-22,326.25,316.25,10,2018-02-19,-0.781594396,-10,,84.97900188,
2018-01-23,331.25,312,19.25,2018-02-20,-3.566778898,-19.25,,245.9634241,
2018-01-24,331.6,314.0500008,17.54999924,2018-02-21,-4.574001312,-17.54999924,,168.3765222,
2018-01-25,334.3,311.8499992,22.45000076,2018-02-22,-4.877286434,-22.45000076,,308.8002888,
2018-01-26,335.95,316.95,19,2018-02-23,-6.940266132,-19,,145.437181,
2018-01-29,338.5,317.1000004,21.39999962,2018-02-26,-5.281940937,-21.39999962,,259.7918157,
2018-01-30,333.9,315.7500004,-18.14999962,2018-02-27,0.011803269,-18.14999962,,329.8510842,
2018-01-31,334.45,312.45,22,2018-02-28,-3.333660603,-22,,348.4322265,
2018-02-01,333.65,312.4499992,21.20000076,2018-03-01,-3.539834023,-21.20000076,,311.8814892,
2018-02-02,327.4,308.15,-19.25,2018-03-02,1.680785775,-19.25,,438.0977932,
2018-02-05,323,303.8500004,-19.14999962,2018-03-05,3.85915494,-19.14999962,,529.4211936,
2018-02-06,317.65,310.3000001,-7.349999905,2018-03-06,8.159315109,-7.349999905,,240.5388522,
2018-02-07,309.5,310.45,0.949999988,2018-03-07,5.129590034,0.949999988,,17.46897295,
2018-02-08,312.5,313.6,-1.100000024,2018-03-08,-1.124637365,1.100000024,,4.949011513,
