date,index1,index2,loss_profits,pred_date,prediction,real,0.618473896,10.29729809
2017-07-10,310.8,312.8999999,2.099999905,2017-08-07,1.062914848,2.099999905,,1.075545415
2017-07-11,312.7,312.85,0.150000006,2017-08-08,0.419455737,0.150000006,,0.072606391
2017-07-12,312.6,308.65,-3.950000048,2017-08-09,1.856669664,-3.950000048,,33.71741314
2017-07-13,316.55,307.2499998,9.300000191,2017-08-10,-1.635968685,-9.300000191,,58.73737892
2017-07-14,316.7,301.5000002,-15.19999981,2017-08-11,1.274907589,-15.19999981,,271.4225738
2017-07-17,317.5,304.6000004,12.89999962,2017-08-14,-4.566662312,-12.89999962,,69.44451069
2017-07-18,318.05,304.6000002,-13.44999981,2017-08-15,3.905507803,-13.44999981,,301.2136445
2017-07-19,318.7,306.2500002,12.44999981,2017-08-16,-0.314633787,-12.44999981,,147.2671085
2017-07-20,319.6,307.9000002,-11.69999981,2017-08-17,5.129143715,-11.69999981,,283.2200718
2017-07-21,321.1,307.7499996,13.35000038,2017-08-18,-1.737722397,-13.35000038,,134.845
2017-07-24,321.25,307.0500002,-14.19999981,2017-08-21,3.767611027,-14.19999981,,322.8350392
2017-07-25,319.65,308.7000002,-10.94999981,2017-08-22,6.535631657,-10.94999981,,305.7473078
2017-07-26,318.95,308.5999996,-10.35000038,2017-08-23,7.997598648,-10.35000038,,336.6343901
2017-07-27,319.85,310.1,-9.75,2017-08-24,10.48319435,-9.75,,409.3821536
2017-07-28,312.55,310.25,-2.299999952,2017-08-25,9.271347046,-2.299999952,,133.8960713
2017-07-31,313.55,308.2000001,-5.349999905,2017-08-28,3.170395136,-5.349999905,,72.59713165
2017-08-01,316.55,307.1500004,-9.399999619,2017-08-29,6.428802967,-9.399999619,,250.5509913
2017-08-02,317.15,309.0000004,-8.149999619,2017-08-30,1.22346735,-8.149999619,,87.86188302
2017-08-03,311.65,306.65,-5,2017-08-31,6.582805157,-5,,134.1613753
2017-08-04,312.85,306.2999998,-6.550000191,2017-09-01,3.617031574,-6.550000191,,103.3685349
2017-08-07,312.9,303.5000004,-9.399999619,2017-09-04,2.46530509,-9.399999619,,140.7854558
2017-08-08,312.85,302.7000004,-10.14999962,2017-09-05,2.118541479,-10.14999962,,150.5171007
2017-08-09,308.65,302.3000001,-6.349999905,2017-09-06,5.983915329,-6.349999905,,152.125465
2017-08-10,307.25,306.2,-1.049999952,2017-09-07,8.085834503,-1.049999952,,83.46347119
2017-08-11,301.5,306.25,4.75,2017-09-08,10.35641384,4.75,,31.43187615
2017-08-14,304.6,309.2500001,4.650000095,2017-09-11,11.14508247,4.650000095,,42.18609506
2017-08-15,304.6,309.1999999,4.599999905,2017-09-12,11.39362621,4.599999905,,46.15335837
2017-08-16,306.25,308.55,2.299999952,2017-09-13,12.38317299,2.299999952,,101.6703785
2017-08-17,307.9,310.2499999,2.349999905,2017-09-14,14.19656849,2.349999905,,140.3411872
2017-08-18,307.75,311.2,3.450000048,2017-09-15,12.59573555,3.450000048,,83.64447787
2017-08-21,307.05,316.6999996,9.649999619,2017-09-18,14.08710384,9.649999619,,19.68789387
2017-08-22,308.7,316.0499999,7.349999905,2017-09-19,12.32933235,7.349999905,,24.7937516
2017-08-23,308.6,315.7999998,7.199999809,2017-09-20,15.14087963,7.199999809,,63.05757233
2017-08-24,310.1,316.0499998,5.949999809,2017-09-21,12.47896576,5.949999809,,42.62739639
2017-08-25,310.25,313.75,3.5,2017-09-22,12.50234985,3.5,,81.04230282
2017-08-28,308.2,313.7999999,5.599999905,2017-09-25,11.68187523,5.599999905,,36.98920747
2017-08-29,307.15,311.8000001,4.650000095,2017-09-26,16.70810699,4.650000095,,145.3979419
2017-08-30,309,311.4000001,2.400000095,2017-09-27,10.68971252,2.400000095,,68.71933209
2017-08-31,306.65,311.5999998,4.949999809,2017-09-28,9.464427948,4.949999809,,20.38006142
2017-09-01,306.3,314.3,8,2017-09-29,9.38530159,8,,1.919060495
2017-09-04,303.5,314.3000002,10.80000019,2017-10-02,9.331328392,10.80000019,,2.15699685
2017-09-05,302.7,314.3000004,11.60000038,2017-10-03,11.76576328,11.60000038,,0.027477339
2017-09-06,302.3,314.3,12,2017-10-04,10.28850555,12,,2.929213252
2017-09-07,306.2,314.3000004,8.100000381,2017-10-05,3.921912193,8.100000381,,17.45642091
2017-09-08,306.25,314.3000002,8.050000191,2017-10-06,8.390043259,8.050000191,,0.115629288
2017-09-11,309.25,314.3000002,5.050000191,2017-10-09,0.271299899,5.050000191,,22.83597648
2017-09-12,309.2,320.1499998,10.94999981,2017-10-10,4.399496555,10.94999981,,42.90909289
2017-09-13,308.55,323.2499998,-14.69999981,2017-10-11,-0.777172685,14.69999981,,239.5428684
2017-09-14,310.25,325.6499996,-15.39999962,2017-10-12,-0.884189844,15.39999962,,265.1748265
2017-09-15,311.2,325.3000004,-14.10000038,2017-10-13,-3.262526751,14.10000038,,301.4573484
2017-09-18,316.7,325.5000002,-8.800000191,2017-10-16,-3.165569067,8.800000191,,143.1748477
2017-09-19,316.05,325.8,-9.75,2017-10-17,-3.417873144,9.75,,173.3928831
2017-09-20,315.8,325.8500002,-10.05000019,2017-10-18,-0.783236861,10.05000019,,117.359025
2017-09-21,316.05,324.1000002,-8.050000191,2017-10-19,-3.449707508,8.050000191,,132.2432772
2017-09-22,313.75,326.25,-12.5,2017-10-20,-0.412518203,12.5,,166.7331263
2017-09-25,313.8,327.05,-13.25,2017-10-23,-1.280507803,13.25,,211.135657
2017-09-26,311.8,326.55,14.75,2017-10-24,4.253273964,14.75,,110.1812575
2017-09-27,311.4,326.7500004,15.35000038,2017-10-25,4.874873161,15.35000038,,109.7282903
2017-09-28,311.6,323.7499996,12.14999962,2017-10-26,10.41866302,12.14999962,,2.997526422
2017-09-29,314.3,326.8500002,12.55000019,2017-10-27,3.830661297,12.55000019,,76.02687073
2017-10-02,314.3,327.4499996,13.14999962,2017-10-30,2.845589161,13.14999962,,106.1808749
2017-10-03,314.3,331.05,16.75,2017-10-31,0.693019986,16.75,,257.8266072
2017-10-04,314.3,336.55,22.25,2017-11-01,0.888358772,22.25,,456.319716
2017-10-05,314.3,335.05,20.75,2017-11-02,1.161371589,20.75,,383.714363
2017-10-06,314.3,336.3499992,22.04999924,2017-11-03,2.189786434,22.04999924,,394.4280527
2017-10-09,314.3,334.1500004,19.85000038,2017-11-06,1.938161135,19.85000038,,320.8339851
2017-10-10,320.15,333.7500004,-13.60000038,2017-11-07,-0.919824243,13.60000038,,210.8253071
2017-10-11,323.25,335.25,-12,2017-11-08,-1.088248253,12,,171.3022423
2017-10-12,325.65,333.65,-8,2017-11-09,-1.763590336,8,,95.32769625
2017-10-13,325.3,332.8999999,-7.599999905,2017-11-10,-3.978714228,7.599999905,,134.066621
2017-10-16,325.5,331.5500002,-6.050000191,2017-11-13,-1.571270943,6.050000191,,58.0837737
2017-10-17,325.8,331.3,-5.5,2017-11-14,-3.746312857,5.5,,85.49430145
2017-10-18,325.85,329.15,-3.299999952,2017-11-15,-2.446773767,3.299999952,,33.02540818
2017-10-19,324.1,331.2999998,-7.199999809,2017-11-16,-0.163611054,7.199999809,,54.22276494
2017-10-20,326.25,330.9499998,-4.699999809,2017-11-17,-1.163174629,4.699999809,,34.37681449
2017-10-23,327.05,329.4500001,-2.400000095,2017-11-20,-4.092131615,2.400000095,,42.14777414
2017-10-24,326.55,330.8500002,-4.300000191,2017-11-21,-2.47236371,4.300000191,,45.86491281
2017-10-25,326.75,332.5500002,-5.800000191,2017-11-22,-2.173303843,5.800000191,,63.57357722
2017-10-26,323.75,331.4499998,7.699999809,2017-11-23,0.748382449,7.699999809,,48.32498392
2017-10-27,326.85,332.2500001,-5.400000095,2017-11-24,-1.06753695,5.400000095,,41.82903543
2017-10-30,327.45,325.9,1.549999952,2017-11-27,-2.114875555,-1.549999952,,0.319084447
2017-10-31,331.05,327.7000001,3.349999905,2017-11-28,-3.103402376,-3.349999905,,0.060810341
2017-11-01,336.55,327.6999996,8.850000381,2017-11-29,-4.453782082,-8.850000381,,19.32673533
2017-11-02,335.05,322.2499998,12.80000019,2017-11-30,-4.195342064,-12.80000019,,74.04014147
2017-11-03,336.35,321.85,14.5,2017-12-01,-3.508853674,-14.5,,120.8052976
2017-11-06,334.15,325.0000004,9.149999619,2017-12-04,-1.400875926,-9.149999619,,60.04891801
2017-11-07,333.75,326.5999999,7.150000095,2017-12-05,-5.598330498,-7.150000095,,2.407678538
2017-11-08,335.25,321.6499996,13.60000038,2017-12-06,-0.654255986,-13.60000038,,167.5922979
2017-11-09,333.65,320.7000002,-12.94999981,2017-12-07,0.01550699,-12.94999981,,168.1043666
2017-11-10,332.9,321.4,11.5,2017-12-08,-4.499284744,-11.5,,49.0100141
2017-11-13,331.55,321.4999998,10.05000019,2017-12-11,-4.932425499,-10.05000019,,26.18957072
2017-11-14,331.3,320.4499996,10.85000038,2017-12-12,-8.148535728,-10.85000038,,7.297911266
2017-11-15,329.15,322.8499998,6.300000191,2017-12-13,-7.526494503,-6.300000191,,1.504288297
2017-11-16,331.3,324.3,7,2017-12-14,-10.40776062,-7,,11.61283244
2017-11-17,330.95,322.7500002,8.199999809,2017-12-15,-7.433661461,-8.199999809,,0.587274464
2017-11-20,329.45,324.1499998,5.300000191,2017-12-18,-5.940988064,-5.300000191,,0.410865453
2017-11-21,330.85,323.85,7,2017-12-19,-7.639865398,-7,,0.409427728
2017-11-22,332.55,323.55,9,2017-12-20,-9.103577614,-9,,0.010728322
2017-11-23,331.45,316.8499996,14.60000038,2017-12-21,-8.707992554,-14.60000038,,34.71575622
2017-11-24,332.25,318.5,13.75,2017-12-22,-6.028874397,-13.75,,59.61578058
2017-11-27,325.9,318.4999999,-7.400000095,2017-12-25,3.335057974,-7.400000095,,115.2414717
2017-11-28,327.7,317.45,-10.25,2017-12-26,0.51532042,-10.25,,115.8921237
2017-11-29,327.7,321.2,-6.5,2017-12-27,3.649129629,-6.5,,103.0048322
2017-11-30,322.25,325.6500001,3.400000095,2017-12-28,2.18762064,3.400000095,,1.469863943
2017-12-01,321.85,325.65,3.799999952,2017-12-29,2.649539709,3.799999952,,1.323558771
2017-12-04,325,325.65,-0.649999976,2018-01-01,-2.594625711,0.649999976,,10.52759585
2017-12-05,326.6,326.5,0.100000001,2018-01-02,-1.538135648,-0.100000001,,2.068234139
2017-12-06,321.65,327.7000002,-6.050000191,2018-01-03,-0.679927111,6.050000191,,45.29192149
2017-12-07,320.7,325.0000002,4.300000191,2018-01-04,0.110940419,4.300000191,,17.54822177
2017-12-08,321.4,328.9500002,-7.550000191,2018-01-05,-1.852366567,7.550000191,,88.40450065
2017-12-11,321.5,331.25,-9.75,2018-01-08,-2.109289169,9.75,,140.6427396
2017-12-12,320.45,330.45,-10,2018-01-09,-0.326562643,10,,106.637896
2017-12-13,322.85,327.85,-5,2018-01-10,-3.418468952,5,,70.8706195
2017-12-14,324.3,326.5,-2.200000048,2018-01-11,-0.262291163,2.200000048,,6.062878008
2017-12-15,322.75,326.8499999,4.099999905,2018-01-12,0.321626395,4.099999905,,14.27610638
2017-12-18,324.15,327.3000001,3.150000095,2018-01-15,3.332177877,3.150000095,,0.033188744
2017-12-19,323.85,330.5000001,6.650000095,2018-01-16,3.580258131,6.650000095,,9.423315726
2017-12-20,323.55,329.2000001,5.650000095,2018-01-17,4.807285309,5.650000095,,0.710168211
2017-12-21,316.85,329.4000002,12.55000019,2018-01-18,7.89855957,12.55000019,,21.63589984
2017-12-22,318.5,329.6000004,11.10000038,2018-01-19,6.226485729,11.10000038,,23.75114505
2017-12-25,318.5,326.25,7.75,2018-01-22,5.367834091,7.75,,5.674714418
2017-12-26,317.45,331.2500002,13.80000019,2018-01-23,6.774751663,13.80000019,,49.35411687
2017-12-27,321.2,331.5999996,10.39999962,2018-01-24,4.86913538,10.39999962,,30.59045924
2017-12-28,325.65,334.2999996,8.649999619,2018-01-25,4.696827888,8.649999619,,15.62756673
2017-12-29,325.65,335.9500002,10.30000019,2018-01-26,3.322367907,10.30000019,,48.68735228
2018-01-01,325.65,338.5000004,-12.85000038,2018-01-29,-2.02522254,12.85000038,,221.2722569
2018-01-02,326.5,333.9000001,-7.400000095,2018-01-30,-0.405749261,7.400000095,,60.92972301
2018-01-03,327.7,334.45,-6.75,2018-01-31,-1.120587349,6.75,,61.94614522
2018-01-04,325,333.6499996,8.649999619,2018-02-01,3.96407342,8.649999619,,21.95790434
