date,index1,index2,loss_profits,pred_date,prediction,real,0.542168675
2017-07-10,310.8,312.8999999,2.099999905,2017-08-07,0.331542909,2.099999905,
2017-07-11,312.7,312.85,0.150000006,2017-08-08,2.141946554,0.150000006,
2017-07-12,312.6,308.65,-3.950000048,2017-08-09,0.158321857,-3.950000048,
2017-07-13,316.55,307.2499998,-9.300000191,2017-08-10,0.677259564,-9.300000191,
2017-07-14,316.7,301.5000002,15.19999981,2017-08-11,-3.377310753,-15.19999981,
2017-07-17,317.5,304.6000004,12.89999962,2017-08-14,-2.743063927,-12.89999962,
2017-07-18,318.05,304.6000002,13.44999981,2017-08-15,-0.359722733,-13.44999981,
2017-07-19,318.7,306.2500002,12.44999981,2017-08-16,-2.284619808,-12.44999981,
2017-07-20,319.6,307.9000002,-11.69999981,2017-08-17,2.138763905,-11.69999981,
2017-07-21,321.1,307.7499996,-13.35000038,2017-08-18,1.16468215,-13.35000038,
2017-07-24,321.25,307.0500002,-14.19999981,2017-08-21,5.660717964,-14.19999981,
2017-07-25,319.65,308.7000002,-10.94999981,2017-08-22,7.875716686,-10.94999981,
2017-07-26,318.95,308.5999996,-10.35000038,2017-08-23,13.70676708,-10.35000038,
2017-07-27,319.85,310.1,-9.75,2017-08-24,11.05177402,-9.75,
2017-07-28,312.55,310.25,-2.299999952,2017-08-25,12.3261795,-2.299999952,
2017-07-31,313.55,308.2000001,-5.349999905,2017-08-28,5.647700787,-5.349999905,
2017-08-01,316.55,307.1500004,-9.399999619,2017-08-29,6.12520504,-9.399999619,
2017-08-02,317.15,309.0000004,-8.149999619,2017-08-30,0.37718147,-8.149999619,
2017-08-03,311.65,306.65,-5,2017-08-31,5.084659576,-5,
2017-08-04,312.85,306.2999998,-6.550000191,2017-09-01,1.185920119,-6.550000191,
2017-08-07,312.9,303.5000004,9.399999619,2017-09-04,-0.968183339,-9.399999619,
2017-08-08,312.85,302.7000004,-10.14999962,2017-09-05,4.775701523,-10.14999962,
2017-08-09,308.65,302.3000001,-6.349999905,2017-09-06,7.179488659,-6.349999905,
2017-08-10,307.25,306.2,-1.049999952,2017-09-07,11.55462646,-1.049999952,
2017-08-11,301.5,306.25,4.75,2017-09-08,9.140938759,4.75,
2017-08-14,304.6,309.2500001,4.650000095,2017-09-11,9.239242554,4.650000095,
2017-08-15,304.6,309.1999999,4.599999905,2017-09-12,7.686003685,4.599999905,
2017-08-16,306.25,308.55,2.299999952,2017-09-13,9.130179405,2.299999952,
2017-08-17,307.9,310.2499999,2.349999905,2017-09-14,11.97276878,2.349999905,
2017-08-18,307.75,311.2,3.450000048,2017-09-15,11.55432224,3.450000048,
