date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,,BT,BB,
2017-03-31,2017-06-30,299.4876972,311.5500008,281.6,29.95000076,17.88769722,29.95000076,11.90461505,,331.1926156,291.9073859,1
2017-04-03,2017-07-03,301.2766613,311.9499992,281.9,30.04999924,19.3766613,30.04999924,11.91659305,,331.6123778,292.2876207,1
2017-04-04,2017-07-04,299.8760944,309.6499992,281.35,28.29999924,18.52609444,28.29999924,11.85819215,,329.2160163,290.0839822,1
2017-04-05,2017-07-05,294.0020596,311.1,280.85,30.25,13.15205956,30.25,11.79643377,,330.5641157,291.6358843,1
2017-04-06,2017-07-06,298.1568569,311.1000008,279.9,31.20000076,18.25685692,31.20000076,11.69295086,,330.3933697,291.8066318,1
2017-04-07,2017-07-07,297.5015945,310.25,279.25,31,18.25159454,31,11.53775799,,329.2873007,291.2126993,1
2017-04-10,2017-07-10,302.481728,310.8000015,277.65,33.15000153,24.83172798,33.15000153,11.32296408,,329.4828923,292.1171108,1
2017-04-11,2017-07-11,302.0795006,312.6999992,275.9,36.79999924,26.17950058,36.79999924,11.05558579,,330.9417158,294.4582827,1
2017-04-12,2017-07-12,301.6001331,312.6000015,276.95,35.65000153,24.65013313,35.65000153,10.78599686,,330.3968963,294.8031067,1
2017-04-13,2017-07-13,297.856852,316.5500015,279.15,37.40000153,18.70685196,37.40000153,10.63473525,,334.0973147,299.0026884,0
2017-04-14,2017-07-14,297.4219887,316.7,277.7,39,19.72198868,39,10.4024231,,333.8639981,299.5360019,0
2017-04-17,2017-07-17,300.4738335,317.4999985,278.65,38.84999847,21.82383347,38.84999847,10.18220426,,334.3006355,300.6993614,0
2017-04-18,2017-07-18,299.9009586,318.0500008,278.35,39.70000076,21.55095863,39.70000076,9.922219263,,334.4216625,301.678339,0
2017-04-19,2017-07-19,296.4375626,318.6999985,276.85,41.84999847,19.58756256,41.84999847,9.568923622,,334.4887225,302.9112745,0
2017-04-20,2017-07-20,298.9265118,319.5999985,278.25,41.34999847,20.67651176,41.34999847,9.242264372,,334.8497347,304.3502623,0
2017-04-21,2017-07-21,300.8802292,321.1000015,280.7,40.40000153,20.18022919,40.40000153,9.006403104,,335.9605666,306.2394364,0
2017-04-24,2017-07-24,300.3256565,321.2500015,281.85,39.40000153,18.47565651,39.40000153,8.772810035,,335.7251381,306.774865,0
2017-04-25,2017-07-25,301.5906231,319.6500008,285.2,34.45000076,16.39062309,34.45000076,8.582615549,,333.8113164,305.4886851,0
2017-04-26,2017-07-26,297.6415436,318.95,286.45,32.5,11.19154358,32.5,8.38471688,,332.7847829,305.1152171,0
2017-04-27,2017-07-27,305.6656052,319.85,287.35,32.5,18.31560516,32.5,8.206821228,,333.391255,306.308745,0
2017-04-28,2017-07-28,300.7755821,312.55,287.8,24.75,12.97558212,24.75,7.881278633,,325.5541097,299.5458903,1
2017-05-01,2017-07-31,293.0234235,313.55,287.8,25.75,5.223423481,25.75,7.533613617,,325.9804625,301.1195375,0
2017-05-02,2017-08-01,296.1547239,316.55,290.05,26.5,6.10472393,26.5,7.285671363,,328.5713577,304.5286423,0
2017-05-03,2017-08-02,294.7833341,317.1500004,290.05,27.10000038,4.733334064,27.10000038,7.016293708,,328.726885,305.5731158,0
2017-05-04,2017-08-03,294.0900284,311.6499996,292.75,18.89999962,1.340028405,18.89999962,6.745785543,,322.7805458,300.5194535,0
2017-05-05,2017-08-04,293.8466672,312.8500004,292.75,20.10000038,1.096667171,20.10000038,6.460258501,,323.5094269,302.1905739,0
2017-05-08,2017-08-07,300.8279438,312.8999998,300.7,12.19999981,0.127943814,12.19999981,6.39347643,,323.4492359,302.3507637,0
2017-05-09,2017-08-08,302.8821814,312.8499996,300.7,12.14999962,2.182181358,12.14999962,6.319893138,,323.2778233,302.4221759,1
2017-05-10,2017-08-09,299.99215,308.6499998,296.45,12.19999981,3.542150021,12.19999981,6.108970095,,318.7298005,298.5701992,1
2017-05-11,2017-08-10,306.1573621,307.2500001,300.1,7.150000095,6.05736208,7.150000095,6.000102864,,317.1501698,297.3498304,1
2017-05-12,2017-08-11,302.6553458,301.4999999,298.65,2.849999905,4.005345821,2.849999905,5.9285993,,311.2821887,291.7178111,1
2017-05-15,2017-08-14,301.045847,304.5999998,299.65,4.949999809,1.395846963,4.949999809,5.828780962,,314.2174884,294.9825112,1
2017-05-16,2017-08-15,305.9897618,304.5999999,299.25,5.349999905,6.739761829,5.349999905,5.714854758,,314.0295103,295.1704896,1
2017-05-17,2017-08-16,297.2461824,306.25,299.5,-6.75,-2.253817558,6.75,5.583999936,,315.4635999,297.0364001,0
2017-05-18,2017-08-17,295.3405203,307.9,298.65,-9.25,-3.309479713,9.25,5.406939763,,316.8214506,298.9785494,0
2017-05-19,2017-08-18,296.6359761,307.75,298.25,-9.5,-1.614023924,9.5,5.206907395,,316.3413972,299.1586028,0
2017-05-22,2017-08-21,299.9941998,307.0499998,300.6,-6.449999809,-0.605800152,6.449999809,5.080547366,,315.432903,298.6670967,0
2017-05-23,2017-08-22,301.2345382,308.7000001,301.05,7.650000095,0.184538156,7.650000095,4.949270537,,316.8662965,300.5337037,1
2017-05-24,2017-08-23,306.170112,308.5999998,301.9,6.699999809,4.270112038,6.699999809,4.83709723,,316.5812102,300.6187894,1
2017-05-25,2017-08-24,311.7253852,310.0999999,305.5,4.599999905,6.225385189,4.599999905,4.795610974,,318.012758,302.1872418,1
2017-05-26,2017-08-25,308.5003929,310.2500001,307.35,2.900000095,1.15039289,2.900000095,4.77821554,,318.1340557,302.3659445,1
2017-05-29,2017-08-28,307.625835,308.2,306.8,1.399999976,0.82583499,1.399999976,4.763677424,,316.0600677,300.3399322,1
2017-05-30,2017-08-29,310.6046449,307.15,304.35,2.799999952,6.254644871,2.799999952,4.717968669,,314.9346483,299.3653516,1
2017-05-31,2017-08-30,308.1633366,309,305.05,3.950000048,3.113336563,3.950000048,4.668919199,,316.7037167,301.2962834,1
