date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,,BT,BB,
2017-03-31,2017-06-30,295.8825603,311.5500008,281.6,29.95000076,14.28256035,29.95000076,11.90461505,,331.1926156,291.907386,1
2017-04-03,2017-07-03,297.9915051,311.9499992,281.9,30.04999924,16.09150505,30.04999924,11.91659305,,331.6123777,292.2876207,1
2017-04-04,2017-07-04,295.1233183,309.6499992,281.35,28.29999924,13.77331829,28.29999924,11.85819215,,329.2160162,290.0839822,1
2017-04-05,2017-07-05,292.5318867,311.1,280.85,30.25,11.68188667,30.25,11.79643377,,330.5641157,291.6358843,1
2017-04-06,2017-07-06,294.9623245,311.1000008,279.9,31.20000076,15.06232452,31.20000076,11.69295086,,330.3933697,291.8066319,1
2017-04-07,2017-07-07,294.7354317,310.25,279.25,31,15.48543167,31,11.53775799,,329.2873007,291.2126993,1
2017-04-10,2017-07-10,299.1085686,310.8000015,277.65,33.15000153,21.45856857,33.15000153,11.32296408,,329.4828922,292.1171108,1
2017-04-11,2017-07-11,297.221455,312.6999992,275.9,36.79999924,21.321455,36.79999924,11.05558579,,330.9417158,294.4582826,1
2017-04-12,2017-07-12,300.3653118,312.6000015,276.95,35.65000153,23.41531181,35.65000153,10.78599686,,330.3968963,294.8031067,1
2017-04-13,2017-07-13,296.7598766,316.5500015,279.15,37.40000153,17.60987663,37.40000153,10.63473525,,334.0973147,299.0026883,0
2017-04-14,2017-07-14,294.1166546,316.7,277.7,39,16.41665459,39,10.4024231,,333.8639981,299.5360019,0
2017-04-17,2017-07-17,293.5579895,317.4999985,278.65,38.84999847,14.9079895,38.84999847,10.18220426,,334.3006355,300.6993615,0
2017-04-18,2017-07-18,295.6194473,318.0500008,278.35,39.70000076,17.26944733,39.70000076,9.922219263,,334.4216626,301.678339,0
2017-04-19,2017-07-19,294.9043575,318.6999985,276.85,41.84999847,18.05435753,41.84999847,9.568923622,,334.4887225,302.9112745,0
2017-04-20,2017-07-20,298.7395515,319.5999985,278.25,41.34999847,20.48955154,41.34999847,9.242264372,,334.8497347,304.3502623,0
2017-04-21,2017-07-21,296.8828899,321.1000015,280.7,40.40000153,16.18288994,40.40000153,9.006403104,,335.9605666,306.2394364,0
2017-04-24,2017-07-24,299.4072948,321.2500015,281.85,39.40000153,17.55729485,39.40000153,8.772810035,,335.7251381,306.7748649,0
2017-04-25,2017-07-25,299.9776108,319.6500008,285.2,34.45000076,14.77761078,34.45000076,8.582615549,,333.8113165,305.4886851,0
2017-04-26,2017-07-26,299.0134842,318.95,286.45,32.5,12.56348419,32.5,8.38471688,,332.7847829,305.1152171,0
2017-04-27,2017-07-27,303.6620632,319.85,287.35,32.5,16.31206322,32.5,8.206821228,,333.391255,306.308745,0
2017-04-28,2017-07-28,302.9230755,312.55,287.8,24.75,15.12307549,24.75,7.881278633,,325.5541097,299.5458903,1
2017-05-01,2017-07-31,299.7682751,313.55,287.8,25.75,11.96827507,25.75,7.533613617,,325.9804625,301.1195375,0
2017-05-02,2017-08-01,296.7137688,316.55,290.05,26.5,6.663768768,26.5,7.285671363,,328.5713577,304.5286423,0
2017-05-03,2017-08-02,296.6452439,317.1500004,290.05,27.10000038,6.595243931,27.10000038,7.016293708,,328.726885,305.5731158,0
2017-05-04,2017-08-03,297.0044641,311.6499996,292.75,18.89999962,4.254464149,18.89999962,6.745785543,,322.7805457,300.5194535,0
2017-05-05,2017-08-04,295.6047146,312.8500004,292.75,20.10000038,2.854714632,20.10000038,6.460258501,,323.5094269,302.1905739,0
2017-05-08,2017-08-07,305.8377697,312.8999998,300.7,12.19999981,5.137769699,12.19999981,6.39347643,,323.4492359,302.3507637,1
2017-05-09,2017-08-08,306.5196287,312.8499996,300.7,12.14999962,5.819628716,12.14999962,6.319893138,,323.2778233,302.4221759,1
2017-05-10,2017-08-09,308.5734789,308.6499998,296.45,12.19999981,12.12347889,12.19999981,6.108970095,,318.7298005,298.5701991,1
2017-05-11,2017-08-10,310.4829746,307.2500001,300.1,7.150000095,10.38297462,7.150000095,6.000102864,,317.1501698,297.3498304,1
2017-05-12,2017-08-11,308.6960329,301.4999999,298.65,2.849999905,10.04603291,2.849999905,5.9285993,,311.2821887,291.7178111,1
2017-05-15,2017-08-14,300.9987247,304.5999998,299.65,4.949999809,1.348724723,4.949999809,5.828780962,,314.2174884,294.9825112,1
2017-05-16,2017-08-15,303.0303082,304.5999999,299.25,5.349999905,3.780308247,5.349999905,5.714854758,,314.0295103,295.1704895,1
2017-05-17,2017-08-16,299.5090838,306.25,299.5,6.75,0.00908383,6.75,5.583999936,,315.4635999,297.0364001,1
2017-05-18,2017-08-17,297.4672437,307.9,298.65,-9.25,-1.182756305,9.25,5.406939763,,316.8214506,298.9785494,0
2017-05-19,2017-08-18,291.2275414,307.75,298.25,-9.5,-7.022458553,9.5,5.206907395,,316.3413972,299.1586028,0
2017-05-22,2017-08-21,301.8819518,307.0499998,300.6,6.449999809,1.281951785,6.449999809,5.080547366,,315.432903,298.6670966,1
2017-05-23,2017-08-22,302.7799665,308.7000001,301.05,7.650000095,1.729966521,7.650000095,4.949270537,,316.8662965,300.5337037,1
2017-05-24,2017-08-23,309.3054818,308.5999998,301.9,6.699999809,7.405481815,6.699999809,4.83709723,,316.5812102,300.6187894,1
2017-05-25,2017-08-24,309.901988,310.0999999,305.5,4.599999905,4.401988029,4.599999905,4.795610974,,318.012758,302.1872418,1
2017-05-26,2017-08-25,311.8540412,310.2500001,307.35,2.900000095,4.504041195,2.900000095,4.77821554,,318.1340557,302.3659445,1
2017-05-29,2017-08-28,306.1777059,308.2,306.8,-1.399999976,-0.622294128,1.399999976,4.763677424,,316.0600677,300.3399323,0
2017-05-30,2017-08-29,308.0904976,307.15,304.35,2.799999952,3.740497589,2.799999952,4.717968669,,314.9346483,299.3653517,1
2017-05-31,2017-08-30,306.0624857,309,305.05,3.950000048,1.012485743,3.950000048,4.668919199,,316.7037167,301.2962833,1
2017-06-01,2017-08-31,303.7221393,306.65,304.15,-2.5,-0.427860737,2.5,4.62348039,,314.2787426,299.0212574,0
2017-06-02,2017-09-01,306.0941957,306.3,307.75,1.450000048,-1.655804276,-1.450000048,4.642003955,,313.9593065,298.6406935,1
2017-06-05,2017-09-04,310.57298,303.5000001,307.6,-4.099999905,2.972980022,-4.099999905,4.713492678,,311.277263,295.7227372,0
2017-06-06,2017-09-05,311.4441243,302.6999999,307.6,-4.900000095,3.844124317,-4.900000095,4.802809049,,310.6246348,294.775365,0
2017-06-07,2017-09-06,315.0825781,302.3000001,305.4,-3.099999905,9.682578087,-3.099999905,4.870798855,,310.3368182,294.263182,0
2017-06-08,2017-09-07,319.4541391,306.2,306.65,-0.449999988,12.80413914,-0.449999988,4.87683915,,314.2467846,298.1532154,0
2017-06-09,2017-09-08,313.387625,306.25,308.55,-2.299999952,4.837625027,-2.299999952,4.900295566,,314.3354877,298.1645123,0
2017-06-12,2017-09-11,313.1364625,309.25,305.3,3.950000048,7.836462498,3.950000048,4.858193045,,317.2660185,301.2339815,1
2017-06-13,2017-09-12,312.7501324,309.2000001,307.05,2.150000095,5.70013237,2.150000095,4.840698853,,317.1871532,301.212847,1
2017-06-14,2017-09-13,311.781712,308.55,307.4,1.149999976,4.38171196,1.149999976,4.830663152,,316.5205942,300.5794058,1
2017-06-15,2017-09-14,308.4214341,310.2499999,305.65,4.599999905,2.771434069,4.599999905,4.789271238,,318.1522974,302.3477024,1
2017-06-16,2017-09-15,309.1137161,311.1999998,306,5.199999809,3.113716125,5.199999809,4.751880574,,319.0406027,303.3593969,1
2017-06-19,2017-09-18,313.5820401,316.6999996,307.8,8.899999619,5.782040119,8.899999619,4.791113444,,324.6053368,308.7946624,1
2017-06-20,2017-09-19,312.9619628,316.0499998,308.1,7.949999809,4.861962795,7.949999809,4.81804164,,323.9997685,308.1002311,1
2017-06-21,2017-09-20,324.6490906,315.8,306.8,9,17.84909058,9,4.822013947,,323.756323,307.843677,0
2017-06-22,2017-09-21,328.5374802,316.05,308.55,7.5,19.98748016,7.5,4.846478822,,324.0466901,308.0533099,0
2017-06-23,2017-09-22,310.5362153,313.75,309.25,4.5,1.286215305,4.5,4.84817484,,321.7494885,305.7505115,1
2017-06-26,2017-09-25,313.3859928,313.8,310.55,3.25,2.835992813,3.25,4.855839194,,321.8121347,305.7878653,1
