date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,,index_pred,index_pred,,¾Ó»óºí,profit,
2017-03-31,2017-06-30,306.8230988,311.5500008,281.6,29.95000076,25.22309875,29.95000076,11.90461505,,295.8825603,299.4876972,,300.7311188,29.95000076,1
2017-04-03,2017-07-03,303.104113,311.9499992,281.9,30.04999924,21.20411301,30.04999924,11.91659305,,297.9915051,301.2766613,,300.7907598,30.04999924,1
2017-04-04,2017-07-04,301.4648529,309.6499992,281.35,28.29999924,20.11485291,28.29999924,11.85819215,,295.1233183,299.8760944,,298.8214219,28.29999924,1
2017-04-05,2017-07-05,294.5570236,311.1,280.85,30.25,13.70702362,30.25,11.79643377,,292.5318867,294.0020596,,293.69699,30.25,1
2017-04-06,2017-07-06,291.3871826,311.1000008,279.9,31.20000076,11.48718262,31.20000076,11.69295086,,294.9623245,298.1568569,,294.8354547,31.20000076,1
2017-04-07,2017-07-07,293.0447121,310.25,279.25,31,13.79471207,31,11.53775799,,294.7354317,297.5015945,,295.0939128,31,1
2017-04-10,2017-07-10,296.0561279,310.8000015,277.65,33.15000153,18.40612793,33.15000153,11.32296408,,299.1085686,302.481728,,299.2154748,33.15000153,1
2017-04-11,2017-07-11,292.4914536,312.6999992,275.9,36.79999924,16.59145355,36.79999924,11.05558579,,297.221455,302.0795006,,297.2641364,36.79999924,1
2017-04-12,2017-07-12,291.5175526,312.6000015,276.95,35.65000153,14.56755257,35.65000153,10.78599686,,300.3653118,301.6001331,,297.8276658,35.65000153,1
2017-04-13,2017-07-13,288.9752258,316.5500015,279.15,37.40000153,9.82522583,37.40000153,10.63473525,,296.7598766,297.856852,,294.5306515,37.40000153,0
2017-04-14,2017-07-14,286.3407242,316.7,277.7,39,8.640724182,39,10.4024231,,294.1166546,297.4219887,,292.6264558,39,0
2017-04-17,2017-07-17,282.5563573,317.4999985,278.65,38.84999847,3.906357288,38.84999847,10.18220426,,293.5579895,300.4738335,,292.1960601,38.84999847,0
