date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,
2004-12-31,2005-01-07,130.4525588,126.2000001,129.3,-3.099999905,1.152558804,-3.099999905,3.588408991,
2005-01-03,2005-01-10,130.4824369,127.1,129.05,-1.950000048,1.432436943,-1.950000048,3.630113601,
2005-01-04,2005-01-11,130.3201198,128.65,128.85,-0.200000003,1.470119834,-0.200000003,3.70999608,
2005-01-05,2005-01-12,129.5897482,127.7,128.3,-0.600000024,1.289748192,-0.600000024,3.759705869,
2005-01-06,2005-01-13,128.0542169,128.65,127.25,1.399999976,0.804216862,1.399999976,3.810389548,
2005-01-07,2005-01-14,127.1547158,131.7,126.2,5.5,0.954715848,5.5,3.93314518,
2005-01-10,2005-01-17,127.6915353,133.6999999,127.1,6.599999905,0.59153527,6.599999905,4.136305457,
2005-01-11,2005-01-18,128.7477588,133.2000002,128.65,4.550000191,0.097758785,4.550000191,4.316721457,
2005-01-12,2005-01-19,128.3348273,132.8999998,127.7,5.199999809,0.634827316,5.199999809,4.400483201,
2005-01-13,2005-01-20,130.4450432,132.1,128.65,3.450000048,1.79504323,3.450000048,4.424414618,
2005-01-14,2005-01-21,132.0294119,133.55,131.7,1.850000024,0.329411924,1.850000024,4.502794538,
2005-01-17,2005-01-24,133.1379343,133.35,133.7,0.349999994,-0.562065721,-0.349999994,4.468083665,
2005-01-18,2005-01-25,131.5384671,132.55,133.2,0.649999976,-1.661532879,-0.649999976,4.412637283,
2005-01-19,2005-01-26,130.2631546,134.6,132.9,-1.700000048,-2.63684535,1.700000048,4.381724228,
2005-01-20,2005-01-27,129.6065179,133.85,132.1,-1.75,-2.493482113,1.75,4.43479766,
2005-01-21,2005-01-28,131.4846728,133.25,133.55,0.300000012,-2.065327168,-0.300000012,4.450138422,
2005-01-24,2005-01-31,132.1215015,134.6,133.35,-1.25,-1.228498459,1.25,4.508682596,
2005-01-25,2005-02-01,131.2698355,133.65,132.55,-1.100000024,-1.28016448,1.100000024,4.558876723,
2005-01-26,2005-02-02,133.2693766,133.55,134.6,1.049999952,-1.330623388,-1.049999952,4.625679914,
