date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std
2017-06-30,2017-07-07,310.4129274,310.25,311.55,1.299999952,-1.137072563,-1.299999952,11.53775799
2017-07-03,2017-07-10,310.8965042,310.8,311.95,1.149999976,-1.053495765,-1.149999976,11.32296408
2017-07-04,2017-07-11,312.813399,312.7,309.65,3.049999952,3.163398981,3.049999952,11.05558579
2017-07-05,2017-07-12,312.6587361,312.6,311.1,1.5,1.558736086,1.5,10.78599686
2017-07-06,2017-07-13,316.4969936,316.5499998,311.1,5.449999809,5.396993637,5.449999809,10.63473525
2017-07-07,2017-07-14,316.4302039,316.6999998,310.25,6.449999809,6.180203915,6.449999809,10.4024231
2017-07-10,2017-07-17,317.2662619,317.4999998,310.8,6.699999809,6.466261864,6.699999809,10.18220426
2017-07-11,2017-07-18,317.6732423,318.0499999,312.7,5.349999905,4.973242283,5.349999905,9.922219263
2017-07-12,2017-07-19,318.3116919,318.6999999,312.6,6.099999905,5.711691856,6.099999905,9.568923622
2017-07-13,2017-07-20,319.3026474,319.6,316.55,3.049999952,2.7526474,3.049999952,9.242264372
2017-07-14,2017-07-21,320.8113162,321.1000001,316.7,4.400000095,4.111316204,4.400000095,9.006403104
2017-07-17,2017-07-24,321.0083332,321.25,317.5,3.75,3.508333206,3.75,8.772810035
2017-07-18,2017-07-25,319.5680094,319.65,318.05,1.600000024,1.518009424,1.600000024,8.582615549
2017-07-19,2017-07-26,318.7861704,318.95,318.7,0.25,0.08617042,0.25,8.38471688
2017-07-20,2017-07-27,319.7051185,319.85,319.6,0.25,0.105118513,0.25,8.206821228
2017-07-21,2017-07-28,313.5551396,312.5499998,321.1,8.550000191,-7.544860363,-8.550000191,7.881278633
2017-07-24,2017-07-31,314.066123,313.5500002,321.25,7.699999809,-7.183876991,-7.699999809,7.533613617
2017-07-25,2017-08-01,316.8262135,316.5500001,319.65,3.099999905,-2.823786497,-3.099999905,7.285671363
2017-07-26,2017-08-02,317.024882,317.15,318.95,1.799999952,-1.92511797,-1.799999952,7.016293708
2017-07-27,2017-08-03,312.1358419,311.6500002,319.85,8.199999809,-7.714158058,-8.199999809,6.745785543
2017-07-28,2017-08-04,312.8487309,312.85,312.55,0.300000012,0.29873091,0.300000012,6.460258501
2017-07-31,2017-08-07,313.3789232,312.9,313.55,0.649999976,-0.171076819,-0.649999976,6.39347643
2017-08-01,2017-08-08,313.3860343,312.85,316.55,3.700000048,-3.163965702,-3.700000048,6.319893138
2017-08-02,2017-08-09,309.591123,308.65,317.15,8.5,-7.558876991,-8.5,6.108970095
2017-08-03,2017-08-10,307.484054,307.2499999,311.65,4.400000095,-4.165946007,-4.400000095,6.000102864
2017-08-04,2017-08-11,302.3299614,301.4999996,312.85,11.35000038,-10.5200386,-11.35000038,5.9285993
2017-08-07,2017-08-14,305.4409074,304.5999998,312.9,8.300000191,-7.459092617,-8.300000191,5.828780962
2017-08-08,2017-08-15,305.2566248,304.6,312.85,8.25,-7.593375206,-8.25,5.714854758
2017-08-09,2017-08-16,306.7318336,306.2499999,308.65,2.400000095,-1.918166399,-2.400000095,5.583999936
2017-08-10,2017-08-17,308.5096226,307.9,307.25,0.649999976,1.259622574,0.649999976,5.406939763
2017-08-11,2017-08-18,308.5284872,307.75,301.5,6.25,7.028487206,6.25,5.206907395
2017-08-14,2017-08-21,307.5469309,307.05,304.6,2.450000048,2.946930885,2.450000048,5.080547366
2017-08-15,2017-08-22,309.1573583,308.6999999,304.6,4.099999905,4.557358265,4.099999905,4.949270537
2017-08-16,2017-08-23,309.0075865,308.5999999,306.25,2.349999905,2.757586479,2.349999905,4.83709723
2017-08-17,2017-08-24,310.480164,310.1,307.9,2.200000048,2.580163956,2.200000048,4.795610974
2017-08-18,2017-08-25,310.4348798,310.25,307.75,2.5,2.68487978,2.5,4.77821554
