date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,index_pred,index_pred,index_pred,index_pred,¾Ó»óºí,profit ,0.716363636
2017-03-31,2017-06-30,305.4866577,311.5500008,281.6,29.95000076,23.88665771,29.95000076,11.90461505,299.2155128,304.4905392,303.0975185,303.4779602,303.1536377,29.95000076,
2017-04-03,2017-07-03,302.5872196,311.9499992,281.9,30.04999924,20.68721962,30.04999924,11.91659305,296.6933226,302.2976498,301.2377457,303.6621861,301.2956247,30.04999924,
2017-04-04,2017-07-04,299.1244255,309.6499992,281.35,28.29999924,17.77442551,28.29999924,11.85819215,295.688954,302.9416309,302.0717541,302.8115707,300.527667,28.29999924,
2017-04-05,2017-07-05,296.6183792,311.1,280.85,30.25,15.76837921,30.25,11.79643377,295.5287472,299.4349075,296.1716591,301.0713669,297.765012,30.25,
2017-04-06,2017-07-06,298.3336147,311.1000008,279.9,31.20000076,18.43361473,31.20000076,11.69295086,294.912701,300.8892082,297.0335659,301.0386375,298.4415455,31.20000076,
2017-04-07,2017-07-07,297.2055435,310.25,279.25,31,17.95554352,31,11.53775799,292.4785891,299.3450165,295.3259182,302.2815723,297.3273279,31,
2017-04-10,2017-07-10,297.8305058,310.8000015,277.65,33.15000153,20.18050575,33.15000153,11.32296408,292.3413643,299.0333752,296.9281086,298.6601414,296.958699,33.15000153,
2017-04-11,2017-07-11,298.6839184,312.6999992,275.9,36.79999924,22.78391838,36.79999924,11.05558579,291.7163061,297.9971298,296.470013,297.644051,296.5022837,36.79999924,
2017-04-12,2017-07-12,296.9404327,312.6000015,276.95,35.65000153,19.99043274,35.65000153,10.78599686,289.4349062,295.9142448,296.2157261,294.1569969,294.5324614,35.65000153,
2017-04-13,2017-07-13,295.4623474,316.5500015,279.15,37.40000153,16.31234741,37.40000153,10.63473525,287.7437109,292.0720095,294.2096561,294.3298677,292.7635183,37.40000153,
2017-04-14,2017-07-14,291.4772951,316.7,277.7,39,13.77729511,39,10.4024231,285.5321953,287.5696127,291.1404383,290.3748734,289.2188829,39,
2017-04-17,2017-07-17,290.9463877,317.4999985,278.65,38.84999847,12.29638767,38.84999847,10.18220426,283.8078436,288.1851505,292.0936226,290.6213163,289.1308641,38.84999847,
2017-04-18,2017-07-18,292.0082031,318.0500008,278.35,39.70000076,13.65820313,39.70000076,9.922219263,285.5788241,290.2678753,291.7902037,292.5578905,290.4405993,39.70000076,
2017-04-19,2017-07-19,289.8253075,318.6999985,276.85,41.84999847,12.97530746,41.84999847,9.568923622,285.1819082,290.3119579,289.3260876,289.3046728,288.7899868,41.84999847,
2017-04-20,2017-07-20,285.0340099,319.5999985,278.25,41.34999847,6.784009933,41.34999847,9.242264372,280.1318624,286.2779942,287.1808929,282.9723501,284.3194219,41.34999847,
2017-04-21,2017-07-21,283.7564098,321.1000015,280.7,40.40000153,3.056409836,40.40000153,9.006403104,280.9308652,289.2096922,286.3111617,287.5920875,285.5600433,40.40000153,
2017-04-24,2017-07-24,290.4597393,321.2500015,281.85,39.40000153,8.609739304,39.40000153,8.772810035,282.611793,290.7565228,291.0402447,287.9191543,288.5574908,39.40000153,
2017-04-25,2017-07-25,292.7464444,319.6500008,285.2,34.45000076,7.546444416,34.45000076,8.582615549,287.4846324,295.8573458,294.7629025,292.9012258,292.7505102,34.45000076,
2017-04-26,2017-07-26,291.4542114,318.95,286.45,32.5,5.004211426,32.5,8.38471688,284.876487,292.9502174,295.5217354,289.0683176,290.7741938,32.5,
2017-04-27,2017-07-27,288.3230483,319.85,287.35,32.5,0.97304827,32.5,8.206821228,286.8123005,295.5748001,293.4565297,292.6196176,291.3572592,32.5,
2017-04-28,2017-07-28,292.1671374,312.55,287.8,24.75,4.367137432,24.75,7.881278633,289.7189103,294.3512934,290.5188065,288.3625979,291.0237491,24.75,
2017-05-01,2017-07-31,293.4577697,313.55,287.8,25.75,5.65776968,25.75,7.533613617,290.8979083,294.9643705,295.5002201,290.2168348,293.0074207,25.75,
2017-05-02,2017-08-01,290.2264642,316.55,290.05,26.5,0.176464215,26.5,7.285671363,290.2634168,293.7023933,291.6524196,291.349687,291.4388762,26.5,
2017-05-03,2017-08-02,288.8432074,317.1500004,290.05,-27.10000038,-1.206792593,27.10000038,7.016293708,289.963698,291.787794,292.1806136,289.9182617,290.5387149,27.10000038,
2017-05-04,2017-08-03,285.6005511,311.6499996,292.75,-18.89999962,-7.149448872,18.89999962,6.745785543,287.6904902,290.453985,290.873417,286.802886,288.2842659,-18.89999962,
2017-05-05,2017-08-04,285.8963132,312.8500004,292.75,-20.10000038,-6.85368681,20.10000038,6.460258501,290.1507385,291.7626175,291.6075276,289.58934,289.8013073,-20.10000038,
2017-05-08,2017-08-07,289.9100906,312.8999998,300.7,-12.19999981,-10.78990936,12.19999981,6.39347643,295.3689897,295.4128863,300.164471,295.4366233,295.2586122,-12.19999981,
2017-05-09,2017-08-08,293.4687593,312.8499996,300.7,-12.14999962,-7.231240749,12.14999962,6.319893138,297.8088879,299.6761949,301.3225409,297.4925951,297.9537956,-12.14999962,
2017-05-10,2017-08-09,295.3642127,308.6499998,296.45,-12.19999981,-1.085787296,12.19999981,6.108970095,298.7131149,299.0807175,302.3177964,295.9240066,298.2799696,12.19999981,
2017-05-11,2017-08-10,298.7479945,307.2500001,300.1,-7.150000095,-1.352005482,7.150000095,6.000102864,298.5239212,302.6213785,306.4878822,302.2929467,301.7348246,7.150000095,
