date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,date_pred,BT,BB,predict
2017-03-31,2017-04-28,279.571103,287.7999998,281.6,-6.199999809,-2.028897047,6.199999809,5.800955554,2017-04-28,297.3715765,278.2284231,279.571103
2017-04-03,2017-05-01,279.3924185,287.8000001,281.9,-5.900000095,-2.507581472,5.900000095,5.951591881,2017-05-01,297.6201267,277.9798735,279.3924185
2017-04-04,2017-05-02,276.7495247,290.0499998,281.35,-8.699999809,-4.600475311,8.699999809,6.13027275,2017-05-02,300.1649498,279.9350498,276.7495247
2017-04-05,2017-05-03,280.6415938,290.0499998,280.85,-9.199999809,-0.20840618,9.199999809,6.304864766,2017-05-03,300.4530267,279.6469729,280.6415938
2017-04-06,2017-05-04,280.6545209,292.7500004,279.9,12.85000038,0.754520893,12.85000038,6.53517406,2017-05-04,303.5330376,281.9669632,280.6545209
2017-04-07,2017-05-05,280.0265728,292.75,279.25,13.5,0.776572824,13.5,6.749068045,2017-05-05,303.8859623,281.6140377,280.0265728
2017-04-10,2017-05-08,276.3369265,300.6999992,277.65,-23.04999924,-1.313073516,23.04999924,7.271238123,2017-05-08,312.6975421,288.7024563,276.3369265
2017-04-11,2017-05-09,275.6893616,300.6999992,275.9,-24.79999924,-0.210638434,24.79999924,7.717097651,2017-05-09,313.4332104,287.9667881,275.6893616
2017-04-12,2017-05-10,277.7657941,296.45,276.95,19.5,0.81579411,19.5,7.925452092,2017-05-10,309.526996,283.373004,277.7657941
2017-04-13,2017-05-11,278.6526315,300.1000008,279.15,-20.95000076,-0.497368485,20.95000076,8.242243002,2017-05-11,313.6997017,286.5002998,278.6526315
2017-04-14,2017-05-12,277.7404041,298.6500008,277.7,20.95000076,0.040404081,20.95000076,8.472429693,2017-05-12,312.6295098,284.6704918,277.7404041
2017-04-17,2017-05-15,274.1750678,299.65,278.65,-21,-4.474932194,21,8.707866415,2017-05-15,314.0179796,285.2820204,274.1750678
2017-04-18,2017-05-16,275.8687442,299.2499996,278.35,-20.89999962,-2.48125577,20.89999962,8.880291083,2017-05-16,313.9024799,284.5975193,275.8687442
2017-04-19,2017-05-17,275.3414181,299.4999996,276.85,-22.64999962,-1.508581877,22.64999962,9.051241149,2017-05-17,314.4345475,284.5654517,275.3414181
2017-04-20,2017-05-18,276.933252,298.6499996,278.25,-20.39999962,-1.316748023,20.39999962,9.16637485,2017-05-18,313.7745181,283.5254811,276.933252
2017-04-21,2017-05-19,274.0759646,298.2499992,280.7,-17.54999924,-6.624035358,17.54999924,9.251634666,2017-05-19,313.5151964,282.984802,274.0759646
2017-04-24,2017-05-22,278.0852264,300.6,281.85,-18.75,-3.764773607,18.75,9.396591674,2017-05-22,316.1043763,285.0956237,278.0852264
2017-04-25,2017-05-23,281.036731,301.0500004,285.2,-15.85000038,-4.163269043,15.85000038,9.577664447,2017-05-23,316.8531467,285.246854,281.036731
2017-04-26,2017-05-24,281.1141512,301.8999998,286.45,-15.44999981,-5.335848808,15.44999981,9.766535534,2017-05-24,318.0147834,285.7852162,281.1141512
2017-04-27,2017-05-25,289.1664132,305.4999996,287.35,18.14999962,1.816413164,18.14999962,10.04820521,2017-05-25,322.0795382,288.920461,289.1664132
2017-04-28,2017-05-26,285.8367272,307.3499992,287.8,-19.54999924,-1.96327281,19.54999924,10.31187108,2017-05-26,324.3645865,290.335412,285.8367272
2017-05-01,2017-05-29,289.5261648,306.8,287.8,19,1.726164818,19,10.49691587,2017-05-29,324.1199112,289.4800888,289.5261648
2017-05-02,2017-05-30,290.5431937,304.3500002,290.05,14.30000019,0.493193656,14.30000019,10.58185993,2017-05-30,321.8100691,286.8899313,290.5431937
2017-05-03,2017-05-31,287.7160483,305.05,290.05,-15,-2.333951712,15,10.65822858,2017-05-31,322.6360772,287.4639228,287.7160483
2017-05-04,2017-06-01,285.4729018,304.1499996,292.75,-11.39999962,-7.277098179,11.39999962,10.74919317,2017-06-01,321.8861683,286.4138309,285.4729018
2017-05-05,2017-06-02,285.7706795,307.75,292.75,-15,-6.979320526,15,10.84428953,2017-06-02,325.6430777,289.8569223,285.7706795
2017-05-08,2017-06-05,296.17088,307.6000001,300.7,-6.900000095,-4.529119968,6.900000095,10.91785918,2017-06-05,325.6144677,289.5855324,296.17088
2017-05-09,2017-06-06,294.0463559,307.6000001,300.7,-6.900000095,-6.653644085,6.900000095,10.99521569,2017-06-06,325.742106,289.4578942,294.0463559
2017-05-10,2017-06-07,292.8802311,305.3999998,296.45,-8.949999809,-3.569768906,8.949999809,11.00263064,2017-06-07,323.5543404,287.2456593,292.8802311
2017-05-11,2017-06-08,298.468215,306.6500002,300.1,-6.550000191,-1.631785035,6.550000191,10.99680094,2017-06-08,324.7947217,288.5052786,298.468215
2017-05-12,2017-06-09,298.7019114,308.5499996,298.65,9.899999619,0.051911443,9.899999619,11.0344568,2017-06-09,326.7568533,290.3431459,298.7019114
