date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std,index_pred,index_pred,index_pred,index_pred,index_pred,index_pred,index_pred,index_pred,¾Ó»óºí,
2017-03-31,2017-06-30,296.1167036,311.5500008,281.6,29.95000076,14.51670361,29.95000076,11.90461505,295.3077627,292.9509674,297.6992756,304.3441616,299.8399178,299.3061138,301.3766991,301.4778324,298.7132704,1
2017-04-03,2017-07-03,295.102445,311.9499992,281.9,30.04999924,13.20244503,30.04999924,11.91659305,295.2172712,292.9151062,297.3344702,303.3807835,299.2617172,302.4544033,304.7144016,304.9723248,299.4836581,1
2017-04-04,2017-07-04,293.5012184,309.6499992,281.35,28.29999924,12.15121841,28.29999924,11.85819215,292.3608728,291.9032703,295.6953503,299.6907841,295.1718374,300.954105,301.8808266,302.5141006,297.0747073,1
2017-04-05,2017-07-05,293.6647745,311.1,280.85,30.25,12.81477451,30.25,11.79643377,291.5286585,291.1602694,294.5693346,302.7574192,293.0619122,298.3531948,297.2638279,297.3164097,295.5195334,1
2017-04-06,2017-07-06,296.1223644,311.1000008,279.9,31.20000076,16.22236443,31.20000076,11.69295086,294.1220726,291.5443596,298.2698196,300.2662205,293.8671707,297.6087193,298.9381031,300.2944855,296.7814795,1
2017-04-07,2017-07-07,298.3629856,310.25,279.25,31,19.11298561,31,11.53775799,295.4140358,293.4613113,296.8893547,299.3986206,292.4610968,295.7259712,295.72118,296.6751842,296.0121934,1
2017-04-10,2017-07-10,294.0586342,310.8000015,277.65,33.15000153,16.40863419,33.15000153,11.32296408,294.1030487,294.1271461,292.8935465,299.0781693,291.9752497,295.9193787,298.14687,299.5441574,295.5384667,1
2017-04-11,2017-07-11,292.6538643,312.6999992,275.9,36.79999924,16.75386429,36.79999924,11.05558579,291.9508194,292.3596004,289.0343517,295.486256,287.6602644,288.3412041,291.3378223,294.1042961,291.4364976,1
2017-04-12,2017-07-12,283.8830482,312.6000015,276.95,35.65000153,6.933048248,35.65000153,10.78599686,293.3996136,287.7518303,283.6270549,294.0177128,282.0316021,282.4275805,294.3774673,296.391637,288.6563941,1
2017-04-13,2017-07-13,278.5973923,316.5500015,279.15,-37.40000153,-0.552607656,37.40000153,10.63473525,287.1898426,282.0871841,284.9445833,285.1553372,281.6877843,280.0966859,284.8042339,288.0950397,283.6286759,1
2017-04-14,2017-07-14,283.4743492,316.7,277.7,39,5.774349213,39,10.4024231,290.1434013,288.5262444,287.3199417,287.8771631,283.7123906,276.9540665,291.6578609,293.8488724,287.0571434,1
2017-04-17,2017-07-17,284.8979725,317.4999985,278.65,38.84999847,6.247972488,38.84999847,10.18220426,293.3838562,286.3360209,288.9384645,287.1744265,280.4478928,280.0878306,291.2287649,291.0195536,287.057198,1
2017-04-18,2017-07-18,283.2693172,318.0500008,278.35,39.70000076,4.919317245,39.70000076,9.922219263,294.0602385,287.1715408,286.1346255,290.4709869,278.7769141,277.9253042,290.327107,292.0769335,286.6903298,1
2017-04-19,2017-07-19,288.1947504,318.6999985,276.85,41.84999847,11.3447504,41.84999847,9.568923622,293.9877144,289.2250286,282.3336779,283.9631811,280.8771187,277.6924631,287.2721601,292.732493,286.2531764,1
2017-04-20,2017-07-20,285.2248087,319.5999985,278.25,41.34999847,6.974808693,41.34999847,9.242264372,291.4599657,284.1935768,284.4946451,281.3425868,276.0191393,283.3898497,287.0769901,291.8809347,285.0091663,1
2017-04-21,2017-07-21,285.0484011,321.1000015,280.7,40.40000153,4.34840107,40.40000153,9.006403104,289.886718,286.9059984,286.6498324,286.5422174,280.4969116,281.8492887,287.8604705,291.3790991,286.290993,1
2017-04-24,2017-07-24,290.7899414,321.2500015,281.85,39.40000153,8.939941406,39.40000153,8.772810035,296.7740875,287.6336857,293.4389206,291.8616072,288.5264054,289.9660975,293.6379591,297.0942579,292.1914403,1
2017-04-25,2017-07-25,294.714308,319.6500008,285.2,34.45000076,9.514307976,34.45000076,8.582615549,299.1099636,292.6440494,295.6144077,299.9486925,289.8555834,292.6855576,292.3876216,293.8139164,294.5304556,1
2017-04-26,2017-07-26,297.5731947,318.95,286.45,32.5,11.12319469,32.5,8.38471688,298.57222,294.6817181,295.144622,297.9326212,292.5938608,293.8543164,291.9223811,294.6328318,295.211974,1
2017-04-27,2017-07-27,300.6919685,319.85,287.35,32.5,13.34196854,32.5,8.206821228,299.9050299,296.9913546,300.6342655,298.6421324,295.5621134,297.414187,297.4334742,299.1738525,298.4942642,1
2017-04-28,2017-07-28,294.0665424,312.55,287.8,24.75,6.266542435,24.75,7.881278633,291.5029226,291.2455791,291.9873627,293.773628,290.0450647,292.0001481,295.6693538,297.7846373,293.119471,1
2017-05-01,2017-07-31,287.9977926,313.55,287.8,25.75,0.197792634,25.75,7.533613617,285.7871573,289.7313319,289.4179484,295.5857614,286.201256,289.3071714,294.147311,297.2332294,290.6009955,1
2017-05-02,2017-08-01,289.6345863,316.55,290.05,-26.5,-0.415413737,26.5,7.285671363,286.6875883,288.5862909,289.2497251,291.0752923,285.6578501,287.4410913,292.5354031,294.8910387,289.5287629,0
2017-05-03,2017-08-02,288.1765248,317.1500004,290.05,-27.10000038,-1.873475194,27.10000038,7.016293708,286.4148963,285.377538,287.870014,290.8653478,286.9037459,287.0716644,289.9633413,291.9978105,288.2934314,0
2017-05-04,2017-08-03,288.3803053,311.6499996,292.75,-18.89999962,-4.36969471,18.89999962,6.745785543,285.8272939,286.2840843,283.8146152,286.543057,284.4758816,286.4117384,288.7117634,290.9636736,286.8236014,0
2017-05-05,2017-08-04,288.813174,312.8500004,292.75,-20.10000038,-3.936825991,20.10000038,6.460258501,286.1153493,286.0203323,286.0367246,286.4378977,289.2876911,286.1758766,285.7727985,287.3083162,286.8853512,0
2017-05-08,2017-08-07,295.1003515,312.8999998,300.7,-12.19999981,-5.599648476,12.19999981,6.39347643,292.9473612,290.26464,291.8469955,297.4806716,297.4952638,293.167258,297.8839957,300.6079721,295.1993899,0
2017-05-09,2017-08-08,294.2123415,312.8499996,300.7,-12.14999962,-6.487658501,12.14999962,6.319893138,294.2900722,291.8795616,292.1515018,297.3605356,294.8204934,290.7151472,293.1040155,295.964667,293.8331484,0
2017-05-10,2017-08-09,293.5328388,308.6499998,296.45,-12.19999981,-2.917161226,12.19999981,6.108970095,297.9829337,293.5468037,292.7608997,297.2093144,291.1712777,295.299136,294.8191598,297.852015,294.9082643,0
2017-05-11,2017-08-10,291.2895514,307.2500001,300.1,-7.150000095,-8.810448647,7.150000095,6.000102864,296.6936522,294.7453691,292.2604762,297.5086425,295.2100645,293.6815973,295.0977098,297.8581732,294.9272485,0
2017-05-12,2017-08-11,292.8614849,301.4999999,298.65,-2.849999905,-5.788515091,2.849999905,5.9285993,296.5096661,298.7580122,295.0192224,297.9606261,297.6281777,293.4257263,297.7451271,299.8709282,296.6421079,0
2017-05-15,2017-08-14,296.825992,304.5999998,299.65,-4.949999809,-2.824007988,4.949999809,5.828780962,301.2763697,294.8869761,298.6826549,298.8726106,300.7001136,293.8896307,297.9516231,299.1743499,298.0289245,0
2017-05-16,2017-08-15,295.3907244,304.5999999,299.25,-5.349999905,-3.859275579,5.349999905,5.714854758,298.326477,292.4402199,297.1518798,299.6121794,296.6993716,294.2266488,295.2412944,298.2396683,296.3698293,0
2017-05-17,2017-08-16,293.902472,306.25,299.5,-6.75,-5.597527981,6.75,5.583999936,293.3341041,293.8025651,289.0124989,294.0686016,294.6121736,289.4677649,288.494092,291.4197111,292.0126648,0
2017-05-18,2017-08-17,296.2613565,307.9,298.65,-9.25,-2.388643503,9.25,5.406939763,295.4682497,289.5587486,291.6248425,290.256596,292.8954524,289.0142244,291.0859307,295.32009,292.3872768,0
