date,index1,index2,loss_profits,pred_date,prediction,real,0.654618474,8.706134994,-8.743604671,24.85000038,-22.04999924,10.05806953
2017-07-10,310.8,312.8999999,2.099999905,2017-08-07,2.480625391,2.099999905,,,,,,
2017-07-11,312.7,312.85,0.150000006,2017-08-08,0.363574684,0.150000006,,,,,,
2017-07-12,312.6,308.65,-3.950000048,2017-08-09,0.228542179,-3.950000048,,,,,,
2017-07-13,316.55,307.2499998,9.300000191,2017-08-10,-1.366187215,-9.300000191,,,,,,
2017-07-14,316.7,301.5000002,-15.19999981,2017-08-11,1.005644679,-15.19999981,,,,,,
2017-07-17,317.5,304.6000004,12.89999962,2017-08-14,-1.276346684,-12.89999962,,,,,,
2017-07-18,318.05,304.6000002,13.44999981,2017-08-15,-3.424123764,-13.44999981,,,,,,
2017-07-19,318.7,306.2500002,12.44999981,2017-08-16,-2.205590963,-12.44999981,,,,,,
2017-07-20,319.6,307.9000002,11.69999981,2017-08-17,-0.310158283,-11.69999981,,,,,,
2017-07-21,321.1,307.7499996,13.35000038,2017-08-18,-5.507684708,-13.35000038,,,,,,
2017-07-24,321.25,307.0500002,14.19999981,2017-08-21,-5.510455608,-14.19999981,,,,,,
2017-07-25,319.65,308.7000002,10.94999981,2017-08-22,-0.184934586,-10.94999981,,,,,,
2017-07-26,318.95,308.5999996,10.35000038,2017-08-23,-3.051186085,-10.35000038,,,,,,
2017-07-27,319.85,310.1,9.75,2017-08-24,-3.777787209,-9.75,,,,,,
2017-07-28,312.55,310.25,-2.299999952,2017-08-25,3.610428572,-2.299999952,,,,,,
2017-07-31,313.55,308.2000001,-5.349999905,2017-08-28,1.093317866,-5.349999905,,,,,,
2017-08-01,316.55,307.1500004,9.399999619,2017-08-29,-1.302952409,-9.399999619,,,,,,
2017-08-02,317.15,309.0000004,8.149999619,2017-08-30,-1.27012527,-8.149999619,,,,,,
2017-08-03,311.65,306.65,-5,2017-08-31,3.594823599,-5,,,,,,
2017-08-04,312.85,306.2999998,-6.550000191,2017-09-01,5.023013592,-6.550000191,,,,,,
2017-08-07,312.9,303.5000004,-9.399999619,2017-09-04,2.96531105,-9.399999619,,,,,,
2017-08-08,312.85,302.7000004,-10.14999962,2017-09-05,5.275542259,-10.14999962,,,,,,
2017-08-09,308.65,302.3000001,-6.349999905,2017-09-06,8.430030823,-6.349999905,,,,,,
2017-08-10,307.25,306.2,-1.049999952,2017-09-07,9.389800072,-1.049999952,,,,,,
2017-08-11,301.5,306.25,4.75,2017-09-08,16.21438217,4.75,,,,,,
2017-08-14,304.6,309.2500001,4.650000095,2017-09-11,15.75314999,4.650000095,,,,,,
2017-08-15,304.6,309.1999999,4.599999905,2017-09-12,14.70328045,4.599999905,,,,,,
2017-08-16,306.25,308.55,2.299999952,2017-09-13,13.6851759,2.299999952,,,,,,
2017-08-17,307.9,310.2499999,2.349999905,2017-09-14,14.96465969,2.349999905,,,,,,
2017-08-18,307.75,311.2,3.450000048,2017-09-15,13.21111774,3.450000048,,,,,,
2017-08-21,307.05,316.6999996,9.649999619,2017-09-18,11.47242451,9.649999619,,,,,,
2017-08-22,308.7,316.0499999,7.349999905,2017-09-19,13.88123608,7.349999905,,,,,,
