date,index1,index2,loss_profits,pred_date,prediction,real,0.570281124,,13.21491498
2017-07-10,310.8,312.8999999,2.099999905,2017-08-07,20.9319191,2.099999905,,354.6411806,
2017-07-11,312.7,312.85,0.150000006,2017-08-08,18.8004837,0.150000006,,347.840542,
2017-07-12,312.6,308.65,-3.950000048,2017-08-09,18.12656784,-3.950000048,,487.3748497,
2017-07-13,316.55,307.2499998,-9.300000191,2017-08-10,15.64736271,-9.300000191,,622.3709157,
2017-07-14,316.7,301.5000002,-15.19999981,2017-08-11,15.11804485,-15.19999981,,919.183832,
2017-07-17,317.5,304.6000004,-12.89999962,2017-08-14,14.52052021,-12.89999962,,751.8849077,
2017-07-18,318.05,304.6000002,-13.44999981,2017-08-15,13.46092606,-13.44999981,,724.1979312,
2017-07-19,318.7,306.2500002,-12.44999981,2017-08-16,12.0355854,-12.44999981,,599.5438831,
2017-07-20,319.6,307.9000002,-11.69999981,2017-08-17,10.46769619,-11.69999981,,491.4067459,
2017-07-21,321.1,307.7499996,-13.35000038,2017-08-18,8.508434296,-13.35000038,,477.7911665,
2017-07-24,321.25,307.0500002,-14.19999981,2017-08-21,8.152851105,-14.19999981,,499.649944,
2017-07-25,319.65,308.7000002,-10.94999981,2017-08-22,8.431427956,-10.94999981,,375.6397422,
2017-07-26,318.95,308.5999996,-10.35000038,2017-08-23,7.639733791,-10.35000038,,323.6305355,
2017-07-27,319.85,310.1,-9.75,2017-08-24,6.777944565,-9.75,,273.1729515,
2017-07-28,312.55,310.25,-2.299999952,2017-08-25,7.15635252,-2.299999952,,89.42260207,
2017-07-31,313.55,308.2000001,-5.349999905,2017-08-28,6.50535965,-5.349999905,,140.5495502,
2017-08-01,316.55,307.1500004,-9.399999619,2017-08-29,4.897145271,-9.399999619,,204.408352,
2017-08-02,317.15,309.0000004,-8.149999619,2017-08-30,5.516300201,-8.149999619,,186.7677508,
2017-08-03,311.65,306.65,-5,2017-08-31,6.694266319,-5,,136.7558647,
2017-08-04,312.85,306.2999998,-6.550000191,2017-09-01,7.879247665,-6.550000191,,208.2031937,
2017-08-07,312.9,303.5000004,-9.399999619,2017-09-04,10.06031609,-9.399999619,,378.7038875,
2017-08-08,312.85,302.7000004,-10.14999962,2017-09-05,12.48783493,-10.14999962,,512.4715531,
2017-08-09,308.65,302.3000001,-6.349999905,2017-09-06,14.41662121,-6.349999905,,431.2525525,
2017-08-10,307.25,306.2,-1.049999952,2017-09-07,15.49999905,-1.049999952,,273.902467,
2017-08-11,301.5,306.25,4.75,2017-09-08,16.71636009,4.75,,143.1937738,
2017-08-14,304.6,309.2500001,4.650000095,2017-09-11,17.51465607,4.650000095,,165.4993734,
2017-08-15,304.6,309.1999999,4.599999905,2017-09-12,18.05112648,4.599999905,,180.9328061,
2017-08-16,306.25,308.55,2.299999952,2017-09-13,18.44334602,2.299999952,,260.6076223,
2017-08-17,307.9,310.2499999,2.349999905,2017-09-14,19.47475815,2.349999905,,293.2573449,
2017-08-18,307.75,311.2,3.450000048,2017-09-15,19.61795425,3.450000048,,261.4027431,
2017-08-21,307.05,316.6999996,9.649999619,2017-09-18,19.43433571,9.649999619,,95.73323274,
2017-08-22,308.7,316.0499999,7.349999905,2017-09-19,19.81226921,7.349999905,,155.3081562,
2017-08-23,308.6,315.7999998,7.199999809,2017-09-20,20.3888073,7.199999809,,173.944643,
2017-08-24,310.1,316.0499998,5.949999809,2017-09-21,20.29676056,5.949999809,,205.829544,
2017-08-25,310.25,313.75,3.5,2017-09-22,18.9279995,3.5,,238.0231686,
2017-08-28,308.2,313.7999999,5.599999905,2017-09-25,16.61977005,5.599999905,,121.435334,
2017-08-29,307.15,311.8000001,4.650000095,2017-09-26,13.69798946,4.650000095,,81.86611155,
2017-08-30,309,311.4000001,2.400000095,2017-09-27,10.6893568,2.400000095,,68.71343458,
2017-08-31,306.65,311.5999998,4.949999809,2017-09-28,11.12758064,4.949999809,,38.16250492,
2017-09-01,306.3,314.3,8,2017-09-29,12.98441029,8,,24.84434594,
2017-09-04,303.5,314.3000002,10.80000019,2017-10-02,14.74940491,10.80000019,,15.59779764,
2017-09-05,302.7,314.3000004,11.60000038,2017-10-03,16.52750969,11.60000038,,24.280348,
2017-09-06,302.3,314.3,12,2017-10-04,17.67507362,12,,32.20646059,
2017-09-07,306.2,314.3000004,8.100000381,2017-10-05,18.02392197,8.100000381,,98.4842197,
2017-09-08,306.25,314.3000002,8.050000191,2017-10-06,17.62916183,8.050000191,,91.76033771,
2017-09-11,309.25,314.3000002,5.050000191,2017-10-09,16.834198,5.050000191,,138.867318,
2017-09-12,309.2,320.1499998,10.94999981,2017-10-10,16.06279373,10.94999981,,26.14066167,
2017-09-13,308.55,323.2499998,14.69999981,2017-10-11,15.54776287,14.69999981,,0.718702206,
2017-09-14,310.25,325.6499996,15.39999962,2017-10-12,14.76819134,15.39999962,,0.399181703,
2017-09-15,311.2,325.3000004,14.10000038,2017-10-13,16.08777428,14.10000038,,3.951245078,
