date,index1,index2,loss_profits,pred_date,prediction,real,,,,,예측지수 ,BT,BB,,
2017-07-10,310.8,311.4625,0.662499959,2017-08-07,1.873434424,1.022395492,,316.52,3.1866663,,316.7700103,322.8933326,310.1466674,1,1
2017-07-11,312.7,309.795,2.904999995,2017-08-08,1.414975524,0.071189173,,316.5275,3.177365468,,317.1958944,322.8822309,310.1727691,1,1
2017-07-12,312.6,305.955,-6.64499997,2017-08-09,2.605879068,-1.849175453,,316.33,3.536776707,,321.8164124,323.4035534,309.2564466,1,0
2017-07-13,316.55,301.1500003,15.39999972,2017-08-10,1.117003798,-3.922508955,,315.865,4.076508439,,321.1034754,324.0180169,307.7119831,1,1
2017-07-14,316.7,295.7850002,20.91499984,2017-08-11,-0.084178522,-6.039687634,,315.105,5.180146818,,316.2639429,325.4652936,304.7447064,1,1
2017-07-17,317.5,298.5699997,18.93000032,2017-08-14,0.232943222,-4.623044968,,314.46,5.648208845,,318.815712,325.7564177,303.1635823,1,1
2017-07-18,318.05,298.5174999,19.53250006,2017-08-15,0.027138986,-4.432731628,,313.7875,5.988714716,,318.2125276,325.7649294,301.8100706,1,1
2017-07-19,318.7,300.1124999,18.58750013,2017-08-16,-0.104337782,-3.974133015,,313.165,6.097283692,,318.0638229,325.3595674,300.9704326,1,1
2017-07-20,319.6,301.4150003,18.18499973,2017-08-17,-0.112754956,-3.487935543,,312.58,6.008007814,,318.9225673,324.5960156,300.5639844,1,1
2017-07-21,321.1,300.3574996,20.74250041,2017-08-18,0.673377872,-3.639862537,,311.9125,5.747559551,,324.9702794,323.4076191,300.4173809,0,0
2017-07-24,321.25,300.0424997,21.20750031,2017-08-21,0.601071,-3.592883825,,311.2025,5.399938474,,324.4957464,322.0023769,300.4026231,0,0
2017-07-25,319.65,303.7200001,-15.92999992,2017-08-22,1.56314683,-2.700026274,,310.655,5.041587574,,327.5307416,320.7381751,300.5718249,0,0
2017-07-26,318.95,304.7549997,-14.19500032,2017-08-23,1.119762421,-2.572755337,,310.1375,4.662246889,,324.1706089,319.4619938,300.8130062,0,0
2017-07-27,319.85,305.7299999,-14.12000012,2017-08-24,3.276492596,-2.377241373,,309.65,4.064674519,,333.167876,317.779349,301.520651,0,0
2017-07-28,312.55,313.2300001,0.680000057,2017-08-25,2.928166151,-0.566947401,,309.535,4.010482974,,324.2933605,317.5559659,301.5140341,0,0
