date,index1,index2,loss_profits,pred_date,prediction,real,0.627615063,8.533333348,-8.625280875,,예측지수 ,BT,BB,,
2017-07-10,310.8,312.9,2.099999959,2017-08-07,1.352066398,1.022395492,,316.52,3.1866663,,315.1085844,322.8933326,310.1466674,1,1
2017-07-11,312.7,312.85,0.150000005,2017-08-08,1.766373992,0.071189173,,316.5275,3.177365468,,318.3124157,322.8822309,310.1727691,1,1
2017-07-12,312.6,308.65,-3.94999997,2017-08-09,2.5494802,-1.849175453,,316.33,3.536776707,,321.6169422,323.4035534,309.2564466,1,0
2017-07-13,316.55,307.2500003,-9.299999719,2017-08-10,1.039186478,-3.922508955,,315.865,4.076508439,,320.7862524,324.0180169,307.7119831,1,0
2017-07-14,316.7,301.5000002,15.19999984,2017-08-11,-0.24150905,-6.039687634,,315.105,5.180146818,,315.4489477,325.4652936,304.7447064,1,1
2017-07-17,317.5,304.5999997,12.90000032,2017-08-14,-1.345397472,-4.623044968,,314.46,5.648208845,,309.9009141,325.7564177,303.1635823,1,1
2017-07-18,318.05,304.5999999,13.45000006,2017-08-15,-0.374486089,-4.432731628,,313.7875,5.988714716,,315.8073096,325.7649294,301.8100706,1,1
2017-07-19,318.7,306.2499999,12.45000013,2017-08-16,-0.464862198,-3.974133015,,313.165,6.097283692,,315.8656033,325.3595674,300.9704326,1,1
2017-07-20,319.6,307.9000003,-11.69999973,2017-08-17,0.315279722,-3.487935543,,312.58,6.008007814,,321.494203,324.5960156,300.5639844,1,0
2017-07-21,321.1,307.7499996,13.35000041,2017-08-18,-1.268162131,-3.639862537,,311.9125,5.747559551,,313.8111626,323.4076191,300.4173809,1,1
2017-07-24,321.25,307.0499997,14.20000031,2017-08-21,-0.198368847,-3.592883825,,311.2025,5.399938474,,320.1788204,322.0023769,300.4026231,1,1
2017-07-25,319.65,308.7000001,-10.94999992,2017-08-22,1.20550549,-2.700026274,,310.655,5.041587574,,325.7276615,320.7381751,300.5718249,0,0
2017-07-26,318.95,308.5999997,-10.35000032,2017-08-23,1.228489041,-2.572755337,,310.1375,4.662246889,,324.6775192,319.4619938,300.8130062,0,0
2017-07-27,319.85,310.0999999,-9.750000116,2017-08-24,3.457351685,-2.377241373,,309.65,4.064674519,,333.9030093,317.779349,301.520651,0,0
