date,index1,index2,loss_profits,pred_date,prediction,real,0.631799163,8.397019863,-8.676436771,23.00000014,-24.84999977,,,예측지수,실재지수
2017-07-10,310.8,312.9000001,2.100000093,2017-08-07,2.0657866,1.722249627,,,,309.3625,2.053999628,,2017-08-07,313.6056249,312.9000001
2017-07-11,312.7,312.8499999,0.149999947,2017-08-08,2.422610044,1.521075249,,,,309.645,2.10706206,,2017-08-08,314.7495897,312.8499999
2017-07-12,312.6,308.6499999,-3.950000056,2017-08-09,3.151175976,-0.587522864,,,,309.905,2.136087175,,2017-08-09,316.6361866,308.6499999
2017-07-13,316.55,307.25,9.300000004,2017-08-10,1.707491875,-1.349680543,,,,310.45,2.370931418,,2017-08-10,314.4983461,307.25
2017-07-14,316.7,301.5,-15.20000003,2017-08-11,3.273363829,-3.768844604,,,,310.985,2.516686418,,2017-08-11,319.2230303,301.5
2017-07-17,317.5,304.5999999,-12.90000006,2017-08-14,3.437407255,-2.462040186,,,,311.47,2.790368774,,2017-08-14,321.0616339,304.5999999
2017-07-18,318.05,304.5999996,13.45000035,2017-08-15,1.89960146,-2.428115368,,,,311.9675,3.034246416,,2017-08-15,317.7313589,304.5999996
2017-07-19,318.7,306.2499997,-12.45000033,2017-08-16,2.129947901,-2.014997244,,,,312.5625,3.132758789,,2017-08-16,319.235113,306.2499997
2017-07-20,319.6,307.9,-11.70000001,2017-08-17,2.225764751,-1.554665327,,,,313.115,3.354419708,,2017-08-17,320.5811491,307.9
2017-07-21,321.1,307.7500002,-13.34999985,2017-08-18,2.430578232,-1.624305606,,,,313.7075,3.667721041,,2017-08-18,322.6221829,307.7500002
2017-07-24,321.25,307.0499998,-14.2000002,2017-08-21,2.364160299,-1.819846272,,,,314.2425,3.952257017,,2017-08-21,323.5862691,307.0499998
2017-07-25,319.65,308.6999999,-10.95000006,2017-08-22,1.823091269,-1.472069144,,,,314.67,4.055516062,,2017-08-22,322.0635759,308.6999999
2017-07-26,318.95,308.5999998,-10.35000018,2017-08-23,2.371777058,-1.616982937,,,,315.105,4.02292444,,2017-08-23,324.6464799,308.5999998
2017-07-27,319.85,310.1,-9.749999978,2017-08-24,2.911100626,-1.311749578,,,,315.48,4.101392575,,2017-08-24,327.4195665,310.1
2017-07-28,312.55,310.2500001,-2.299999857,2017-08-25,1.857282758,-1.30151403,,,,315.53,4.056813632,,2017-08-25,323.06465,310.2500001
2017-07-31,313.55,308.1999999,5.350000059,2017-08-28,-1.231434226,-1.853497148,,,,315.61,3.997848105,,2017-08-28,310.686913,308.1999999
2017-08-01,316.55,307.1500004,9.399999645,2017-08-29,-0.567127943,-2.350345373,,,,315.955,3.746257782,,2017-08-29,313.8303925,307.1500004
