date,index1,index2,loss_profits,pred_date,prediction,real,
2017-07-10,310.8,2.790368761,308.0096312,2017-07-17,0.094128385,0.736369133,1
2017-07-11,312.7,3.034246403,309.6657536,2017-07-18,0.235388085,0.927184343,1
2017-07-12,312.6,3.132758792,309.4672412,2017-07-19,0.433572531,0.996671617,1
2017-07-13,316.55,3.35441968,313.1955803,2017-07-20,0.148581177,0.983488262,1
2017-07-14,316.7,3.667721012,313.032279,2017-07-21,0.450674117,1.151034594,1
2017-07-17,317.5,3.952257016,313.547743,2017-07-24,0.376505792,1.161888242,1
2017-07-18,318.05,4.055516095,313.9944839,2017-07-25,-0.132360548,1.021269679,0
2017-07-19,318.7,4.022924416,314.6770756,2017-07-26,0.253495455,0.890165627,1
2017-07-20,319.6,4.101392567,315.4986074,2017-07-27,0.280057788,0.746972859,1
2017-07-21,321.1,4.056813635,317.0431864,2017-07-28,0.273171842,0.389092594,1
2017-07-24,321.25,3.997848103,317.2521519,2017-07-31,0.012054525,0.045591086,1
2017-07-25,319.65,3.74625778,315.9037422,2017-08-01,0.221652851,-0.309258282,0
2017-07-26,318.95,3.573891984,315.376108,2017-08-02,0.206180215,-0.449032456,0
2017-07-27,319.85,3.534011431,316.3159886,2017-08-03,0.218316272,-0.567381144,0
2017-07-28,312.55,3.342985605,309.2070144,2017-08-04,-0.124814719,-0.713828027,1
2017-07-31,313.55,3.186666321,310.3633337,2017-08-07,-0.132525772,-0.811181784,1
2017-08-01,316.55,3.177365482,313.3726345,2017-08-08,-0.170516759,-0.5688923,1
2017-08-02,317.15,3.536776706,313.6132233,2017-08-09,-0.491882324,-0.037115283,1
2017-08-03,311.65,4.076508417,307.5734916,2017-08-10,-0.263763905,0.542496979,0
2017-08-04,312.85,5.18014677,307.6698532,2017-08-11,-0.056012794,1.837161183,0
2017-08-07,312.9,5.648208906,307.2517911,2017-08-14,0.088293366,2.461542606,1
2017-08-08,312.85,5.988714622,306.8612854,2017-08-15,0.677493572,2.811349154,1
2017-08-09,308.65,6.097283766,302.5527162,2017-08-16,1.012627244,2.560507059,1
2017-08-10,307.25,6.008007801,301.2419922,2017-08-17,0.680268645,1.931499362,1
2017-08-11,301.5,5.747559552,295.7524404,2017-08-18,0.458910435,0.567412734,1
2017-08-14,304.6,5.399938467,299.2000615,2017-08-21,-0.002759263,-0.248270378,1
2017-08-15,304.6,5.041587553,299.5584124,2017-08-22,-0.171748236,-0.947127163,1
2017-08-16,306.25,4.662246914,301.5877531,2017-08-23,-0.446986854,-1.435036778,1
2017-08-17,307.9,4.064674546,303.8353255,2017-08-24,0.13466996,-1.943333268,0
2017-08-18,307.75,4.01048303,303.739517,2017-08-25,0.066923954,-1.737076521,0
2017-08-21,307.05,3.90563942,303.1443606,2017-08-28,-0.307544798,-1.494299054,1
2017-08-22,308.7,3.530747516,305.1692525,2017-08-29,-0.327536315,-1.510840058,1
2017-08-23,308.6,2.936279363,305.6637206,2017-08-30,-0.684238613,-1.725967526,1
2017-08-24,310.1,2.855861925,307.2441381,2017-08-31,-0.047956489,-1.208812594,1
2017-08-25,310.25,2.6558711,307.5941289,2017-09-01,0.104850076,-1.354611874,0
2017-08-28,308.2,2.537263105,305.6627369,2017-09-04,0.033955019,-1.368376374,0
2017-08-29,307.15,2.388409543,304.7615905,2017-09-05,0.130171791,-1.142337918,0
2017-08-30,309,2.550968593,306.4490314,2017-09-06,0.127799034,-0.385310829,0
2017-08-31,306.65,2.545899688,304.1041003,2017-09-07,0.055253647,-0.309962243,0
2017-09-01,306.3,2.264338801,304.0356612,2017-09-08,-0.03238973,-0.391532302,1
2017-09-04,303.5,2.275793658,301.2242063,2017-09-11,0.248966008,-0.261469424,0
2017-09-05,302.7,2.259779918,300.4402201,2017-09-12,0.653570056,-0.128629595,0
2017-09-06,302.3,2.269268374,300.0307316,2017-09-13,0.444334626,-0.281700224,0
2017-09-07,306.2,2.362006001,303.837994,2017-09-14,0.749351263,-0.183893695,0
2017-09-08,306.25,2.51042039,303.7395796,2017-09-15,0.556532025,0.246081576,1
2017-09-11,309.25,3.22957039,306.0204296,2017-09-18,0.563568234,0.953776717,1
2017-09-12,309.2,3.692182407,305.5078176,2017-09-19,0.523001671,1.432402492,1
2017-09-13,308.55,4.044827798,304.5051722,2017-09-20,0.19592464,1.775559425,1
2017-09-14,310.25,4.354020413,305.8959796,2017-09-21,0.454526901,1.992014408,1
2017-09-15,311.2,4.472355908,306.7276441,2017-09-22,0.289659142,1.96193552,1
2017-09-18,316.7,4.577067391,312.1229326,2017-09-25,0.677024484,1.347496986,1
2017-09-19,316.05,4.567767492,311.4822325,2017-09-26,0.659854949,0.875585139,1
2017-09-20,315.8,4.578125891,311.2218741,2017-09-27,-0.068469524,0.533298135,0
2017-09-21,316.05,4.527555259,311.5224447,2017-09-28,-0.200446874,0.173534885,0
2017-09-22,313.75,4.524531814,309.2254682,2017-09-29,-0.441563249,0.052175935,0
2017-09-25,313.8,4.27884868,309.5211513,2017-10-02,-0.141854674,-0.298218727,1
2017-09-26,311.8,3.848802811,307.9511972,2017-10-03,-0.287094802,-0.718964696,1
2017-09-27,311.4,3.193681076,308.2063189,2017-10-04,-0.069570586,-1.384444833,1
2017-09-28,311.6,2.884362367,308.7156376,2017-10-05,-0.03913559,-1.643192887,1
